;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:24/01/2022 at 15:03:20
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DIF (s/n:571777)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE50BF-DIF
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:4.00mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0mS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:1.673mJ             
;Max:1.700mJ             
;Average:1.688mJ             
;Std.Dev.:4.501uJ             
;Overrange:0                   
;Total Pulses:641                 
;--------------------


;First Pulse Arrived : 24/01/2022 at 15:03:21
  Timestamp   	  Channel A  	
         0.000	  1.683e-03 	
         0.020	  1.681e-03 	
         0.039	  1.689e-03 	
         0.059	  1.691e-03 	
         0.080	  1.693e-03 	
         0.099	  1.689e-03 	
         0.120	  1.691e-03 	
         0.140	  1.689e-03 	
         0.159	  1.691e-03 	
         0.180	  1.677e-03 	
         0.199	  1.695e-03 	
         0.219	  1.691e-03 	
         0.240	  1.687e-03 	
         0.258	  1.675e-03 	
         0.278	  1.693e-03 	
         0.300	  1.685e-03 	
         0.319	  1.691e-03 	
         0.340	  1.691e-03 	
         0.358	  1.687e-03 	
         0.380	  1.687e-03 	
         0.400	  1.683e-03 	
         0.419	  1.685e-03 	
         0.440	  1.687e-03 	
         0.459	  1.685e-03 	
         0.478	  1.693e-03 	
         0.499	  1.691e-03 	
         0.520	  1.685e-03 	
         0.540	  1.693e-03 	
         0.558	  1.687e-03 	
         0.580	  1.681e-03 	
         0.599	  1.693e-03 	
         0.620	  1.693e-03 	
         0.640	  1.683e-03 	
         0.659	  1.683e-03 	
         0.679	  1.687e-03 	
         0.699	  1.685e-03 	
         0.720	  1.683e-03 	
         0.739	  1.689e-03 	
         0.759	  1.687e-03 	
         0.778	  1.681e-03 	
         0.799	  1.683e-03 	
         0.820	  1.693e-03 	
         0.840	  1.693e-03 	
         0.859	  1.683e-03 	
         0.880	  1.699e-03 	
         0.900	  1.689e-03 	
         0.920	  1.691e-03 	
         0.940	  1.681e-03 	
         0.959	  1.687e-03 	
         0.978	  1.687e-03 	
         1.000	  1.689e-03 	
         1.020	  1.685e-03 	
         1.040	  1.689e-03 	
         1.059	  1.685e-03 	
         1.080	  1.693e-03 	
         1.099	  1.695e-03 	
         1.120	  1.689e-03 	
         1.140	  1.691e-03 	
         1.159	  1.685e-03 	
         1.179	  1.691e-03 	
         1.200	  1.681e-03 	
         1.219	  1.687e-03 	
         1.239	  1.695e-03 	
         1.259	  1.685e-03 	
         1.279	  1.689e-03 	
         1.299	  1.689e-03 	
         1.320	  1.691e-03 	
         1.340	  1.689e-03 	
         1.359	  1.687e-03 	
         1.380	  1.697e-03 	
         1.399	  1.693e-03 	
         1.420	  1.687e-03 	
         1.440	  1.691e-03 	
         1.459	  1.679e-03 	
         1.480	  1.693e-03 	
         1.500	  1.689e-03 	
         1.520	  1.691e-03 	
         1.540	  1.691e-03 	
         1.558	  1.685e-03 	
         1.578	  1.685e-03 	
         1.600	  1.683e-03 	
         1.618	  1.689e-03 	
         1.640	  1.689e-03 	
         1.659	  1.691e-03 	
         1.679	  1.691e-03 	
         1.700	  1.695e-03 	
         1.720	  1.685e-03 	
         1.740	  1.681e-03 	
         1.759	  1.687e-03 	
         1.780	  1.687e-03 	
         1.800	  1.675e-03 	
         1.819	  1.693e-03 	
         1.840	  1.691e-03 	
         1.859	  1.687e-03 	
         1.880	  1.693e-03 	
         1.899	  1.685e-03 	
         1.920	  1.687e-03 	
         1.940	  1.687e-03 	
         1.959	  1.693e-03 	
         1.980	  1.691e-03 	
         2.000	  1.683e-03 	
         2.019	  1.687e-03 	
         2.039	  1.689e-03 	
         2.059	  1.689e-03 	
         2.080	  1.687e-03 	
         2.100	  1.695e-03 	
         2.119	  1.683e-03 	
         2.140	  1.691e-03 	
         2.159	  1.685e-03 	
         2.180	  1.683e-03 	
         2.199	  1.683e-03 	
         2.220	  1.683e-03 	
         2.240	  1.689e-03 	
         2.258	  1.689e-03 	
         2.280	  1.689e-03 	
         2.300	  1.685e-03 	
         2.320	  1.685e-03 	
         2.340	  1.687e-03 	
         2.359	  1.685e-03 	
         2.379	  1.697e-03 	
         2.400	  1.685e-03 	
         2.420	  1.687e-03 	
         2.440	  1.683e-03 	
         2.459	  1.687e-03 	
         2.480	  1.685e-03 	
         2.500	  1.679e-03 	
         2.520	  1.683e-03 	
         2.540	  1.687e-03 	
         2.558	  1.687e-03 	
         2.579	  1.685e-03 	
         2.600	  1.679e-03 	
         2.620	  1.689e-03 	
         2.640	  1.681e-03 	
         2.659	  1.687e-03 	
         2.680	  1.687e-03 	
         2.699	  1.683e-03 	
         2.719	  1.681e-03 	
         2.740	  1.687e-03 	
         2.759	  1.685e-03 	
         2.780	  1.687e-03 	
         2.800	  1.685e-03 	
         2.820	  1.689e-03 	
         2.840	  1.687e-03 	
         2.859	  1.689e-03 	
         2.880	  1.685e-03 	
         2.900	  1.689e-03 	
         2.920	  1.691e-03 	
         2.940	  1.689e-03 	
         2.959	  1.693e-03 	
         2.980	  1.687e-03 	
         3.000	  1.687e-03 	
         3.020	  1.693e-03 	
         3.040	  1.681e-03 	
         3.059	  1.689e-03 	
         3.080	  1.689e-03 	
         3.099	  1.693e-03 	
         3.120	  1.689e-03 	
         3.138	  1.693e-03 	
         3.159	  1.695e-03 	
         3.180	  1.695e-03 	
         3.200	  1.687e-03 	
         3.220	  1.689e-03 	
         3.239	  1.685e-03 	
         3.259	  1.691e-03 	
         3.280	  1.693e-03 	
         3.300	  1.687e-03 	
         3.320	  1.687e-03 	
         3.340	  1.681e-03 	
         3.359	  1.681e-03 	
         3.380	  1.683e-03 	
         3.400	  1.689e-03 	
         3.419	  1.695e-03 	
         3.440	  1.687e-03 	
         3.458	  1.689e-03 	
         3.478	  1.687e-03 	
         3.500	  1.687e-03 	
         3.520	  1.691e-03 	
         3.540	  1.681e-03 	
         3.559	  1.681e-03 	
         3.580	  1.691e-03 	
         3.600	  1.685e-03 	
         3.620	  1.681e-03 	
         3.640	  1.693e-03 	
         3.659	  1.689e-03 	
         3.678	  1.683e-03 	
         3.700	  1.685e-03 	
         3.720	  1.689e-03 	
         3.740	  1.691e-03 	
         3.758	  1.687e-03 	
         3.780	  1.691e-03 	
         3.800	  1.691e-03 	
         3.820	  1.693e-03 	
         3.839	  1.691e-03 	
         3.859	  1.695e-03 	
         3.880	  1.687e-03 	
         3.899	  1.689e-03 	
         3.920	  1.685e-03 	
         3.940	  1.691e-03 	
         3.958	  1.687e-03 	
         3.980	  1.677e-03 	
         4.000	  1.689e-03 	
         4.020	  1.697e-03 	
         4.040	  1.685e-03 	
         4.059	  1.683e-03 	
         4.080	  1.683e-03 	
         4.100	  1.685e-03 	
         4.119	  1.685e-03 	
         4.140	  1.687e-03 	
         4.159	  1.689e-03 	
         4.180	  1.693e-03 	
         4.200	  1.681e-03 	
         4.219	  1.685e-03 	
         4.240	  1.687e-03 	
         4.259	  1.691e-03 	
         4.279	  1.691e-03 	
