;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:24/01/2022 at 15:15:18
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DIF (s/n:571777)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE50BF-DIF
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:4.00mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0mS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:1.848mJ             
;Max:1.889mJ             
;Average:1.874mJ             
;Std.Dev.:5.176uJ             
;Overrange:0                   
;Total Pulses:1056                
;--------------------


;First Pulse Arrived : 24/01/2022 at 15:15:19
  Timestamp   	  Channel A  	
         0.000	  1.868e-03 	
         0.020	  1.874e-03 	
         0.038	  1.870e-03 	
         0.059	  1.870e-03 	
         0.080	  1.868e-03 	
         0.098	  1.872e-03 	
         0.120	  1.868e-03 	
         0.138	  1.860e-03 	
         0.160	  1.872e-03 	
         0.180	  1.870e-03 	
         0.199	  1.880e-03 	
         0.219	  1.868e-03 	
         0.238	  1.868e-03 	
         0.258	  1.872e-03 	
         0.279	  1.872e-03 	
         0.300	  1.870e-03 	
         0.319	  1.874e-03 	
         0.338	  1.866e-03 	
         0.360	  1.876e-03 	
         0.380	  1.868e-03 	
         0.400	  1.866e-03 	
         0.418	  1.874e-03 	
         0.438	  1.872e-03 	
         0.459	  1.874e-03 	
         0.480	  1.880e-03 	
         0.500	  1.874e-03 	
         0.520	  1.870e-03 	
         0.538	  1.866e-03 	
         0.558	  1.889e-03 	
         0.580	  1.876e-03 	
         0.600	  1.868e-03 	
         0.620	  1.866e-03 	
         0.638	  1.870e-03 	
         0.658	  1.870e-03 	
         0.680	  1.870e-03 	
         0.700	  1.872e-03 	
         0.720	  1.870e-03 	
         0.738	  1.870e-03 	
         0.758	  1.876e-03 	
         0.778	  1.876e-03 	
         0.800	  1.870e-03 	
         0.818	  1.872e-03 	
         0.838	  1.886e-03 	
         0.859	  1.874e-03 	
         0.878	  1.864e-03 	
         0.898	  1.870e-03 	
         0.919	  1.874e-03 	
         0.938	  1.870e-03 	
         0.959	  1.872e-03 	
         0.978	  1.872e-03 	
         0.999	  1.864e-03 	
         1.019	  1.860e-03 	
         1.038	  1.868e-03 	
         1.058	  1.876e-03 	
         1.079	  1.876e-03 	
         1.100	  1.868e-03 	
         1.120	  1.866e-03 	
         1.138	  1.870e-03 	
         1.159	  1.870e-03 	
         1.180	  1.874e-03 	
         1.198	  1.874e-03 	
         1.220	  1.870e-03 	
         1.238	  1.864e-03 	
         1.258	  1.864e-03 	
         1.280	  1.876e-03 	
         1.300	  1.872e-03 	
         1.318	  1.878e-03 	
         1.338	  1.876e-03 	
         1.360	  1.866e-03 	
         1.380	  1.868e-03 	
         1.400	  1.872e-03 	
         1.419	  1.868e-03 	
         1.438	  1.870e-03 	
         1.459	  1.868e-03 	
         1.480	  1.876e-03 	
         1.500	  1.876e-03 	
         1.520	  1.876e-03 	
         1.538	  1.874e-03 	
         1.559	  1.870e-03 	
         1.578	  1.874e-03 	
         1.599	  1.874e-03 	
         1.620	  1.874e-03 	
         1.638	  1.878e-03 	
         1.658	  1.874e-03 	
         1.680	  1.876e-03 	
         1.700	  1.874e-03 	
         1.720	  1.876e-03 	
         1.738	  1.870e-03 	
         1.759	  1.874e-03 	
         1.780	  1.872e-03 	
         1.799	  1.876e-03 	
         1.820	  1.882e-03 	
         1.838	  1.882e-03 	
         1.859	  1.866e-03 	
         1.880	  1.870e-03 	
         1.900	  1.878e-03 	
         1.920	  1.878e-03 	
         1.938	  1.876e-03 	
         1.958	  1.876e-03 	
         1.980	  1.878e-03 	
         1.999	  1.870e-03 	
         2.020	  1.874e-03 	
         2.038	  1.878e-03 	
         2.059	  1.884e-03 	
         2.078	  1.870e-03 	
         2.098	  1.872e-03 	
         2.120	  1.886e-03 	
         2.139	  1.876e-03 	
         2.159	  1.874e-03 	
         2.179	  1.874e-03 	
         2.200	  1.876e-03 	
         2.220	  1.868e-03 	
         2.238	  1.878e-03 	
         2.258	  1.874e-03 	
         2.280	  1.880e-03 	
         2.298	  1.876e-03 	
         2.320	  1.876e-03 	
         2.338	  1.876e-03 	
         2.359	  1.880e-03 	
         2.380	  1.876e-03 	
         2.398	  1.874e-03 	
         2.420	  1.872e-03 	
         2.438	  1.872e-03 	
         2.459	  1.870e-03 	
         2.480	  1.872e-03 	
         2.498	  1.876e-03 	
         2.520	  1.876e-03 	
         2.538	  1.880e-03 	
         2.559	  1.878e-03 	
         2.580	  1.872e-03 	
         2.600	  1.882e-03 	
         2.620	  1.876e-03 	
         2.638	  1.876e-03 	
         2.658	  1.870e-03 	
         2.680	  1.878e-03 	
         2.700	  1.874e-03 	
         2.719	  1.874e-03 	
         2.738	  1.876e-03 	
         2.758	  1.874e-03 	
         2.780	  1.878e-03 	
         2.800	  1.880e-03 	
         2.820	  1.876e-03 	
         2.838	  1.870e-03 	
         2.859	  1.866e-03 	
         2.878	  1.874e-03 	
         2.899	  1.874e-03 	
         2.919	  1.880e-03 	
         2.938	  1.878e-03 	
         2.959	  1.868e-03 	
         2.978	  1.880e-03 	
         3.000	  1.880e-03 	
         3.020	  1.882e-03 	
         3.038	  1.878e-03 	
         3.059	  1.868e-03 	
         3.078	  1.878e-03 	
         3.100	  1.874e-03 	
         3.118	  1.876e-03 	
         3.139	  1.878e-03 	
         3.160	  1.864e-03 	
         3.180	  1.876e-03 	
         3.198	  1.878e-03 	
         3.219	  1.876e-03 	
         3.238	  1.874e-03 	
         3.260	  1.876e-03 	
         3.279	  1.876e-03 	
         3.300	  1.874e-03 	
         3.320	  1.878e-03 	
         3.338	  1.882e-03 	
         3.359	  1.872e-03 	
         3.380	  1.872e-03 	
         3.400	  1.874e-03 	
         3.420	  1.872e-03 	
         3.438	  1.880e-03 	
         3.459	  1.870e-03 	
         3.479	  1.872e-03 	
         3.499	  1.872e-03 	
         3.519	  1.878e-03 	
         3.539	  1.878e-03 	
         3.558	  1.876e-03 	
         3.580	  1.872e-03 	
         3.600	  1.878e-03 	
         3.620	  1.874e-03 	
         3.638	  1.870e-03 	
         3.658	  1.880e-03 	
         3.680	  1.884e-03 	
         3.700	  1.872e-03 	
         3.720	  1.874e-03 	
         3.739	  1.880e-03 	
         3.758	  1.872e-03 	
         3.778	  1.870e-03 	
         3.800	  1.880e-03 	
         3.820	  1.876e-03 	
         3.839	  1.874e-03 	
         3.859	  1.878e-03 	
         3.879	  1.870e-03 	
         3.900	  1.872e-03 	
         3.920	  1.882e-03 	
         3.938	  1.876e-03 	
         3.960	  1.866e-03 	
