;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:24/01/2022 at 15:18:08
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DIF (s/n:571777)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE50BF-DIF
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:4.00mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0mS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:3.893mJ             
;Max:3.978mJ             
;Average:3.931mJ             
;Std.Dev.:7.686uJ             
;Overrange:0                   
;Total Pulses:15000               
;--------------------


;First Pulse Arrived : 24/01/2022 at 15:18:08
  Timestamp   	  Channel A  	
         0.000	  3.925e-03 	
         0.020	  3.931e-03 	
         0.040	  3.938e-03 	
         0.058	  3.938e-03 	
         0.079	  3.931e-03 	
         0.100	  3.944e-03 	
         0.119	  3.929e-03 	
         0.140	  3.931e-03 	
         0.158	  3.935e-03 	
         0.178	  3.933e-03 	
         0.199	  3.923e-03 	
         0.220	  3.948e-03 	
         0.240	  3.929e-03 	
         0.258	  3.935e-03 	
         0.278	  3.921e-03 	
         0.300	  3.929e-03 	
         0.320	  3.923e-03 	
         0.340	  3.933e-03 	
         0.358	  3.927e-03 	
         0.378	  3.935e-03 	
         0.398	  3.937e-03 	
         0.419	  3.938e-03 	
         0.440	  3.927e-03 	
         0.458	  3.933e-03 	
         0.478	  3.927e-03 	
         0.499	  3.929e-03 	
         0.520	  3.933e-03 	
         0.540	  3.925e-03 	
         0.558	  3.927e-03 	
         0.579	  3.933e-03 	
         0.600	  3.946e-03 	
         0.620	  3.931e-03 	
         0.639	  3.935e-03 	
         0.658	  3.929e-03 	
         0.678	  3.929e-03 	
         0.700	  3.933e-03 	
         0.720	  3.937e-03 	
         0.739	  3.927e-03 	
         0.759	  3.942e-03 	
         0.779	  3.940e-03 	
         0.799	  3.938e-03 	
         0.820	  3.935e-03 	
         0.840	  3.937e-03 	
         0.859	  3.946e-03 	
         0.880	  3.940e-03 	
         0.900	  3.937e-03 	
         0.919	  3.937e-03 	
         0.940	  3.942e-03 	
         0.958	  3.937e-03 	
         0.979	  3.946e-03 	
         0.999	  3.938e-03 	
         1.020	  3.925e-03 	
         1.040	  3.927e-03 	
         1.058	  3.946e-03 	
         1.080	  3.940e-03 	
         1.100	  3.925e-03 	
         1.120	  3.942e-03 	
         1.140	  3.948e-03 	
         1.158	  3.931e-03 	
         1.178	  3.937e-03 	
         1.199	  3.931e-03 	
         1.218	  3.942e-03 	
         1.239	  3.931e-03 	
         1.258	  3.933e-03 	
         1.279	  3.935e-03 	
         1.298	  3.942e-03 	
         1.319	  3.938e-03 	
         1.340	  3.948e-03 	
         1.358	  3.935e-03 	
         1.380	  3.937e-03 	
         1.399	  3.940e-03 	
         1.419	  3.944e-03 	
         1.440	  3.938e-03 	
         1.458	  3.935e-03 	
         1.479	  3.938e-03 	
         1.499	  3.935e-03 	
         1.519	  3.946e-03 	
         1.540	  3.935e-03 	
         1.558	  3.937e-03 	
         1.579	  3.935e-03 	
         1.600	  3.938e-03 	
         1.620	  3.948e-03 	
         1.638	  3.944e-03 	
         1.658	  3.942e-03 	
         1.680	  3.946e-03 	
         1.699	  3.944e-03 	
         1.720	  3.944e-03 	
         1.740	  3.940e-03 	
         1.758	  3.940e-03 	
         1.779	  3.935e-03 	
         1.798	  3.944e-03 	
         1.820	  3.938e-03 	
         1.840	  3.937e-03 	
         1.858	  3.944e-03 	
         1.879	  3.938e-03 	
         1.900	  3.944e-03 	
         1.919	  3.937e-03 	
         1.940	  3.931e-03 	
         1.958	  3.938e-03 	
         1.979	  3.946e-03 	
         2.000	  3.935e-03 	
         2.020	  3.942e-03 	
         2.040	  3.942e-03 	
         2.058	  3.937e-03 	
         2.079	  3.937e-03 	
         2.098	  3.935e-03 	
         2.120	  3.937e-03 	
         2.139	  3.940e-03 	
         2.159	  3.935e-03 	
         2.180	  3.937e-03 	
         2.199	  3.937e-03 	
         2.219	  3.942e-03 	
         2.240	  3.931e-03 	
         2.258	  3.935e-03 	
         2.280	  3.929e-03 	
         2.299	  3.929e-03 	
         2.320	  3.935e-03 	
         2.340	  3.937e-03 	
         2.358	  3.925e-03 	
         2.378	  3.931e-03 	
         2.400	  3.933e-03 	
         2.418	  3.937e-03 	
         2.440	  3.935e-03 	
         2.458	  3.940e-03 	
         2.480	  3.931e-03 	
         2.500	  3.927e-03 	
         2.520	  3.935e-03 	
         2.538	  3.938e-03 	
         2.558	  3.935e-03 	
         2.579	  3.935e-03 	
         2.599	  3.927e-03 	
         2.619	  3.931e-03 	
         2.639	  3.929e-03 	
         2.658	  3.927e-03 	
         2.679	  3.927e-03 	
         2.700	  3.925e-03 	
         2.720	  3.927e-03 	
         2.740	  3.917e-03 	
         2.758	  3.935e-03 	
         2.779	  3.927e-03 	
         2.799	  3.931e-03 	
         2.820	  3.931e-03 	
         2.840	  3.921e-03 	
         2.858	  3.929e-03 	
         2.878	  3.927e-03 	
         2.900	  3.931e-03 	
         2.919	  3.933e-03 	
         2.940	  3.935e-03 	
         2.959	  3.937e-03 	
         2.980	  3.925e-03 	
         3.000	  3.929e-03 	
         3.020	  3.937e-03 	
         3.040	  3.933e-03 	
         3.058	  3.933e-03 	
         3.078	  3.929e-03 	
         3.100	  3.933e-03 	
         3.120	  3.933e-03 	
         3.140	  3.946e-03 	
         3.159	  3.942e-03 	
         3.178	  3.935e-03 	
         3.200	  3.931e-03 	
         3.219	  3.931e-03 	
         3.239	  3.933e-03 	
         3.258	  3.938e-03 	
         3.279	  3.940e-03 	
         3.299	  3.931e-03 	
         3.319	  3.931e-03 	
         3.340	  3.937e-03 	
         3.359	  3.933e-03 	
         3.378	  3.925e-03 	
