% delay[us]  - filename *.bin  
      1795           1
        1796           2
        1797           3
        1798           4
        1799           5
        1800           6
        1801           7
        1802           8
        1803           9
        1804          10
        1805          11
        1806          12
        1807          13
        1808          14
        1809          15
        1810          16
        1811          17
        1812          18
        1813          19
        1814          20
        1815          21
        1816          22
        1817          23
        1818          24
        1819          25
        1820          26
        1821          27
        1822          28
        1823          29
        1824          30
        1825          31
        1826          32
        1827          33
        1828          34
        1829          35
        1830          36
        1831          37
        1832          38
        1833          39
        1834          40
        1835          41
        1836          42
        1837          43
        1838          44
        1839          45
        1840          46
        1841          47
        1842          48
        1843          49
        1844          50
        1845          51
        1846          52
        1847          53
        1848          54
        1849          55
        1850          56
        1851          57
        1852          58
        1853          59
        1854          60
        1855          61
        1856          62
        1857          63
        1858          64
        1859          65
        1860          66
        1861          67
        1862          68
        1863          69
        1864          70
        1865          71
        1866          72
        1867          73
        1868          74
        1869          75
        1870          76
        1871          77
        1872          78
        1873          79
        1874          80
        1875          81
        1876          82
        1877          83
        1878          84
        1879          85
        1880          86
        1881          87
        1882          88
        1883          89
        1884          90
        1885          91
        1886          92
        1887          93
        1888          94
        1889          95
        1890          96
        1891          97
        1892          98
        1893          99
        1894         100
