;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:24/01/2022 at 15:04:04
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DIF (s/n:571777)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE50BF-DIF
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:4.00mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0mS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:1.858mJ             
;Max:1.886mJ             
;Average:1.874mJ             
;Std.Dev.:5.023uJ             
;Overrange:0                   
;Total Pulses:339                 
;--------------------


;First Pulse Arrived : 24/01/2022 at 15:04:04
  Timestamp   	  Channel A  	
         0.000	  1.878e-03 	
         0.021	  1.882e-03 	
         0.041	  1.878e-03 	
         0.061	  1.876e-03 	
         0.080	  1.874e-03 	
         0.100	  1.880e-03 	
         0.120	  1.874e-03 	
         0.141	  1.876e-03 	
         0.161	  1.868e-03 	
         0.180	  1.876e-03 	
         0.201	  1.870e-03 	
         0.220	  1.880e-03 	
         0.241	  1.874e-03 	
         0.261	  1.876e-03 	
         0.280	  1.870e-03 	
         0.301	  1.874e-03 	
         0.320	  1.866e-03 	
         0.341	  1.878e-03 	
         0.360	  1.864e-03 	
         0.379	  1.872e-03 	
         0.399	  1.872e-03 	
         0.421	  1.872e-03 	
         0.440	  1.872e-03 	
         0.461	  1.874e-03 	
         0.480	  1.872e-03 	
         0.499	  1.874e-03 	
         0.519	  1.870e-03 	
         0.541	  1.872e-03 	
         0.561	  1.878e-03 	
         0.580	  1.874e-03 	
         0.601	  1.870e-03 	
         0.620	  1.858e-03 	
         0.641	  1.870e-03 	
         0.661	  1.870e-03 	
         0.679	  1.876e-03 	
         0.701	  1.872e-03 	
         0.720	  1.878e-03 	
         0.741	  1.874e-03 	
         0.761	  1.876e-03 	
         0.779	  1.870e-03 	
         0.800	  1.872e-03 	
         0.820	  1.868e-03 	
         0.841	  1.876e-03 	
         0.861	  1.876e-03 	
         0.879	  1.874e-03 	
         0.901	  1.880e-03 	
         0.921	  1.868e-03 	
         0.941	  1.876e-03 	
         0.961	  1.876e-03 	
         0.980	  1.876e-03 	
         1.001	  1.882e-03 	
         1.021	  1.878e-03 	
         1.041	  1.870e-03 	
         1.060	  1.872e-03 	
         1.081	  1.874e-03 	
         1.100	  1.872e-03 	
         1.121	  1.882e-03 	
         1.141	  1.886e-03 	
         1.160	  1.880e-03 	
         1.180	  1.872e-03 	
         1.201	  1.866e-03 	
         1.221	  1.870e-03 	
         1.240	  1.886e-03 	
         1.261	  1.868e-03 	
         1.280	  1.878e-03 	
         1.301	  1.874e-03 	
         1.320	  1.878e-03 	
         1.340	  1.874e-03 	
         1.361	  1.872e-03 	
         1.380	  1.876e-03 	
         1.400	  1.874e-03 	
         1.421	  1.878e-03 	
         1.441	  1.880e-03 	
         1.460	  1.886e-03 	
         1.479	  1.876e-03 	
         1.500	  1.880e-03 	
         1.519	  1.880e-03 	
         1.539	  1.868e-03 	
         1.561	  1.880e-03 	
         1.581	  1.878e-03 	
         1.600	  1.876e-03 	
         1.621	  1.872e-03 	
         1.641	  1.864e-03 	
         1.661	  1.876e-03 	
         1.680	  1.884e-03 	
         1.701	  1.874e-03 	
         1.719	  1.872e-03 	
         1.741	  1.868e-03 	
         1.761	  1.878e-03 	
         1.780	  1.862e-03 	
         1.801	  1.874e-03 	
         1.820	  1.872e-03 	
         1.841	  1.874e-03 	
         1.861	  1.874e-03 	
         1.879	  1.872e-03 	
         1.901	  1.870e-03 	
         1.920	  1.876e-03 	
         1.941	  1.882e-03 	
         1.961	  1.876e-03 	
