;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:24/01/2022 at 15:08:35
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DIF (s/n:571777)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE50BF-DIF
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:40.0mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0mS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:4.910mJ             
;Max:5.690mJ             
;Average:5.108mJ             
;Std.Dev.:266.1uJ             
;Overrange:0                   
;Total Pulses:4941                
;--------------------


;First Pulse Arrived : 24/01/2022 at 15:08:35
  Timestamp   	  Channel A  	
         0.000	  4.950e-03 	
         0.021	  4.950e-03 	
         0.040	  4.970e-03 	
         0.061	  4.950e-03 	
         0.080	  4.950e-03 	
         0.100	  4.950e-03 	
         0.121	  4.950e-03 	
         0.141	  4.930e-03 	
         0.161	  4.970e-03 	
         0.180	  4.950e-03 	
         0.200	  4.930e-03 	
         0.221	  4.950e-03 	
         0.241	  4.950e-03 	
         0.261	  4.950e-03 	
         0.280	  4.950e-03 	
         0.300	  4.950e-03 	
         0.321	  4.930e-03 	
         0.341	  4.950e-03 	
         0.361	  4.970e-03 	
         0.380	  4.950e-03 	
         0.399	  4.950e-03 	
         0.419	  4.930e-03 	
         0.441	  4.950e-03 	
         0.461	  4.930e-03 	
         0.480	  4.930e-03 	
         0.500	  4.930e-03 	
         0.519	  4.930e-03 	
         0.541	  4.930e-03 	
         0.561	  4.950e-03 	
         0.580	  4.930e-03 	
         0.600	  4.930e-03 	
         0.619	  4.950e-03 	
         0.640	  4.950e-03 	
         0.661	  4.950e-03 	
         0.680	  4.930e-03 	
         0.701	  4.930e-03 	
         0.719	  4.950e-03 	
         0.739	  4.930e-03 	
         0.760	  4.950e-03 	
         0.779	  4.930e-03 	
         0.800	  4.930e-03 	
         0.820	  4.930e-03 	
         0.841	  4.950e-03 	
         0.861	  4.930e-03 	
         0.880	  4.930e-03 	
         0.900	  4.950e-03 	
         0.921	  4.930e-03 	
         0.941	  4.930e-03 	
         0.961	  4.950e-03 	
         0.980	  4.950e-03 	
         1.000	  4.950e-03 	
         1.021	  4.950e-03 	
         1.041	  4.950e-03 	
         1.059	  4.950e-03 	
