;PC Software:StarLab Version 3.62 Build 1
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:24/01/2022 at 15:45:24
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DIF (s/n:571777)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE50BF-DIF
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1064
;Settings:Range:4.00mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0mS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:3.820mJ             
;Max:3.970mJ             
;Average:3.917mJ             
;Std.Dev.:8.161uJ             
;Overrange:0                   
;Total Pulses:15000               
;--------------------


;First Pulse Arrived : 24/01/2022 at 15:45:25
  Timestamp   	  Channel A  	
         0.000	  3.911e-03 	
         0.021	  3.921e-03 	
         0.041	  3.923e-03 	
         0.060	  3.919e-03 	
         0.080	  3.913e-03 	
         0.101	  3.921e-03 	
         0.121	  3.925e-03 	
         0.141	  3.915e-03 	
         0.160	  3.919e-03 	
         0.179	  3.927e-03 	
         0.201	  3.925e-03 	
         0.220	  3.919e-03 	
         0.240	  3.917e-03 	
         0.260	  3.919e-03 	
         0.281	  3.919e-03 	
         0.300	  3.935e-03 	
         0.321	  3.925e-03 	
         0.341	  3.917e-03 	
         0.359	  3.919e-03 	
         0.381	  3.915e-03 	
         0.400	  3.921e-03 	
         0.421	  3.905e-03 	
         0.441	  3.911e-03 	
         0.460	  3.909e-03 	
         0.481	  3.923e-03 	
         0.501	  3.921e-03 	
         0.521	  3.923e-03 	
         0.540	  3.913e-03 	
         0.560	  3.921e-03 	
         0.580	  3.927e-03 	
         0.601	  3.921e-03 	
         0.621	  3.921e-03 	
         0.640	  3.919e-03 	
         0.660	  3.927e-03 	
         0.680	  3.915e-03 	
         0.701	  3.921e-03 	
         0.720	  3.909e-03 	
         0.740	  3.917e-03 	
         0.760	  3.913e-03 	
         0.781	  3.923e-03 	
         0.800	  3.927e-03 	
         0.820	  3.901e-03 	
         0.841	  3.923e-03 	
         0.860	  3.921e-03 	
         0.881	  3.915e-03 	
         0.900	  3.915e-03 	
         0.921	  3.919e-03 	
         0.941	  3.925e-03 	
         0.960	  3.915e-03 	
         0.981	  3.925e-03 	
         1.001	  3.923e-03 	
         1.021	  3.919e-03 	
         1.041	  3.923e-03 	
         1.060	  3.925e-03 	
         1.080	  3.923e-03 	
         1.100	  3.935e-03 	
         1.121	  3.909e-03 	
