;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/01/2023 at 15:52:11
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:49.00nJ             
;Max:2.191uJ             
;Average:967.2nJ             
;Std.Dev.:426.1nJ             
;Overrange:306                 
;Total Pulses:3601                
;--------------------


;First Pulse Arrived : 18/01/2023 at 15:52:12
  Timestamp   	  Channel A  	
         0.000	  9.040e-07 	
         0.006	  4.690e-07 	
         0.009	  3.890e-07 	
         1.827	  7.300e-07 	
         1.867	  1.730e-07 	
         1.906	  1.092e-06 	
         1.928	  3.780e-07 	
         1.947	  4.360e-07 	
         1.966	  4.030e-07 	
         1.987	  2.540e-07 	
         2.006	  5.020e-07 	
         2.027	  4.650e-07 	
         2.047	  3.900e-07 	
         2.066	  2.510e-07 	
         2.087	  5.830e-07 	
         2.106	  4.170e-07 	
         2.128	  6.630e-07 	
         2.147	  4.530e-07 	
         2.167	  3.690e-07 	
         2.188	  1.860e-07 	
         2.207	  5.350e-07 	
         2.227	  1.850e-07 	
         2.247	  6.000e-07 	
         2.270	  3.970e-07 	
         2.288	  2.570e-07 	
         2.307	  3.200e-07 	
         2.328	  5.690e-07 	
         2.347	  8.910e-07 	
         2.368	  7.060e-07 	
         2.388	  6.170e-07 	
         2.407	  6.590e-07 	
         2.426	  7.760e-07 	
         2.447	  5.020e-07 	
         2.467	  7.280e-07 	
         2.487	  7.640e-07 	
         2.507	  3.300e-07 	
         2.528	  6.990e-07 	
         2.547	  3.180e-07 	
         2.567	  4.590e-07 	
         2.587	  1.270e-07 	
         2.607	  3.780e-07 	
         2.628	  2.420e-07 	
         2.647	  4.520e-07 	
         2.667	  4.230e-07 	
         2.707	  4.740e-07 	
         2.728	  8.510e-07 	
         2.747	  7.600e-07 	
         2.769	  4.390e-07 	
         2.787	  5.310e-07 	
         2.807	  5.050e-07 	
         2.827	  4.130e-07 	
         2.847	  6.220e-07 	
         2.867	  5.070e-07 	
         2.888	  7.170e-07 	
         2.906	  6.740e-07 	
         2.928	  2.650e-07 	
         2.946	  3.260e-07 	
         2.966	  8.010e-07 	
         2.988	  8.650e-07 	
         3.007	  7.640e-07 	
         3.028	  8.080e-07 	
         3.048	  5.310e-07 	
         3.067	  6.930e-07 	
