;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/01/2023 at 16:54:28
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE25-V2 (s/n:539122)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE25-V2
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:1.300uJ             
;Max:42.70uJ             
;Average:21.19uJ             
;Std.Dev.:6.425uJ             
;Overrange:0                   
;Total Pulses:4829                

;Channel B:Statistics
;Min:1.670uJ             
;Max:8.860uJ             
;Average:4.829uJ             
;Std.Dev.:1.386uJ             
;Overrange:0                   
;Total Pulses:4835                
;--------------------


;First Pulse Arrived : 18/01/2023 at 16:54:32
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  9.300e-06 	  2.510e-06 	
         0.022	  8.600e-06 	  2.120e-06 	
         0.041	  1.160e-05 	  2.320e-06 	
         0.061	  1.600e-05 	  3.250e-06 	
         0.081	  1.030e-05 	  2.550e-06 	
         0.101	  1.290e-05 	  3.040e-06 	
         0.122	  1.710e-05 	  3.630e-06 	
         0.141	  1.550e-05 	  3.540e-06 	
         0.161	  1.390e-05 	  3.260e-06 	
         0.181	  1.070e-05 	  2.680e-06 	
         0.201	  1.070e-05 	             	
         0.203	             	  2.510e-06 	
         0.222	  1.790e-05 	  3.660e-06 	
         0.241	  1.570e-05 	  3.790e-06 	
         0.261	  1.790e-05 	  4.050e-06 	
         0.281	  1.660e-05 	  3.790e-06 	
         0.301	  1.390e-05 	             	
         0.304	             	  3.360e-06 	
         0.322	  2.170e-05 	  4.440e-06 	
         0.341	  1.380e-05 	  3.490e-06 	
         0.361	  1.360e-05 	             	
         0.364	             	  3.210e-06 	
         0.380	  1.380e-05 	  3.320e-06 	
         0.402	  1.540e-05 	             	
         0.403	             	  3.330e-06 	
         0.422	  1.500e-05 	  3.310e-06 	
         0.440	  1.770e-05 	  3.830e-06 	
         0.461	  1.420e-05 	  3.440e-06 	
         0.481	  1.930e-05 	  4.240e-06 	
         0.500	  1.030e-05 	             	
         0.503	             	  2.890e-06 	
         0.521	  1.360e-05 	  2.970e-06 	
         0.541	  1.670e-05 	  3.620e-06 	
         0.561	  1.230e-05 	  2.970e-06 	
         0.582	  1.360e-05 	  3.260e-06 	
         0.601	  1.160e-05 	             	
         0.604	             	  2.820e-06 	
         0.622	  1.500e-05 	  3.270e-06 	
         0.641	  1.410e-05 	  3.200e-06 	
         0.660	  1.550e-05 	  3.440e-06 	
         0.681	  1.160e-05 	  2.950e-06 	
         0.700	  1.420e-05 	             	
         0.702	             	  3.080e-06 	
         0.721	  1.350e-05 	  3.000e-06 	
         0.741	  1.340e-05 	  3.020e-06 	
         0.760	  1.440e-05 	  3.200e-06 	
         0.781	  1.480e-05 	  3.430e-06 	
         0.802	  1.350e-05 	             	
         0.804	             	  3.320e-06 	
         0.822	  1.640e-05 	  3.460e-06 	
         0.841	  1.280e-05 	  3.210e-06 	
         0.860	  1.320e-05 	  3.020e-06 	
         0.882	  1.190e-05 	  2.840e-06 	
         0.902	  1.150e-05 	             	
         0.903	             	  2.730e-06 	
         0.922	  1.390e-05 	  3.090e-06 	
         0.942	  1.470e-05 	  3.300e-06 	
         0.961	  1.790e-05 	  3.910e-06 	
         0.981	  1.860e-05 	  4.300e-06 	
         1.003	  1.480e-05 	  3.670e-06 	
         1.022	  1.100e-05 	  3.010e-06 	
         1.041	  1.090e-05 	  2.630e-06 	
         1.061	  1.900e-05 	  3.850e-06 	
         1.081	  1.350e-05 	  3.360e-06 	
         1.101	  1.120e-05 	             	
         1.103	             	  2.780e-06 	
         1.122	  1.640e-05 	  3.430e-06 	
         1.141	  1.000e-05 	  2.590e-06 	
         1.161	  1.710e-05 	  3.490e-06 	
         1.181	  1.310e-05 	  3.170e-06 	
         1.202	  1.470e-05 	             	
         1.204	             	  3.400e-06 	
         1.222	  1.580e-05 	  3.630e-06 	
         1.241	  1.830e-05 	  3.870e-06 	
         1.261	  1.470e-05 	  3.370e-06 	
         1.280	  1.950e-05 	  4.110e-06 	
         1.302	  1.820e-05 	             	
         1.304	             	  4.130e-06 	
         1.321	  1.680e-05 	  3.930e-06 	
         1.341	  2.090e-05 	  4.490e-06 	
         1.361	  1.260e-05 	  3.270e-06 	
         1.382	  1.220e-05 	  2.970e-06 	
         1.400	  1.360e-05 	             	
         1.404	             	  3.250e-06 	
         1.422	  1.190e-05 	  2.890e-06 	
         1.441	  1.380e-05 	  3.160e-06 	
         1.461	  1.260e-05 	  2.970e-06 	
         1.481	  2.020e-05 	  3.950e-06 	
         1.501	  1.290e-05 	             	
         1.505	             	  3.250e-06 	
         1.522	  1.320e-05 	  3.250e-06 	
         1.541	  1.470e-05 	  3.450e-06 	
         1.561	  1.340e-05 	  3.250e-06 	
         1.581	  1.320e-05 	  3.110e-06 	
         1.601	  1.440e-05 	             	
         1.603	             	  3.280e-06 	
         1.622	  1.280e-05 	  3.100e-06 	
         1.640	  1.710e-05 	  3.610e-06 	
         1.661	  1.390e-05 	  3.270e-06 	
         1.681	  1.200e-05 	  2.870e-06 	
         1.701	  1.520e-05 	             	
         1.703	             	  3.220e-06 	
         1.722	  1.470e-05 	  3.190e-06 	
         1.741	  1.190e-05 	  2.820e-06 	
         1.760	  1.000e-05 	  2.610e-06 	
         1.781	  1.470e-05 	  3.250e-06 	
         1.801	  1.500e-05 	             	
         1.803	             	  3.370e-06 	
         1.821	  1.380e-05 	  3.270e-06 	
         1.842	  1.420e-05 	  3.520e-06 	
         1.861	  1.390e-05 	  3.360e-06 	
         1.882	  1.310e-05 	  3.060e-06 	
         1.900	  1.670e-05 	             	
         1.902	             	  3.630e-06 	
         1.922	  1.230e-05 	  3.160e-06 	
         1.941	  1.130e-05 	  2.930e-06 	
         1.961	  1.510e-05 	  3.360e-06 	
         1.982	  1.440e-05 	  3.340e-06 	
         2.001	  1.220e-05 	             	
         2.003	             	  2.840e-06 	
         2.022	  1.160e-05 	  2.740e-06 	
         2.041	  1.500e-05 	  3.210e-06 	
         2.060	  1.670e-05 	  3.590e-06 	
         2.082	  1.760e-05 	  3.990e-06 	
         2.101	  1.520e-05 	             	
         2.103	             	  3.710e-06 	
         2.122	  1.440e-05 	  3.190e-06 	
         2.141	             	  2.850e-06 	
         2.142	  1.180e-05 	             	
         2.161	  1.100e-05 	  2.760e-06 	
         2.180	  1.350e-05 	  2.990e-06 	
         2.201	  1.740e-05 	             	
         2.202	             	  3.820e-06 	
         2.222	  1.510e-05 	  3.530e-06 	
         2.242	  1.500e-05 	  3.370e-06 	
         2.261	  1.510e-05 	  3.500e-06 	
         2.281	  1.220e-05 	  2.950e-06 	
         2.301	  1.640e-05 	             	
         2.302	             	  3.390e-06 	
         2.322	  1.630e-05 	  3.530e-06 	
         2.341	  1.600e-05 	  3.680e-06 	
         2.361	  1.280e-05 	  3.030e-06 	
         2.381	  1.130e-05 	  2.720e-06 	
         2.401	  1.310e-05 	             	
         2.403	             	  2.980e-06 	
         2.422	  1.200e-05 	  2.830e-06 	
         2.442	  1.120e-05 	  2.760e-06 	
         2.460	  1.000e-05 	  2.610e-06 	
         2.480	  1.510e-05 	  3.310e-06 	
         2.501	  1.480e-05 	             	
         2.503	             	  3.500e-06 	
         2.521	  1.580e-05 	  3.760e-06 	
         2.542	  1.040e-05 	  2.740e-06 	
         2.561	  1.700e-05 	  3.510e-06 	
         2.582	  1.550e-05 	  3.570e-06 	
         2.601	  1.190e-05 	             	
         2.603	             	  3.050e-06 	
         2.622	  1.040e-05 	  2.560e-06 	
         2.642	  1.420e-05 	  3.100e-06 	
         2.660	  9.000e-06 	  2.400e-06 	
         2.682	  1.600e-05 	  3.400e-06 	
         2.702	  1.640e-05 	             	
         2.704	             	  3.570e-06 	
         2.721	  1.020e-05 	  2.860e-06 	
         2.741	  9.600e-06 	  2.400e-06 	
         2.761	  1.310e-05 	  2.870e-06 	
         2.782	  1.470e-05 	  3.190e-06 	
         2.801	  1.310e-05 	             	
         2.803	             	  3.110e-06 	
         2.821	  1.310e-05 	  3.100e-06 	
         2.842	  1.570e-05 	  3.680e-06 	
         2.861	  1.350e-05 	  3.340e-06 	
         2.881	  1.580e-05 	  3.590e-06 	
         2.901	  1.710e-05 	             	
         2.904	             	  3.870e-06 	
         2.921	  1.190e-05 	  3.100e-06 	
         2.942	  1.310e-05 	  2.970e-06 	
         2.961	  1.160e-05 	  2.670e-06 	
         2.981	  1.670e-05 	  3.500e-06 	
         3.000	  1.500e-05 	             	
         3.003	             	  3.400e-06 	
         3.021	  1.440e-05 	  3.420e-06 	
         3.042	  1.580e-05 	  3.460e-06 	
         3.060	  1.220e-05 	  2.970e-06 	
         3.081	  1.510e-05 	  3.470e-06 	
         3.101	  1.710e-05 	             	
         3.103	             	  3.980e-06 	
         3.122	  1.310e-05 	  3.370e-06 	
         3.142	  1.280e-05 	  3.040e-06 	
         3.161	  1.470e-05 	  3.230e-06 	
         3.180	  1.290e-05 	  3.010e-06 	
         3.201	  1.800e-05 	             	
