;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/01/2023 at 17:13:11
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:126.0nJ             
;Max:2.200uJ             
;Average:971.9nJ             
;Std.Dev.:515.5nJ             
;Overrange:3020                
;Total Pulses:2758                

;Channel B:Statistics
;Min:620.0nJ             
;Max:21.30uJ             
;Average:9.592uJ             
;Std.Dev.:5.010uJ             
;Overrange:104                 
;Total Pulses:5702                
;--------------------


;First Pulse Arrived : 18/01/2023 at 17:13:14
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  2.350e-07 	  1.480e-06 	
         0.020	  2.470e-07 	  1.430e-06 	
         0.039	  1.330e-07 	  1.070e-06 	
         0.060	  2.130e-07 	  1.160e-06 	
         0.080	  5.550e-07 	  2.570e-06 	
         0.100	  2.740e-07 	  1.790e-06 	
         0.121	             	  1.070e-06 	
         0.140	  5.120e-07 	  2.310e-06 	
         0.160	  4.250e-07 	  2.370e-06 	
         0.180	  4.760e-07 	  2.590e-06 	
         0.200	  4.830e-07 	  2.680e-06 	
         0.220	  5.520e-07 	  2.930e-06 	
         0.240	  4.310e-07 	  2.590e-06 	
         0.260	  7.650e-07 	  3.770e-06 	
         0.280	  2.840e-07 	  2.200e-06 	
         0.300	  5.960e-07 	  3.060e-06 	
         0.320	  5.380e-07 	  3.020e-06 	
         0.340	  2.180e-07 	  1.750e-06 	
         0.360	  6.680e-07 	  3.190e-06 	
         0.380	  2.920e-07 	  2.070e-06 	
         0.401	  4.300e-07 	  2.310e-06 	
         0.419	  1.890e-07 	  1.430e-06 	
         0.440	  3.160e-07 	  1.710e-06 	
         0.461	  3.830e-07 	  2.000e-06 	
         0.480	             	  1.110e-06 	
         0.501	  5.300e-07 	  2.440e-06 	
         0.519	  4.030e-07 	  2.290e-06 	
         0.540	             	  1.240e-06 	
         0.561	  1.800e-07 	  1.100e-06 	
         0.580	  1.700e-07 	  9.900e-07 	
         0.600	  1.710e-07 	  9.800e-07 	
         0.620	  4.540e-07 	  2.070e-06 	
         0.640	  1.990e-07 	  1.390e-06 	
         0.661	  2.190e-07 	  1.280e-06 	
         0.680	  1.930e-07 	  1.090e-06 	
         0.700	  3.160e-07 	  1.610e-06 	
         0.720	  5.920e-07 	  2.760e-06 	
         0.740	  2.930e-07 	  1.960e-06 	
         0.760	  4.080e-07 	  2.190e-06 	
         0.780	  5.110e-07 	  2.700e-06 	
         0.801	  2.100e-07 	  1.610e-06 	
         0.819	  5.190e-07 	  2.550e-06 	
         0.840	  3.830e-07 	  2.210e-06 	
         0.860	  2.400e-07 	  1.610e-06 	
         0.880	             	  8.700e-07 	
         0.900	             	  6.200e-07 	
         0.920	  3.970e-07 	  1.780e-06 	
         0.940	  2.450e-07 	  1.490e-06 	
         0.960	  3.670e-07 	  1.900e-06 	
         0.980	  1.860e-07 	  1.290e-06 	
         1.000	             	  9.900e-07 	
         1.020	  5.540e-07 	  2.530e-06 	
         1.060	             	  1.880e-06 	
         1.062	  2.830e-07 	             	
         1.080	  6.070e-07 	  2.920e-06 	
         1.100	  3.970e-07 	  2.440e-06 	
         1.120	  3.670e-07 	  2.140e-06 	
         1.139	  4.910e-07 	  2.520e-06 	
         1.161	  2.340e-07 	  1.620e-06 	
         1.180	  4.410e-07 	             	
         1.181	             	  2.200e-06 	
         1.201	  3.880e-07 	  2.170e-06 	
         1.221	  2.460e-07 	  1.620e-06 	
         1.239	  3.700e-07 	  1.880e-06 	
         1.260	  4.050e-07 	  2.160e-06 	
         1.281	  3.840e-07 	  2.170e-06 	
         1.301	  4.810e-07 	  2.570e-06 	
         1.318	  4.620e-07 	             	
         1.320	             	  2.580e-06 	
         1.340	  3.760e-07 	  2.330e-06 	
         1.359	  4.310e-07 	  2.390e-06 	
         1.380	  3.840e-07 	  2.110e-06 	
         1.400	  5.320e-07 	  2.670e-06 	
         1.420	  4.450e-07 	  2.520e-06 	
         1.440	  4.150e-07 	  2.350e-06 	
         1.460	  6.220e-07 	  3.190e-06 	
         1.480	  5.280e-07 	  3.100e-06 	
         1.500	  3.600e-07 	  2.310e-06 	
         1.521	  5.580e-07 	  2.890e-06 	
         1.540	  6.590e-07 	  3.460e-06 	
         1.560	  7.640e-07 	  4.110e-06 	
         1.579	  5.920e-07 	  3.550e-06 	
         1.601	  9.670e-07 	  4.810e-06 	
         1.620	  4.360e-07 	  3.120e-06 	
         1.640	  6.230e-07 	  3.360e-06 	
         1.660	  2.150e-07 	  1.820e-06 	
         1.680	  2.240e-07 	  1.460e-06 	
         1.701	  8.660e-07 	  3.840e-06 	
         1.720	  1.620e-07 	  1.780e-06 	
         1.740	  5.310e-07 	  2.610e-06 	
         1.760	  3.550e-07 	  2.190e-06 	
         1.779	  2.900e-07 	  1.800e-06 	
         1.801	  3.560e-07 	  1.940e-06 	
         1.821	  4.700e-07 	  2.460e-06 	
         1.840	  3.480e-07 	  2.060e-06 	
         1.861	  4.950e-07 	  2.550e-06 	
         1.880	  1.910e-07 	  1.480e-06 	
         1.901	  4.130e-07 	  2.070e-06 	
         1.921	  3.240e-07 	  1.850e-06 	
         1.940	  9.040e-07 	  4.130e-06 	
         1.961	  3.680e-07 	  2.630e-06 	
         1.979	  2.550e-07 	  1.760e-06 	
         2.001	  6.610e-07 	  3.190e-06 	
         2.021	  3.660e-07 	  2.380e-06 	
         2.039	  3.870e-07 	  2.210e-06 	
         2.060	  8.420e-07 	  3.980e-06 	
         2.079	  4.620e-07 	  2.970e-06 	
         2.100	  4.670e-07 	  2.710e-06 	
         2.121	  9.290e-07 	  4.510e-06 	
         2.139	  5.500e-07 	  3.460e-06 	
         2.160	             	  1.880e-06 	
         2.162	  2.220e-07 	             	
         2.180	  3.420e-07 	  1.900e-06 	
         2.199	  3.320e-07 	             	
         2.201	             	  1.850e-06 	
         2.220	  2.620e-07 	  1.600e-06 	
         2.239	  4.940e-07 	  2.460e-06 	
         2.260	  4.530e-07 	  2.520e-06 	
         2.280	  5.310e-07 	  2.820e-06 	
         2.300	  4.740e-07 	             	
         2.303	             	  2.710e-06 	
         2.320	  4.010e-07 	  2.380e-06 	
         2.339	  3.500e-07 	  2.120e-06 	
         2.361	  3.680e-07 	  2.120e-06 	
         2.380	  1.490e-07 	  1.320e-06 	
         2.399	  4.340e-07 	             	
         2.400	             	  2.100e-06 	
         2.421	  3.310e-07 	  1.910e-06 	
         2.439	  3.390e-07 	  1.900e-06 	
         2.460	             	  8.200e-07 	
         2.481	  7.620e-07 	  3.230e-06 	
         2.501	  4.410e-07 	  2.650e-06 	
         2.521	  4.590e-07 	  2.560e-06 	
         2.540	  3.210e-07 	  2.010e-06 	
         2.559	  6.540e-07 	  3.170e-06 	
         2.581	  4.370e-07 	  2.610e-06 	
         2.601	  5.360e-07 	  2.890e-06 	
         2.620	  4.030e-07 	  2.420e-06 	
         2.640	  3.670e-07 	  2.140e-06 	
         2.660	             	  8.700e-07 	
         2.679	  3.700e-07 	  1.730e-06 	
         2.701	             	  9.000e-07 	
         2.721	  4.190e-07 	  1.910e-06 	
         2.740	  3.600e-07 	  1.960e-06 	
         2.760	             	  1.170e-06 	
         2.781	  3.450e-07 	  1.720e-06 	
         2.800	  3.670e-07 	  1.950e-06 	
         2.820	  5.970e-07 	  2.880e-06 	
         2.840	  5.260e-07 	  2.880e-06 	
         2.861	  4.880e-07 	  2.860e-06 	
         2.880	  3.020e-07 	  2.030e-06 	
         2.901	  2.150e-07 	  1.440e-06 	
         2.921	  2.190e-07 	  1.340e-06 	
         2.940	  4.080e-07 	  2.090e-06 	
         2.961	  3.160e-07 	  1.890e-06 	
         2.980	  3.530e-07 	  1.950e-06 	
         3.001	  4.890e-07 	  2.520e-06 	
         3.020	  4.380e-07 	  2.480e-06 	
         3.040	  7.140e-07 	  3.590e-06 	
         3.061	  5.390e-07 	  3.120e-06 	
         3.080	  5.080e-07 	  2.890e-06 	
         3.101	  2.210e-07 	  1.710e-06 	
         3.120	  5.110e-07 	  2.550e-06 	
         3.140	  1.840e-07 	  1.450e-06 	
         3.160	  4.050e-07 	  1.990e-06 	
         3.180	  3.160e-07 	  1.840e-06 	
         3.201	  3.230e-07 	  1.840e-06 	
         3.220	  2.860e-07 	  1.690e-06 	
         3.240	             	  1.000e-06 	
         3.260	  2.410e-07 	  1.280e-06 	
         3.280	  4.860e-07 	  2.300e-06 	
         3.301	             	  2.140e-06 	
         3.303	  3.690e-07 	             	
         3.320	  2.420e-07 	  1.550e-06 	
         3.340	  2.860e-07 	  1.600e-06 	
         3.360	  4.150e-07 	  2.130e-06 	
         3.380	  4.340e-07 	  2.370e-06 	
         3.401	  1.640e-07 	  1.340e-06 	
         3.420	  2.350e-07 	  1.360e-06 	
         3.439	  1.830e-07 	  1.150e-06 	
         3.461	  5.400e-07 	  2.550e-06 	
         3.480	  7.140e-07 	  3.610e-06 	
         3.501	  5.350e-07 	  3.140e-06 	
         3.520	  5.110e-07 	  2.870e-06 	
         3.540	  7.790e-07 	  3.930e-06 	
         3.560	  9.330e-07 	  4.860e-06 	
         3.581	  4.180e-07 	  3.000e-06 	
         3.600	  5.180e-07 	  2.860e-06 	
         3.620	  5.780e-07 	  3.130e-06 	
         3.639	  4.860e-07 	  2.820e-06 	
         3.660	  4.650e-07 	  2.570e-06 	
         3.681	  4.470e-07 	  2.590e-06 	
         3.701	  4.100e-07 	  2.370e-06 	
         3.720	  4.600e-07 	  2.540e-06 	
         3.739	  6.430e-07 	  3.290e-06 	
         3.760	  4.370e-07 	  2.650e-06 	
         3.780	  3.640e-07 	  2.190e-06 	
         3.801	  1.024e-06 	  4.720e-06 	
         3.820	  5.990e-07 	  3.690e-06 	
         3.839	  4.790e-07 	  2.980e-06 	
         3.860	  3.950e-07 	  2.440e-06 	
         3.880	  4.020e-07 	  2.290e-06 	
         3.900	  3.970e-07 	  2.310e-06 	
         3.920	  2.620e-07 	  1.730e-06 	
         3.940	  3.380e-07 	  1.830e-06 	
         3.961	  3.250e-07 	  1.880e-06 	
         3.981	  3.350e-07 	  1.890e-06 	
         4.000	             	  1.080e-06 	
         4.018	  5.660e-07 	  2.580e-06 	
         4.040	  3.970e-07 	  2.330e-06 	
         4.061	  2.130e-07 	  1.550e-06 	
         4.081	  2.830e-07 	  1.560e-06 	
         4.099	  4.520e-07 	  2.300e-06 	
         4.120	  5.280e-07 	  2.860e-06 	
         4.140	             	  1.250e-06 	
         4.160	  3.410e-07 	  1.670e-06 	
         4.178	  4.400e-07 	             	
         4.181	             	  2.230e-06 	
         4.201	  4.560e-07 	  2.510e-06 	
         4.220	  4.700e-07 	  2.570e-06 	
         4.240	  2.030e-07 	  1.560e-06 	
         4.261	  4.150e-07 	  2.200e-06 	
         4.278	  5.090e-07 	             	
         4.281	             	  2.650e-06 	
         4.299	             	  1.360e-06 	
         4.321	             	  8.800e-07 	
         4.340	             	  8.000e-07 	
         4.360	  4.560e-07 	  2.100e-06 	
         4.381	  2.380e-07 	  1.530e-06 	
         4.401	  2.040e-07 	  1.280e-06 	
         4.421	  2.700e-07 	  1.490e-06 	
         4.439	  4.300e-07 	  2.160e-06 	
         4.460	  3.880e-07 	  2.140e-06 	
         4.481	  3.940e-07 	  2.210e-06 	
         4.499	  4.300e-07 	  2.350e-06 	
         4.521	  2.830e-07 	  1.820e-06 	
         4.540	  5.920e-07 	  2.910e-06 	
         4.560	  4.370e-07 	  2.550e-06 	
         4.581	  3.050e-07 	  1.920e-06 	
         4.600	  2.690e-07 	  1.640e-06 	
         4.621	  3.570e-07 	  1.930e-06 	
         4.639	  6.060e-07 	  3.010e-06 	
         4.661	  2.250e-07 	  1.790e-06 	
         4.681	  3.970e-07 	  2.140e-06 	
         4.700	  3.120e-07 	  1.940e-06 	
         4.721	  5.020e-07 	  2.580e-06 	
         4.739	  2.860e-07 	  1.920e-06 	
         4.759	  3.000e-07 	  1.820e-06 	
         4.780	  2.560e-07 	  1.560e-06 	
         4.800	  3.820e-07 	  1.990e-06 	
         4.821	  4.600e-07 	  2.420e-06 	
         4.840	  3.980e-07 	  2.250e-06 	
         4.859	  3.670e-07 	             	
         4.860	             	  2.120e-06 	
         4.880	  3.250e-07 	  1.940e-06 	
         4.900	  3.300e-07 	  1.860e-06 	
         4.921	  2.350e-07 	  1.460e-06 	
         4.939	  2.580e-07 	  1.450e-06 	
         4.960	  3.630e-07 	  1.900e-06 	
         4.980	  5.090e-07 	  2.500e-06 	
         4.999	  4.750e-07 	  2.630e-06 	
         5.021	  2.700e-07 	  1.840e-06 	
         5.039	  3.890e-07 	  2.090e-06 	
         5.061	  4.400e-07 	  2.380e-06 	
         5.080	  5.760e-07 	  2.990e-06 	
         5.100	  4.380e-07 	  2.610e-06 	
         5.121	  3.530e-07 	  2.140e-06 	
         5.139	  3.830e-07 	  2.160e-06 	
         5.161	  3.690e-07 	  2.120e-06 	
