;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/01/2023 at 17:22:05
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:126.0nJ             
;Max:2.199uJ             
;Average:958.8nJ             
;Std.Dev.:521.7nJ             
;Overrange:2796                
;Total Pulses:3072                

;Channel B:Statistics
;Min:530.0nJ             
;Max:21.28uJ             
;Average:9.077uJ             
;Std.Dev.:5.057uJ             
;Overrange:71                  
;Total Pulses:5891                
;--------------------


;First Pulse Arrived : 18/01/2023 at 17:22:07
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  3.820e-07 	  1.580e-06 	
         0.041	             	  1.100e-06 	
         0.043	  1.370e-07 	             	
         0.060	  3.940e-07 	  1.910e-06 	
         0.081	             	  8.600e-07 	
         0.101	  1.610e-07 	  9.500e-07 	
         0.121	  1.420e-07 	  9.100e-07 	
         0.140	             	  7.500e-07 	
         0.161	             	  8.000e-07 	
         0.182	  3.200e-07 	  1.580e-06 	
         0.200	  3.600e-07 	  1.950e-06 	
         0.220	  2.350e-07 	  1.500e-06 	
         0.241	             	  7.700e-07 	
         0.261	  3.250e-07 	  1.530e-06 	
         0.282	  5.790e-07 	  2.720e-06 	
         0.302	  4.270e-07 	  2.500e-06 	
         0.321	  2.200e-07 	  1.550e-06 	
         0.342	  3.230e-07 	  1.780e-06 	
         0.361	  2.920e-07 	  1.700e-06 	
         0.382	  2.950e-07 	  1.690e-06 	
         0.402	  2.930e-07 	  1.690e-06 	
         0.421	  5.570e-07 	  2.670e-06 	
         0.442	  3.590e-07 	  2.200e-06 	
         0.461	  2.340e-07 	  1.560e-06 	
         0.481	  4.060e-07 	  2.080e-06 	
         0.501	  5.310e-07 	  2.670e-06 	
         0.521	  4.220e-07 	  2.450e-06 	
         0.542	             	  2.640e-06 	
         0.543	  4.890e-07 	             	
         0.561	  3.570e-07 	  2.240e-06 	
         0.582	  8.050e-07 	  3.880e-06 	
         0.602	  8.660e-07 	  4.600e-06 	
         0.621	  3.120e-07 	  2.560e-06 	
         0.642	  6.730e-07 	  3.420e-06 	
         0.661	  5.100e-07 	  3.060e-06 	
         0.681	  3.170e-07 	  2.120e-06 	
         0.701	  1.490e-07 	  1.230e-06 	
         0.721	  4.530e-07 	  2.190e-06 	
         0.741	  4.510e-07 	  2.420e-06 	
         0.760	  1.720e-07 	  1.450e-06 	
         0.781	  1.830e-07 	  1.180e-06 	
         0.802	  1.370e-07 	  9.100e-07 	
         0.821	  4.930e-07 	  2.250e-06 	
         0.841	             	  1.010e-06 	
         0.861	  4.130e-07 	  1.920e-06 	
         0.882	  4.740e-07 	  2.450e-06 	
         0.901	  6.810e-07 	  3.390e-06 	
         0.921	  3.090e-07 	  2.220e-06 	
         0.940	  4.530e-07 	  2.420e-06 	
         0.961	  3.050e-07 	  1.920e-06 	
         0.981	  6.300e-07 	  3.020e-06 	
         1.001	  3.060e-07 	  2.140e-06 	
         1.020	  3.660e-07 	  2.090e-06 	
         1.041	             	  9.400e-07 	
         1.061	  1.930e-07 	  1.060e-06 	
         1.080	  4.580e-07 	  2.160e-06 	
         1.102	  2.330e-07 	  1.550e-06 	
         1.120	  2.050e-07 	  1.300e-06 	
         1.140	  3.540e-07 	  1.780e-06 	
         1.162	  2.710e-07 	  1.610e-06 	
         1.180	  3.180e-07 	  1.770e-06 	
         1.201	  3.850e-07 	  2.040e-06 	
         1.221	  3.020e-07 	  1.820e-06 	
         1.240	  4.380e-07 	  2.330e-06 	
         1.261	  2.600e-07 	  1.750e-06 	
         1.282	  4.770e-07 	  2.360e-06 	
         1.301	             	  1.650e-06 	
         1.303	  2.340e-07 	             	
         1.321	  3.280e-07 	  1.800e-06 	
         1.341	  5.470e-07 	  2.670e-06 	
         1.360	  3.550e-07 	  2.160e-06 	
         1.381	  2.850e-07 	  1.770e-06 	
         1.401	  1.620e-07 	  1.170e-06 	
         1.421	  3.840e-07 	  1.900e-06 	
         1.442	  3.330e-07 	  1.890e-06 	
         1.461	  1.510e-07 	  1.210e-06 	
         1.482	  4.930e-07 	  2.320e-06 	
         1.501	  4.090e-07 	  2.290e-06 	
         1.521	  3.970e-07 	  2.270e-06 	
         1.542	             	  2.100e-06 	
         1.544	  3.760e-07 	             	
         1.561	  4.370e-07 	  2.300e-06 	
         1.580	  3.110e-07 	  1.930e-06 	
         1.601	  3.700e-07 	  2.020e-06 	
         1.621	  2.540e-07 	  1.640e-06 	
         1.641	  3.820e-07 	  1.970e-06 	
         1.662	  1.990e-07 	  1.410e-06 	
         1.681	  4.590e-07 	  2.310e-06 	
         1.702	  1.920e-07 	  1.440e-06 	
         1.721	  2.290e-07 	  1.390e-06 	
         1.742	  3.040e-07 	  1.620e-06 	
         1.760	  1.520e-07 	  1.090e-06 	
         1.782	  3.940e-07 	  1.910e-06 	
