;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 14:17:18
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:2.510uJ             
;Max:6.020uJ             
;Average:3.984uJ             
;Std.Dev.:617.3nJ             
;Overrange:0                   
;Total Pulses:4040                
;--------------------


;First Pulse Arrived : 20/01/2023 at 14:17:29
  Timestamp   	  Channel A  	
         0.000	  5.360e-06 	
         0.018	  4.590e-06 	
         0.041	  4.390e-06 	
         0.058	  4.550e-06 	
         0.078	  3.500e-06 	
         0.100	  5.240e-06 	
         0.118	  5.350e-06 	
         0.139	  3.850e-06 	
         0.157	  4.960e-06 	
         0.178	  4.860e-06 	
         0.199	  4.260e-06 	
         0.218	  3.250e-06 	
         0.239	  4.690e-06 	
         0.258	  4.190e-06 	
         0.278	  4.470e-06 	
         0.300	  5.290e-06 	
         0.318	  4.960e-06 	
         0.340	  4.490e-06 	
         0.358	  4.560e-06 	
         0.377	  3.740e-06 	
         0.399	  4.400e-06 	
         0.418	  5.380e-06 	
         0.440	  4.360e-06 	
         0.458	  3.310e-06 	
         0.478	  4.450e-06 	
         0.499	  3.900e-06 	
         0.517	  5.020e-06 	
         0.540	  4.560e-06 	
         0.559	  4.130e-06 	
         0.577	  4.770e-06 	
         0.599	  5.710e-06 	
         0.618	  3.920e-06 	
         0.639	  5.660e-06 	
         0.658	  4.090e-06 	
         0.678	  3.390e-06 	
         0.699	  3.310e-06 	
         0.718	  5.530e-06 	
         0.740	  4.520e-06 	
         0.758	  4.010e-06 	
         0.778	  3.770e-06 	
         0.800	  3.500e-06 	
         0.817	  3.140e-06 	
         0.839	  4.510e-06 	
         0.858	  5.280e-06 	
         0.878	  4.590e-06 	
         0.900	  3.680e-06 	
         0.917	  3.880e-06 	
         0.940	  3.300e-06 	
         0.958	  3.700e-06 	
         0.978	  5.190e-06 	
         1.000	  4.800e-06 	
         1.018	  3.320e-06 	
         1.040	  4.040e-06 	
         1.059	  4.420e-06 	
         1.078	  4.720e-06 	
         1.099	  3.300e-06 	
         1.118	  3.340e-06 	
         1.140	  3.310e-06 	
         1.158	  4.410e-06 	
         1.178	  4.940e-06 	
         1.200	  3.760e-06 	
         1.218	  4.160e-06 	
         1.240	  3.640e-06 	
         1.257	  4.830e-06 	
         1.278	  4.540e-06 	
         1.300	  3.620e-06 	
         1.317	  4.970e-06 	
         1.340	  4.860e-06 	
         1.358	  4.110e-06 	
         1.378	  5.010e-06 	
         1.399	  4.290e-06 	
         1.418	  4.160e-06 	
         1.440	  4.260e-06 	
         1.458	  3.980e-06 	
         1.477	  3.060e-06 	
         1.501	  3.980e-06 	
         1.518	  4.620e-06 	
         1.539	  4.160e-06 	
         1.557	  4.730e-06 	
         1.578	  3.630e-06 	
         1.599	  3.310e-06 	
         1.618	  3.340e-06 	
         1.640	  4.010e-06 	
         1.658	  3.600e-06 	
         1.678	  3.060e-06 	
         1.699	  3.770e-06 	
         1.718	  4.700e-06 	
         1.739	  4.860e-06 	
         1.758	  3.820e-06 	
         1.778	  4.730e-06 	
         1.800	  2.950e-06 	
         1.817	  3.610e-06 	
         1.839	  4.190e-06 	
         1.858	  3.280e-06 	
         1.878	  3.940e-06 	
         1.900	  4.830e-06 	
         1.917	  3.490e-06 	
         1.940	  3.770e-06 	
         1.958	  4.400e-06 	
         1.978	  3.380e-06 	
         2.000	  4.860e-06 	
         2.017	  3.990e-06 	
         2.040	  4.040e-06 	
         2.058	  4.590e-06 	
         2.078	  3.890e-06 	
         2.100	  4.020e-06 	
         2.118	  3.890e-06 	
         2.139	  4.320e-06 	
         2.158	  3.570e-06 	
         2.178	  3.300e-06 	
         2.200	  3.400e-06 	
         2.218	  4.260e-06 	
         2.239	  3.100e-06 	
         2.257	  3.310e-06 	
         2.278	  4.260e-06 	
         2.300	  3.520e-06 	
         2.318	  3.700e-06 	
         2.340	  5.220e-06 	
         2.358	  3.690e-06 	
         2.378	  4.180e-06 	
         2.400	  3.800e-06 	
         2.418	  3.600e-06 	
         2.440	  3.500e-06 	
         2.458	  3.560e-06 	
         2.478	  3.840e-06 	
         2.500	  5.300e-06 	
         2.518	  2.960e-06 	
         2.540	  4.040e-06 	
         2.557	  5.000e-06 	
         2.578	  4.450e-06 	
         2.600	  4.400e-06 	
         2.618	  4.950e-06 	
         2.640	  3.420e-06 	
         2.658	  4.170e-06 	
         2.678	  3.830e-06 	
         2.700	  3.120e-06 	
         2.718	  4.090e-06 	
         2.740	  3.950e-06 	
         2.758	  3.770e-06 	
         2.778	  3.670e-06 	
         2.800	  4.190e-06 	
         2.818	  3.420e-06 	
         2.840	  3.530e-06 	
         2.858	  5.350e-06 	
         2.878	  5.160e-06 	
         2.899	  4.080e-06 	
         2.918	  4.530e-06 	
         2.940	  3.400e-06 	
         2.959	  4.700e-06 	
         2.978	  3.310e-06 	
         3.000	  3.960e-06 	
         3.018	  2.900e-06 	
         3.040	  3.120e-06 	
         3.058	  3.470e-06 	
         3.078	  5.310e-06 	
         3.100	  3.520e-06 	
         3.118	  3.240e-06 	
         3.140	  4.100e-06 	
         3.158	  3.970e-06 	
         3.178	  3.910e-06 	
         3.200	  4.230e-06 	
         3.217	  3.180e-06 	
         3.240	  5.170e-06 	
         3.258	  3.730e-06 	
         3.278	  4.260e-06 	
         3.300	  3.180e-06 	
         3.318	  5.050e-06 	
         3.340	  3.170e-06 	
         3.358	  5.010e-06 	
         3.378	  3.190e-06 	
         3.400	  4.860e-06 	
         3.418	  5.100e-06 	
         3.440	  3.620e-06 	
         3.458	  4.600e-06 	
         3.478	  4.830e-06 	
         3.500	  4.800e-06 	
         3.518	  4.340e-06 	
         3.539	  3.970e-06 	
         3.558	  3.240e-06 	
         3.578	  3.300e-06 	
         3.599	  2.850e-06 	
         3.617	  4.170e-06 	
         3.640	  3.810e-06 	
         3.658	  4.940e-06 	
         3.678	  3.460e-06 	
         3.700	  4.720e-06 	
         3.718	  4.400e-06 	
         3.739	  3.840e-06 	
         3.758	  4.080e-06 	
         3.778	  3.660e-06 	
         3.800	  3.610e-06 	
         3.818	  3.710e-06 	
         3.838	  3.800e-06 	
         3.858	  5.030e-06 	
         3.878	  4.180e-06 	
         3.899	  5.240e-06 	
         3.918	  3.470e-06 	
         3.941	  3.180e-06 	
         3.958	  3.490e-06 	
         3.978	  3.780e-06 	
         4.000	  4.540e-06 	
         4.018	  4.620e-06 	
         4.041	  3.710e-06 	
         4.058	  2.930e-06 	
         4.078	  3.760e-06 	
         4.099	  2.770e-06 	
         4.117	  3.440e-06 	
         4.140	  3.730e-06 	
         4.159	  5.460e-06 	
         4.178	  4.170e-06 	
         4.200	  4.620e-06 	
         4.217	  3.570e-06 	
         4.241	  3.710e-06 	
         4.258	  3.990e-06 	
         4.278	  4.420e-06 	
         4.300	  3.970e-06 	
         4.317	  4.370e-06 	
         4.340	  4.250e-06 	
         4.357	  3.330e-06 	
         4.378	  3.480e-06 	
         4.400	  3.620e-06 	
         4.418	  3.420e-06 	
         4.439	  3.800e-06 	
         4.457	  4.290e-06 	
         4.478	  3.260e-06 	
         4.500	  2.780e-06 	
         4.518	  3.320e-06 	
         4.539	  3.370e-06 	
         4.558	  4.550e-06 	
         4.578	  5.150e-06 	
         4.600	  3.470e-06 	
         4.617	  3.130e-06 	
         4.640	  3.640e-06 	
         4.658	  3.170e-06 	
         4.678	  3.870e-06 	
         4.700	  4.660e-06 	
         4.718	  4.390e-06 	
         4.740	  4.160e-06 	
         4.758	  4.190e-06 	
         4.778	  4.010e-06 	
         4.800	  3.050e-06 	
         4.818	  3.350e-06 	
         4.841	  4.040e-06 	
         4.858	  3.390e-06 	
         4.878	  3.140e-06 	
         4.899	  3.760e-06 	
         4.918	  4.200e-06 	
         4.938	  4.380e-06 	
         4.958	  3.760e-06 	
         4.978	  3.940e-06 	
         5.000	  3.700e-06 	
         5.018	  4.770e-06 	
         5.041	  3.480e-06 	
         5.058	  3.440e-06 	
         5.079	  3.380e-06 	
         5.100	  3.640e-06 	
         5.118	  3.190e-06 	
         5.138	  4.790e-06 	
         5.158	  4.090e-06 	
         5.178	  4.270e-06 	
         5.200	  3.760e-06 	
         5.218	  4.450e-06 	
         5.238	  4.130e-06 	
         5.258	  4.250e-06 	
