;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 15:43:17
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:1.160uJ             
;Max:3.900uJ             
;Average:2.217uJ             
;Std.Dev.:508.2nJ             
;Overrange:0                   
;Total Pulses:1384                
;--------------------


;First Pulse Arrived : 20/01/2023 at 15:43:20
  Timestamp   	  Channel A  	
         0.000	  1.260e-06 	
         0.040	  2.310e-06 	
         0.057	  2.480e-06 	
         0.078	  2.140e-06 	
         0.100	  2.570e-06 	
         0.117	  2.260e-06 	
         0.139	  2.190e-06 	
         0.157	  3.140e-06 	
         0.177	  1.890e-06 	
         0.200	  2.500e-06 	
         0.217	  1.970e-06 	
         0.240	  1.860e-06 	
         0.257	  2.850e-06 	
         0.277	  2.350e-06 	
         0.299	  1.470e-06 	
         0.341	  2.340e-06 	
         0.358	  2.830e-06 	
         0.379	  2.000e-06 	
         0.399	  2.290e-06 	
         0.419	  1.870e-06 	
         0.440	  2.960e-06 	
         0.457	  2.210e-06 	
         0.479	  3.380e-06 	
         0.500	  2.700e-06 	
         0.517	  3.260e-06 	
         0.541	  2.890e-06 	
         0.557	  2.000e-06 	
         0.578	  1.430e-06 	
         0.600	  3.800e-06 	
         0.619	  1.720e-06 	
         0.639	  3.350e-06 	
         0.657	  1.690e-06 	
         0.678	  3.390e-06 	
         0.700	  1.470e-06 	
         0.719	  2.630e-06 	
         0.741	  2.710e-06 	
         0.757	  2.290e-06 	
         0.779	  2.050e-06 	
         0.799	  3.160e-06 	
         0.819	  1.410e-06 	
         0.840	  3.130e-06 	
         0.857	  2.960e-06 	
         0.879	  3.340e-06 	
         0.900	  2.600e-06 	
         0.917	  3.210e-06 	
         0.939	  3.000e-06 	
         0.957	  1.780e-06 	
         0.978	  1.800e-06 	
         1.001	  1.510e-06 	
         1.018	  2.270e-06 	
         1.040	  1.900e-06 	
         1.057	  1.390e-06 	
         1.078	  2.050e-06 	
         1.100	  1.840e-06 	
         1.118	  1.760e-06 	
         1.141	  2.750e-06 	
         1.159	  1.920e-06 	
         1.178	  1.840e-06 	
         1.201	  1.770e-06 	
         1.218	  1.620e-06 	
         1.239	  2.770e-06 	
         1.257	  1.680e-06 	
         1.278	  3.230e-06 	
         1.301	  2.700e-06 	
         1.318	  1.890e-06 	
         1.340	  2.120e-06 	
         1.357	  2.420e-06 	
         1.377	  2.280e-06 	
         1.401	  2.040e-06 	
         1.419	  1.510e-06 	
         1.439	  2.510e-06 	
         1.457	  1.930e-06 	
         1.477	  1.470e-06 	
         1.500	  1.550e-06 	
         1.517	  2.490e-06 	
         1.541	  2.560e-06 	
         1.557	  1.870e-06 	
         1.577	  1.710e-06 	
         1.599	  3.410e-06 	
         1.640	  2.810e-06 	
         1.658	  1.160e-06 	
         1.678	  2.110e-06 	
         1.701	  1.680e-06 	
         1.717	  2.350e-06 	
         1.739	  1.660e-06 	
         1.757	  2.080e-06 	
         1.778	  3.040e-06 	
         1.801	  1.730e-06 	
         1.817	  1.920e-06 	
         1.840	  1.980e-06 	
         1.858	  1.550e-06 	
         1.877	  2.750e-06 	
         1.900	  3.190e-06 	
         1.940	  1.560e-06 	
         1.957	  2.100e-06 	
         1.978	  1.890e-06 	
         1.999	  1.770e-06 	
         2.017	  1.750e-06 	
         2.041	  2.050e-06 	
         2.057	  2.620e-06 	
         2.077	  1.760e-06 	
         2.101	  2.380e-06 	
         2.117	  2.400e-06 	
         2.140	  1.890e-06 	
         2.157	  2.070e-06 	
         2.178	  3.460e-06 	
         2.201	  1.960e-06 	
         2.218	  3.040e-06 	
         2.239	  1.920e-06 	
         2.257	  2.530e-06 	
         2.278	  2.690e-06 	
         2.301	  1.570e-06 	
         2.317	  1.830e-06 	
         2.340	  3.230e-06 	
         2.358	  2.810e-06 	
         2.378	  3.000e-06 	
         2.401	  2.810e-06 	
         2.418	  3.050e-06 	
         2.440	  2.610e-06 	
         2.457	  1.850e-06 	
         2.479	  1.980e-06 	
         2.500	  2.700e-06 	
         2.517	  1.410e-06 	
         2.541	  2.670e-06 	
         2.557	  2.180e-06 	
         2.578	  2.360e-06 	
         2.601	  2.290e-06 	
         2.618	  2.570e-06 	
         2.640	  2.060e-06 	
         2.657	  1.870e-06 	
         2.677	  3.370e-06 	
         2.701	  2.270e-06 	
         2.718	  3.210e-06 	
         2.740	  2.860e-06 	
         2.757	  2.210e-06 	
         2.778	  1.500e-06 	
         2.800	  1.990e-06 	
         2.819	  1.280e-06 	
         2.840	  1.550e-06 	
         2.858	  3.440e-06 	
         2.878	  1.900e-06 	
         2.899	  1.720e-06 	
         2.918	  1.260e-06 	
         2.941	  3.370e-06 	
         2.958	  1.570e-06 	
         2.978	  2.490e-06 	
         2.999	  1.770e-06 	
         3.018	  3.200e-06 	
         3.041	  1.690e-06 	
         3.057	  2.150e-06 	
         3.078	  2.910e-06 	
         3.100	  1.820e-06 	
         3.117	  2.070e-06 	
         3.140	  3.090e-06 	
         3.157	  2.510e-06 	
         3.179	  1.800e-06 	
         3.200	  2.350e-06 	
         3.217	  2.280e-06 	
         3.240	  1.440e-06 	
         3.257	  2.010e-06 	
         3.278	  2.110e-06 	
         3.300	  1.610e-06 	
         3.318	  1.510e-06 	
         3.340	  2.850e-06 	
         3.357	  1.780e-06 	
         3.379	  2.320e-06 	
         3.401	  2.150e-06 	
         3.418	  2.880e-06 	
         3.441	  3.700e-06 	
         3.457	  1.520e-06 	
         3.477	  2.040e-06 	
         3.500	  2.050e-06 	
         3.517	  1.790e-06 	
         3.540	  2.580e-06 	
         3.557	  1.800e-06 	
         3.577	  2.880e-06 	
         3.601	  2.610e-06 	
         3.617	  2.420e-06 	
         3.641	  1.560e-06 	
         3.657	  2.280e-06 	
         3.677	  2.100e-06 	
         3.699	  2.710e-06 	
         3.718	  2.260e-06 	
         3.740	  1.820e-06 	
         3.757	  2.050e-06 	
         3.777	  1.820e-06 	
         3.800	  2.220e-06 	
         3.817	  1.590e-06 	
         3.839	  2.420e-06 	
         3.857	  1.800e-06 	
         3.877	  1.630e-06 	
         3.901	  1.960e-06 	
         3.917	  1.930e-06 	
         3.940	  2.270e-06 	
         3.957	  2.240e-06 	
         3.978	  2.510e-06 	
         4.001	  3.120e-06 	
         4.017	  3.770e-06 	
         4.040	  2.640e-06 	
         4.057	  1.710e-06 	
         4.077	  2.750e-06 	
         4.098	  2.340e-06 	
         4.118	  1.580e-06 	
         4.140	  2.610e-06 	
