;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 15:44:57
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:1.150uJ             
;Max:2.780uJ             
;Average:1.671uJ             
;Std.Dev.:330.4nJ             
;Overrange:0                   
;Total Pulses:563                 
;--------------------


;First Pulse Arrived : 20/01/2023 at 15:44:59
  Timestamp   	  Channel A  	
         0.000	  1.200e-06 	
         0.020	  1.710e-06 	
         0.221	  1.660e-06 	
         0.299	  1.230e-06 	
         0.361	  1.580e-06 	
         0.459	  1.750e-06 	
         0.481	  1.520e-06 	
         0.521	  1.860e-06 	
         0.661	  1.650e-06 	
         0.701	  2.220e-06 	
         0.780	  1.970e-06 	
         0.840	  1.850e-06 	
         0.861	  1.390e-06 	
         0.900	  1.830e-06 	
         0.940	  1.820e-06 	
         1.059	  1.980e-06 	
         1.080	  1.430e-06 	
         1.201	  1.500e-06 	
         1.300	  1.800e-06 	
         1.360	  1.750e-06 	
         1.439	  2.480e-06 	
         1.460	  1.900e-06 	
         1.539	  1.250e-06 	
         1.580	  1.630e-06 	
         1.642	  2.500e-06 	
         1.679	  2.110e-06 	
         1.739	  1.340e-06 	
         1.761	  2.400e-06 	
         1.779	  2.780e-06 	
         1.801	  1.730e-06 	
         1.861	  1.440e-06 	
         1.880	  1.410e-06 	
         2.021	  2.140e-06 	
         2.040	  1.430e-06 	
         2.080	  1.910e-06 	
         2.180	  1.560e-06 	
         2.340	  1.350e-06 	
         2.360	  1.520e-06 	
         2.400	  1.460e-06 	
         2.420	  1.870e-06 	
         2.480	  2.000e-06 	
         2.521	  1.260e-06 	
         2.559	  1.430e-06 	
         2.601	  1.420e-06 	
         2.639	  2.120e-06 	
         2.721	  1.610e-06 	
         2.740	  1.660e-06 	
         2.803	  1.850e-06 	
         2.840	  2.040e-06 	
         2.961	  1.520e-06 	
         3.060	  1.200e-06 	
         3.121	  1.540e-06 	
         3.239	  1.570e-06 	
         3.261	  1.960e-06 	
         3.299	  1.980e-06 	
         3.320	  1.320e-06 	
         3.420	  2.270e-06 	
         3.437	  1.960e-06 	
         3.581	  2.380e-06 	
         3.639	  1.360e-06 	
         3.661	  1.650e-06 	
         3.681	  1.790e-06 	
         3.721	  1.910e-06 	
         3.759	  1.580e-06 	
         3.800	  2.010e-06 	
         3.901	  1.410e-06 	
         3.922	  2.110e-06 	
         3.940	  1.460e-06 	
         3.960	  1.270e-06 	
         4.000	  1.940e-06 	
         4.021	  1.550e-06 	
         4.039	  1.990e-06 	
         4.061	  1.700e-06 	
         4.081	  1.850e-06 	
         4.100	  1.580e-06 	
         4.120	  1.400e-06 	
         4.139	  1.480e-06 	
         4.221	  1.550e-06 	
         4.340	  1.650e-06 	
         4.361	  1.360e-06 	
         4.380	  1.410e-06 	
         4.422	  1.620e-06 	
         4.460	  1.350e-06 	
         4.481	  1.940e-06 	
         4.581	  1.550e-06 	
         4.600	  1.210e-06 	
         4.621	  1.760e-06 	
         4.661	  1.220e-06 	
         4.680	  1.500e-06 	
         4.699	  1.460e-06 	
         4.721	  1.360e-06 	
         4.761	  1.350e-06 	
         4.781	  1.410e-06 	
         4.800	  1.770e-06 	
         4.839	  1.360e-06 	
         4.859	  1.540e-06 	
         4.881	  1.580e-06 	
         4.899	  2.170e-06 	
         4.959	  1.830e-06 	
         5.000	  1.440e-06 	
         5.182	  2.010e-06 	
         5.200	  2.040e-06 	
         5.260	  1.400e-06 	
         5.300	  1.390e-06 	
         5.399	  1.370e-06 	
         5.422	  1.800e-06 	
         5.481	  2.390e-06 	
         5.601	  1.870e-06 	
         5.681	  1.660e-06 	
         5.721	  1.720e-06 	
         5.760	  1.770e-06 	
         5.800	  1.440e-06 	
         5.900	  1.270e-06 	
         5.939	  1.250e-06 	
         5.960	  1.320e-06 	
         6.020	  1.490e-06 	
         6.101	  1.720e-06 	
         6.140	  1.340e-06 	
         6.182	  1.290e-06 	
         6.259	  1.760e-06 	
         6.379	  1.490e-06 	
         6.481	  1.290e-06 	
         6.599	  1.320e-06 	
         6.621	  1.580e-06 	
         6.799	  2.180e-06 	
         6.821	  2.480e-06 	
         6.840	  1.360e-06 	
         6.859	  1.690e-06 	
         6.881	  1.830e-06 	
         6.901	  1.830e-06 	
         6.960	  1.900e-06 	
         6.981	  1.360e-06 	
         7.059	  1.840e-06 	
         7.079	  1.770e-06 	
         7.159	  1.750e-06 	
         7.180	  1.470e-06 	
         7.201	  1.390e-06 	
         7.219	  1.420e-06 	
         7.239	  1.290e-06 	
         7.260	  1.270e-06 	
         7.283	  2.130e-06 	
         7.340	  1.270e-06 	
         7.360	  1.480e-06 	
         7.421	  1.330e-06 	
         7.440	  1.830e-06 	
         7.501	  1.550e-06 	
         7.539	  1.150e-06 	
         7.580	  1.300e-06 	
         7.620	  1.500e-06 	
         7.640	  2.070e-06 	
         7.660	  1.330e-06 	
         7.680	  1.630e-06 	
         7.740	  1.860e-06 	
         7.820	  2.270e-06 	
         7.859	  1.330e-06 	
         8.060	  1.840e-06 	
         8.099	  2.330e-06 	
