;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 15:46:00
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:127.0nJ             
;Max:406.0nJ             
;Average:195.5nJ             
;Std.Dev.:56.03nJ             
;Overrange:0                   
;Total Pulses:142                 
;--------------------


;First Pulse Arrived : 20/01/2023 at 15:46:04
  Timestamp   	  Channel A  	
         0.000	  1.520e-07 	
         0.641	  2.970e-07 	
         0.681	  1.560e-07 	
         0.701	  1.560e-07 	
         0.780	  1.780e-07 	
         0.822	  2.140e-07 	
         0.862	  3.040e-07 	
         1.001	  2.050e-07 	
         1.201	  1.550e-07 	
         1.222	  1.870e-07 	
         1.300	  1.610e-07 	
         1.360	  1.970e-07 	
         1.485	  1.680e-07 	
         2.041	  2.050e-07 	
         2.141	  1.430e-07 	
         2.201	  2.290e-07 	
         2.221	  2.260e-07 	
         2.280	  2.180e-07 	
         2.322	  1.330e-07 	
         2.603	  1.520e-07 	
         2.641	  1.830e-07 	
         2.720	  1.300e-07 	
         2.902	  1.720e-07 	
         3.041	  1.650e-07 	
         3.142	  1.350e-07 	
         3.261	  2.420e-07 	
         3.322	  2.080e-07 	
         3.500	  2.480e-07 	
         3.580	  1.440e-07 	
         3.844	  1.610e-07 	
         3.942	  2.890e-07 	
         3.961	  1.660e-07 	
         4.061	  2.900e-07 	
         4.120	  1.480e-07 	
         4.242	  1.540e-07 	
         4.341	  1.780e-07 	
         4.360	  2.260e-07 	
         4.461	  3.500e-07 	
         4.480	  1.840e-07 	
         4.500	  1.920e-07 	
         4.521	  2.150e-07 	
         4.541	  1.720e-07 	
         4.601	  3.160e-07 	
         4.621	  2.430e-07 	
         4.642	  2.850e-07 	
         4.680	  2.650e-07 	
         4.742	  2.540e-07 	
         4.780	  1.630e-07 	
         4.804	  1.520e-07 	
         4.842	  2.470e-07 	
         4.861	  1.590e-07 	
         5.020	  1.500e-07 	
         5.060	  1.580e-07 	
         5.080	  1.610e-07 	
         5.180	  1.730e-07 	
         5.302	  1.280e-07 	
         5.680	  1.460e-07 	
         5.821	  1.690e-07 	
         5.841	  2.010e-07 	
         5.880	  2.360e-07 	
         5.920	  2.760e-07 	
         5.943	  1.650e-07 	
         5.980	  1.660e-07 	
         6.041	  3.190e-07 	
         6.061	  4.060e-07 	
         6.102	  3.330e-07 	
         6.161	  1.750e-07 	
         6.621	  2.290e-07 	
         6.701	  1.940e-07 	
         6.741	  1.730e-07 	
         6.800	  2.390e-07 	
         6.900	  2.740e-07 	
         7.124	  1.430e-07 	
         7.281	  1.790e-07 	
         7.342	  2.770e-07 	
         7.440	  1.610e-07 	
         7.600	  2.500e-07 	
         8.162	  1.340e-07 	
         8.363	  1.590e-07 	
         9.080	  1.980e-07 	
         9.221	  1.700e-07 	
        10.024	  1.890e-07 	
        11.124	  1.510e-07 	
        12.202	  1.320e-07 	
        12.621	  2.070e-07 	
        12.822	  1.850e-07 	
        12.980	  3.760e-07 	
        13.002	  1.770e-07 	
        13.041	  1.660e-07 	
        13.221	  1.480e-07 	
        13.261	  1.630e-07 	
        13.300	  1.430e-07 	
        13.380	  3.140e-07 	
        13.600	  1.840e-07 	
        13.722	  1.730e-07 	
        14.044	  1.330e-07 	
        14.381	  2.220e-07 	
        14.462	  1.900e-07 	
        14.900	  1.510e-07 	
        15.224	  1.360e-07 	
        15.560	  1.650e-07 	
        15.580	  2.030e-07 	
        15.600	  1.820e-07 	
        15.622	  2.040e-07 	
        15.661	  1.460e-07 	
        15.921	  1.500e-07 	
        15.942	  1.360e-07 	
        16.022	  1.750e-07 	
        16.122	  2.400e-07 	
        16.324	  1.540e-07 	
        16.681	  2.030e-07 	
        16.740	  1.850e-07 	
        17.662	  1.470e-07 	
        18.180	  1.590e-07 	
        18.380	  1.570e-07 	
        18.582	  2.170e-07 	
        18.662	  1.780e-07 	
        18.761	  1.560e-07 	
        18.881	  1.580e-07 	
        18.981	  2.210e-07 	
        19.003	  1.720e-07 	
        19.020	  1.910e-07 	
        19.101	  1.610e-07 	
        19.704	  1.960e-07 	
        19.720	  1.690e-07 	
        19.780	  3.740e-07 	
        20.542	  1.860e-07 	
        20.562	  2.380e-07 	
        20.621	  1.470e-07 	
        20.663	  2.540e-07 	
        20.801	  1.270e-07 	
        20.841	  1.410e-07 	
        20.900	  1.750e-07 	
        21.081	  2.530e-07 	
        21.120	  2.060e-07 	
        21.162	  1.490e-07 	
        21.181	  1.540e-07 	
        21.302	  1.780e-07 	
        21.322	  1.920e-07 	
        21.421	  2.670e-07 	
        21.441	  2.100e-07 	
        21.882	  1.280e-07 	
