;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 15:50:49
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:1.990uJ             
;Max:6.300uJ             
;Average:3.761uJ             
;Std.Dev.:617.3nJ             
;Overrange:0                   
;Total Pulses:6488                
;--------------------


;First Pulse Arrived : 20/01/2023 at 15:50:53
  Timestamp   	  Channel A  	
         0.000	  3.170e-06 	
         0.020	  4.060e-06 	
         0.040	  4.230e-06 	
         0.061	  3.100e-06 	
         0.080	  3.280e-06 	
         0.099	  3.230e-06 	
         0.120	  3.760e-06 	
         0.139	  4.060e-06 	
         0.161	  3.610e-06 	
         0.179	  3.910e-06 	
         0.199	  4.840e-06 	
         0.219	  3.180e-06 	
         0.239	  4.610e-06 	
         0.261	  4.730e-06 	
         0.279	  5.040e-06 	
         0.300	  3.260e-06 	
         0.321	  2.950e-06 	
         0.340	  3.460e-06 	
         0.361	  4.410e-06 	
         0.379	  3.490e-06 	
         0.400	  3.800e-06 	
         0.421	  3.740e-06 	
         0.440	  3.520e-06 	
         0.461	  3.230e-06 	
         0.479	  4.490e-06 	
         0.501	  3.560e-06 	
         0.521	  5.040e-06 	
         0.540	  3.730e-06 	
         0.561	  3.620e-06 	
         0.579	  5.110e-06 	
         0.599	  4.670e-06 	
         0.620	  4.100e-06 	
         0.640	  5.480e-06 	
         0.661	  4.940e-06 	
         0.680	  3.970e-06 	
         0.701	  4.390e-06 	
         0.720	  4.010e-06 	
         0.740	  4.060e-06 	
         0.760	  3.320e-06 	
         0.779	  4.060e-06 	
         0.800	  4.150e-06 	
         0.820	  5.220e-06 	
         0.839	  3.070e-06 	
         0.861	  3.820e-06 	
         0.879	  4.550e-06 	
         0.900	  3.700e-06 	
         0.921	  3.960e-06 	
         0.939	  3.960e-06 	
         0.961	  3.800e-06 	
         0.980	  3.460e-06 	
         1.000	  4.320e-06 	
         1.018	  3.550e-06 	
         1.039	  5.280e-06 	
         1.061	  3.740e-06 	
         1.079	  3.900e-06 	
         1.100	  3.330e-06 	
         1.120	  3.530e-06 	
         1.140	  4.620e-06 	
         1.161	  3.670e-06 	
         1.180	  3.310e-06 	
         1.200	  4.080e-06 	
         1.219	  4.700e-06 	
         1.239	  3.350e-06 	
         1.260	  4.390e-06 	
         1.279	  4.160e-06 	
         1.300	  3.020e-06 	
         1.320	  3.820e-06 	
         1.339	  3.480e-06 	
         1.361	  3.350e-06 	
         1.379	  3.410e-06 	
         1.399	  4.340e-06 	
         1.421	  3.710e-06 	
         1.440	  3.400e-06 	
         1.460	  4.770e-06 	
         1.479	  3.800e-06 	
         1.500	  3.740e-06 	
         1.521	  4.330e-06 	
         1.539	  4.010e-06 	
         1.561	  3.090e-06 	
         1.579	  2.810e-06 	
         1.600	  4.150e-06 	
         1.620	  3.270e-06 	
         1.639	  4.320e-06 	
         1.661	  4.110e-06 	
         1.679	  3.690e-06 	
         1.701	  3.460e-06 	
         1.720	  3.050e-06 	
         1.740	  4.060e-06 	
         1.760	  3.300e-06 	
         1.779	  3.330e-06 	
         1.800	  3.960e-06 	
         1.820	  3.140e-06 	
         1.840	  4.970e-06 	
         1.861	  3.330e-06 	
         1.879	  4.030e-06 	
         1.900	  4.250e-06 	
         1.920	  4.660e-06 	
         1.941	  2.840e-06 	
         1.961	  5.150e-06 	
         1.980	  3.500e-06 	
         1.999	  3.410e-06 	
         2.020	  3.710e-06 	
         2.039	  3.280e-06 	
         2.061	  4.830e-06 	
         2.080	  3.600e-06 	
         2.100	  4.660e-06 	
         2.120	  3.890e-06 	
         2.140	  3.800e-06 	
         2.161	  3.210e-06 	
         2.180	  3.410e-06 	
         2.200	  3.180e-06 	
         2.220	  3.350e-06 	
         2.243	  4.040e-06 	
         2.261	  3.880e-06 	
         2.279	  3.590e-06 	
         2.300	  3.850e-06 	
         2.320	  3.270e-06 	
         2.340	  4.930e-06 	
         2.361	  3.310e-06 	
         2.379	  3.890e-06 	
         2.400	  3.130e-06 	
         2.419	  3.960e-06 	
         2.441	  4.440e-06 	
         2.461	  3.060e-06 	
         2.479	  3.820e-06 	
         2.500	  3.310e-06 	
         2.521	  4.980e-06 	
         2.540	  3.070e-06 	
         2.560	  2.860e-06 	
         2.579	  3.950e-06 	
         2.600	  3.630e-06 	
         2.620	  3.350e-06 	
         2.640	  4.290e-06 	
         2.661	  3.550e-06 	
         2.679	  3.690e-06 	
         2.699	  3.800e-06 	
         2.720	  3.410e-06 	
         2.740	  3.370e-06 	
         2.760	  4.700e-06 	
         2.779	  3.040e-06 	
         2.799	  3.390e-06 	
         2.821	  5.300e-06 	
         2.839	  3.600e-06 	
         2.861	  4.790e-06 	
         2.879	  3.470e-06 	
         2.899	  3.390e-06 	
         2.920	  3.420e-06 	
         2.939	  3.300e-06 	
         2.961	  4.090e-06 	
         2.979	  3.750e-06 	
         2.999	  3.610e-06 	
         3.020	  3.970e-06 	
         3.039	  3.700e-06 	
         3.061	  3.280e-06 	
         3.079	  3.760e-06 	
         3.100	  4.330e-06 	
         3.119	  3.980e-06 	
         3.139	  2.850e-06 	
