;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 16:05:40
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:2.100uJ             
;Max:6.520uJ             
;Average:3.738uJ             
;Std.Dev.:633.4nJ             
;Overrange:0                   
;Total Pulses:1529                
;--------------------


;First Pulse Arrived : 20/01/2023 at 16:05:41
  Timestamp   	  Channel A  	
         0.000	  2.100e-06 	
         0.019	  3.530e-06 	
         0.041	  3.690e-06 	
         0.060	  3.700e-06 	
         0.080	  3.570e-06 	
         0.100	  3.400e-06 	
         0.121	  3.440e-06 	
         0.140	  3.670e-06 	
         0.159	  3.120e-06 	
         0.181	  4.160e-06 	
         0.200	  3.610e-06 	
         0.221	  3.380e-06 	
         0.240	  4.980e-06 	
         0.261	  3.620e-06 	
         0.280	  3.890e-06 	
         0.300	  4.170e-06 	
         0.321	  3.520e-06 	
         0.341	  3.340e-06 	
         0.361	  3.040e-06 	
         0.380	  3.020e-06 	
         0.400	  4.100e-06 	
         0.421	  3.390e-06 	
         0.439	  3.320e-06 	
         0.461	  2.950e-06 	
         0.480	  3.340e-06 	
         0.500	  3.950e-06 	
         0.521	  3.840e-06 	
         0.540	  3.060e-06 	
         0.561	  5.370e-06 	
         0.579	  3.850e-06 	
         0.600	  3.300e-06 	
         0.621	  3.300e-06 	
         0.640	  3.090e-06 	
         0.660	  3.110e-06 	
         0.680	  3.630e-06 	
         0.700	  4.020e-06 	
         0.720	  3.670e-06 	
         0.740	  3.530e-06 	
         0.761	  3.300e-06 	
         0.780	  4.240e-06 	
         0.800	  4.520e-06 	
         0.820	  3.250e-06 	
         0.840	  4.340e-06 	
         0.861	  3.190e-06 	
         0.881	  5.030e-06 	
         0.900	  3.530e-06 	
         0.921	  2.830e-06 	
         0.941	  3.530e-06 	
         0.961	  5.170e-06 	
         0.980	  3.910e-06 	
         1.000	  3.880e-06 	
         1.019	  3.770e-06 	
         1.040	  3.990e-06 	
         1.061	  3.890e-06 	
         1.080	  5.000e-06 	
         1.100	  3.910e-06 	
         1.119	  3.820e-06 	
         1.140	  3.450e-06 	
         1.160	  4.940e-06 	
         1.180	  3.570e-06 	
         1.200	  4.900e-06 	
         1.221	  4.130e-06 	
         1.240	  4.150e-06 	
         1.261	  3.230e-06 	
         1.279	  4.940e-06 	
         1.300	  4.060e-06 	
         1.320	  3.450e-06 	
         1.340	  3.850e-06 	
         1.361	  4.360e-06 	
