;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 13:56:47
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:1.140uJ             
;Max:5.430uJ             
;Average:2.935uJ             
;Std.Dev.:849.6nJ             
;Overrange:0                   
;Total Pulses:3404                
;--------------------


;First Pulse Arrived : 20/01/2023 at 13:57:03
  Timestamp   	  Channel A  	
         0.000	  2.420e-06 	
         0.020	  1.910e-06 	
         0.039	  1.210e-06 	
         0.059	  2.010e-06 	
         0.080	  1.980e-06 	
         0.099	  2.180e-06 	
         0.119	  2.630e-06 	
         0.139	  2.480e-06 	
         0.159	  2.990e-06 	
         0.179	  2.100e-06 	
         0.199	  1.960e-06 	
         0.220	  2.400e-06 	
         0.239	  2.490e-06 	
         0.260	  2.490e-06 	
         0.281	  1.480e-06 	
         0.299	  2.250e-06 	
         0.321	  2.680e-06 	
         0.339	  3.410e-06 	
         0.359	  1.590e-06 	
         0.381	  1.910e-06 	
         0.399	  1.420e-06 	
         0.419	  1.550e-06 	
         0.439	  2.290e-06 	
         0.459	  2.040e-06 	
         0.480	  2.030e-06 	
         0.500	  1.610e-06 	
         0.519	  2.500e-06 	
         0.539	  2.570e-06 	
         0.560	  2.050e-06 	
         0.579	  2.170e-06 	
         0.599	  2.640e-06 	
         0.621	  2.930e-06 	
         0.639	  2.060e-06 	
         0.659	  1.980e-06 	
         0.681	  1.930e-06 	
         0.699	  2.290e-06 	
         0.720	  1.610e-06 	
         0.739	  2.410e-06 	
         0.760	  2.250e-06 	
         0.781	  2.240e-06 	
         0.799	  2.960e-06 	
         0.821	  2.500e-06 	
         0.839	  2.320e-06 	
         0.859	  2.250e-06 	
         0.881	  2.770e-06 	
         0.899	  1.900e-06 	
         0.919	  1.700e-06 	
         0.939	  1.210e-06 	
         0.959	  1.870e-06 	
         0.981	  1.750e-06 	
         1.000	  1.940e-06 	
         1.020	  2.000e-06 	
         1.039	  1.620e-06 	
         1.059	  1.730e-06 	
         1.080	  2.010e-06 	
         1.099	  3.240e-06 	
         1.119	  1.940e-06 	
         1.139	  2.310e-06 	
         1.159	  3.190e-06 	
         1.181	  3.130e-06 	
         1.200	  2.270e-06 	
         1.221	  3.250e-06 	
         1.239	  2.380e-06 	
         1.260	  2.360e-06 	
         1.280	  2.180e-06 	
         1.300	  2.080e-06 	
         1.320	  2.210e-06 	
         1.340	  2.530e-06 	
         1.359	  2.890e-06 	
         1.381	  3.550e-06 	
         1.401	  1.960e-06 	
         1.421	  1.650e-06 	
         1.439	  1.800e-06 	
