;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 14:04:27
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:129.0nJ             
;Max:2.200uJ             
;Average:901.9nJ             
;Std.Dev.:461.3nJ             
;Overrange:766                 
;Total Pulses:3156                
;--------------------


;First Pulse Arrived : 20/01/2023 at 14:04:30
  Timestamp   	  Channel A  	
         0.000	  4.020e-07 	
         0.019	  2.760e-07 	
         0.079	  2.460e-07 	
         0.119	  4.670e-07 	
         0.141	  9.930e-07 	
         0.160	  3.910e-07 	
         0.180	  7.590e-07 	
         0.200	  5.120e-07 	
         0.220	  1.980e-07 	
         0.240	  9.130e-07 	
         0.261	  1.390e-07 	
         0.280	  4.040e-07 	
         0.299	  5.450e-07 	
         0.339	  3.800e-07 	
         0.361	  2.720e-07 	
         0.380	  4.490e-07 	
         0.400	  2.980e-07 	
         0.420	  5.930e-07 	
         0.439	  4.520e-07 	
         0.459	  6.700e-07 	
         0.480	  2.620e-07 	
         0.499	  5.800e-07 	
         0.520	  9.390e-07 	
         0.540	  4.950e-07 	
         0.561	  2.470e-07 	
         0.581	  3.280e-07 	
         0.599	  4.910e-07 	
         0.621	  6.400e-07 	
         0.640	  3.990e-07 	
         0.660	  2.120e-07 	
         0.681	  5.390e-07 	
         0.699	  4.970e-07 	
         0.719	  3.480e-07 	
         0.740	  5.070e-07 	
         0.761	  7.090e-07 	
         0.780	  5.730e-07 	
         0.820	  5.860e-07 	
         0.841	  5.150e-07 	
         0.861	  1.049e-06 	
         0.900	  4.260e-07 	
         0.919	  7.060e-07 	
         0.941	  4.230e-07 	
         0.960	  8.090e-07 	
         0.980	  8.260e-07 	
         1.000	  6.650e-07 	
         1.022	  6.880e-07 	
         1.040	  4.190e-07 	
         1.060	  4.050e-07 	
         1.100	  6.540e-07 	
         1.140	  4.340e-07 	
         1.160	  2.510e-07 	
         1.200	  6.080e-07 	
         1.220	  5.240e-07 	
         1.261	  8.090e-07 	
         1.279	  1.770e-07 	
         1.299	  3.810e-07 	
         1.320	  3.000e-07 	
         1.341	  6.560e-07 	
         1.360	  9.950e-07 	
         1.380	  1.158e-06 	
         1.400	  7.290e-07 	
         1.420	  2.960e-07 	
         1.441	  3.040e-07 	
         1.461	  1.900e-07 	
         1.480	  3.480e-07 	
         1.499	  2.490e-07 	
         1.520	  1.550e-07 	
         1.560	  4.260e-07 	
         1.599	  3.910e-07 	
         1.620	  4.910e-07 	
         1.641	  1.680e-07 	
         1.661	  2.620e-07 	
         1.700	  6.030e-07 	
         1.721	  6.840e-07 	
         1.741	  3.240e-07 	
         1.760	  1.840e-07 	
         1.780	  3.560e-07 	
         1.799	  1.960e-07 	
         1.821	  5.090e-07 	
         1.839	  7.500e-07 	
         1.861	  2.460e-07 	
         1.880	  3.390e-07 	
         1.900	  2.340e-07 	
         1.920	  4.690e-07 	
         1.941	  2.980e-07 	
         1.980	  5.300e-07 	
         2.080	  3.210e-07 	
         2.121	  3.680e-07 	
         2.139	  4.820e-07 	
         2.162	  1.420e-07 	
         2.179	  4.560e-07 	
         2.200	  3.900e-07 	
         2.220	  4.940e-07 	
         2.239	  4.380e-07 	
         2.280	  6.420e-07 	
         2.300	  2.480e-07 	
         2.339	  7.270e-07 	
         2.360	  3.570e-07 	
         2.380	  7.500e-07 	
         2.399	  6.010e-07 	
         2.420	  2.750e-07 	
         2.461	  2.140e-07 	
         2.500	  5.370e-07 	
         2.520	  7.100e-07 	
         2.539	  5.430e-07 	
         2.561	  6.200e-07 	
         2.580	  3.530e-07 	
         2.600	  3.920e-07 	
         2.621	  3.640e-07 	
         2.639	  4.730e-07 	
         2.659	  3.480e-07 	
         2.699	  8.280e-07 	
         2.720	  3.070e-07 	
         2.740	  1.890e-07 	
         2.760	  2.150e-07 	
         2.781	  3.750e-07 	
         2.819	  8.770e-07 	
         2.840	  6.300e-07 	
         2.859	  6.200e-07 	
