;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 09:54:00
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:7.410uJ             
;Max:12.11uJ             
;Average:10.08uJ             
;Std.Dev.:755.4nJ             
;Overrange:0                   
;Total Pulses:4050                

;Channel B:Statistics
;Min:45.60uJ             
;Max:66.70uJ             
;Average:57.43uJ             
;Std.Dev.:3.683uJ             
;Overrange:0                   
;Total Pulses:4050                
;--------------------


;First Pulse Arrived : 20/01/2023 at 09:54:03
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  5.660e-05 	
         0.002	  9.960e-06 	             	
         0.021	  1.005e-05 	             	
         0.023	             	  5.690e-05 	
         0.040	  1.012e-05 	  5.720e-05 	
         0.061	  9.200e-06 	  5.340e-05 	
         0.080	  1.023e-05 	  5.710e-05 	
         0.100	             	  5.490e-05 	
         0.102	  9.620e-06 	             	
         0.121	  1.000e-05 	             	
         0.122	             	  5.650e-05 	
         0.141	  9.530e-06 	  5.400e-05 	
         0.160	             	  5.730e-05 	
         0.162	  1.043e-05 	             	
         0.181	  9.390e-06 	  5.300e-05 	
         0.200	             	  5.580e-05 	
         0.202	  1.012e-05 	             	
         0.219	  1.045e-05 	             	
         0.221	             	  5.890e-05 	
         0.240	  9.820e-06 	  5.630e-05 	
         0.261	  9.720e-06 	  5.470e-05 	
         0.280	  9.820e-06 	  5.540e-05 	
         0.300	             	  5.620e-05 	
         0.302	  1.006e-05 	             	
         0.319	  9.600e-06 	             	
         0.321	             	  5.480e-05 	
         0.341	  1.080e-05 	  5.790e-05 	
         0.360	             	  5.490e-05 	
         0.363	  9.630e-06 	             	
         0.380	  9.620e-06 	             	
         0.382	             	  5.450e-05 	
         0.400	             	  5.770e-05 	
         0.402	  1.042e-05 	             	
         0.421	  1.032e-05 	             	
         0.422	             	  5.810e-05 	
         0.439	  9.830e-06 	  5.700e-05 	
         0.460	  9.510e-06 	  5.410e-05 	
         0.480	  9.880e-06 	  5.500e-05 	
         0.500	             	  5.650e-05 	
         0.502	  1.000e-05 	             	
         0.519	  9.900e-06 	             	
         0.522	             	  5.630e-05 	
         0.541	             	  5.520e-05 	
         0.543	  9.820e-06 	             	
         0.561	  9.570e-06 	  5.390e-05 	
         0.580	  1.055e-05 	  5.770e-05 	
         0.600	             	  5.940e-05 	
         0.602	  1.076e-05 	             	
         0.621	  9.930e-06 	             	
         0.622	             	  5.700e-05 	
         0.641	  1.011e-05 	  5.710e-05 	
         0.660	  1.062e-05 	  5.820e-05 	
