;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 12:36:22
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:366.0nJ             
;Max:1.269uJ             
;Average:847.9nJ             
;Std.Dev.:137.1nJ             
;Overrange:0                   
;Total Pulses:12550               

;Channel B:Statistics
;Min:2.710uJ             
;Max:6.780uJ             
;Average:4.767uJ             
;Std.Dev.:605.6nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 12:36:27
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  7.010e-07 	  4.180e-06 	
         0.020	  5.090e-07 	  3.240e-06 	
         0.039	  9.460e-07 	             	
         0.041	             	  4.720e-06 	
         0.059	  9.080e-07 	  5.030e-06 	
         0.079	  8.150e-07 	  4.720e-06 	
         0.100	  7.520e-07 	  4.350e-06 	
         0.120	  5.380e-07 	  3.370e-06 	
         0.140	  9.340e-07 	             	
         0.142	             	  4.790e-06 	
         0.160	  6.920e-07 	  4.160e-06 	
         0.179	  7.720e-07 	  4.280e-06 	
         0.199	  9.270e-07 	  4.920e-06 	
         0.220	  6.220e-07 	  3.890e-06 	
         0.239	  8.930e-07 	             	
         0.241	             	  4.710e-06 	
         0.260	  1.085e-06 	  5.740e-06 	
         0.279	  1.064e-06 	  6.000e-06 	
         0.299	  7.920e-07 	  4.890e-06 	
         0.320	  9.470e-07 	  5.220e-06 	
         0.339	  1.004e-06 	             	
         0.343	             	  5.560e-06 	
         0.360	  1.004e-06 	  5.660e-06 	
         0.379	  8.850e-07 	  5.220e-06 	
         0.400	  8.790e-07 	  5.080e-06 	
         0.420	  5.990e-07 	  3.840e-06 	
         0.440	  8.340e-07 	             	
         0.443	             	  4.490e-06 	
         0.459	  8.580e-07 	  4.750e-06 	
         0.479	  8.180e-07 	  4.640e-06 	
         0.499	  8.450e-07 	  4.770e-06 	
         0.521	  8.910e-07 	  4.980e-06 	
         0.539	  8.370e-07 	             	
         0.541	             	  4.880e-06 	
         0.560	  7.500e-07 	  4.470e-06 	
         0.579	  8.220e-07 	  4.570e-06 	
         0.599	  8.450e-07 	  4.690e-06 	
         0.621	  9.280e-07 	  5.090e-06 	
         0.639	  9.210e-07 	             	
         0.641	             	  5.160e-06 	
         0.659	  8.050e-07 	  4.740e-06 	
         0.680	  7.970e-07 	  4.600e-06 	
         0.699	  8.590e-07 	  4.770e-06 	
         0.720	  8.470e-07 	  4.800e-06 	
         0.739	  8.480e-07 	             	
         0.741	             	  4.840e-06 	
         0.759	  7.220e-07 	  4.310e-06 	
         0.779	  8.500e-07 	  4.660e-06 	
         0.800	  8.380e-07 	  4.770e-06 	
         0.819	  6.500e-07 	  4.000e-06 	
         0.839	  7.050e-07 	             	
         0.842	             	  3.960e-06 	
         0.859	  5.330e-07 	  3.280e-06 	
         0.879	  9.070e-07 	  4.600e-06 	
         0.900	  9.200e-07 	             	
         0.901	             	  5.030e-06 	
         0.919	  8.680e-07 	  4.970e-06 	
         0.939	  9.540e-07 	             	
         0.941	             	  5.260e-06 	
         0.960	  7.630e-07 	  4.540e-06 	
         0.979	  8.590e-07 	  4.810e-06 	
         2.240	  1.046e-06 	             	
         2.243	             	  5.580e-06 	
         2.260	  1.085e-06 	  5.970e-06 	
         2.279	  9.620e-07 	  5.590e-06 	
         2.299	  9.780e-07 	  5.510e-06 	
         2.319	  9.260e-07 	  5.280e-06 	
         2.340	  8.700e-07 	             	
         2.343	             	  4.940e-06 	
         2.359	  1.049e-06 	  5.590e-06 	
         2.380	  9.530e-07 	  5.460e-06 	
         2.400	  6.800e-07 	  4.280e-06 	
         2.419	  9.490e-07 	  5.010e-06 	
         2.440	  7.930e-07 	             	
         2.443	             	  4.650e-06 	
         2.460	  9.410e-07 	  5.160e-06 	
         2.478	  6.660e-07 	             	
         2.480	             	  4.180e-06 	
         2.500	  9.770e-07 	  5.130e-06 	
         2.519	  9.000e-07 	  5.090e-06 	
         2.540	  9.640e-07 	             	
         2.543	             	  5.370e-06 	
         2.560	  9.240e-07 	  5.270e-06 	
         2.579	  7.640e-07 	  4.560e-06 	
         2.599	  6.710e-07 	  4.030e-06 	
         2.619	  8.130e-07 	  4.410e-06 	
         2.640	  9.780e-07 	             	
         2.643	             	  5.170e-06 	
         2.660	  6.640e-07 	  4.190e-06 	
         2.679	  1.018e-06 	  5.350e-06 	
         2.700	  7.790e-07 	  4.690e-06 	
         2.719	             	  5.320e-06 	
         2.721	  9.830e-07 	             	
         2.739	  1.082e-06 	             	
         2.742	             	  5.890e-06 	
         2.760	  9.540e-07 	  5.540e-06 	
         2.779	  7.450e-07 	  4.590e-06 	
         2.800	  7.720e-07 	  4.400e-06 	
         2.820	  9.490e-07 	  5.100e-06 	
         2.840	  7.060e-07 	             	
         2.842	             	  4.280e-06 	
         2.860	  6.380e-07 	  3.810e-06 	
         2.879	  8.760e-07 	  4.550e-06 	
         2.899	  1.046e-06 	  5.540e-06 	
         2.919	  1.055e-06 	  5.880e-06 	
         2.940	  9.300e-07 	             	
         2.941	             	  5.460e-06 	
         2.960	  9.260e-07 	  5.280e-06 	
         2.979	  6.610e-07 	  4.170e-06 	
         2.999	  8.370e-07 	  4.520e-06 	
         3.019	  7.690e-07 	  4.450e-06 	
         3.040	  7.510e-07 	             	
         3.041	             	  4.320e-06 	
         3.060	  8.870e-07 	  4.810e-06 	
         3.079	  8.790e-07 	  4.870e-06 	
         3.099	  8.770e-07 	  4.940e-06 	
         3.120	  7.510e-07 	  4.440e-06 	
         3.140	  7.170e-07 	             	
         3.141	             	  4.190e-06 	
         3.161	  8.860e-07 	  4.830e-06 	
         3.179	  9.690e-07 	             	
         3.182	             	  5.350e-06 	
         3.200	  8.870e-07 	  5.130e-06 	
         3.219	  8.700e-07 	  5.010e-06 	
         4.481	  7.740e-07 	  4.530e-06 	
         4.499	  8.420e-07 	  4.640e-06 	
         4.520	  8.960e-07 	  4.960e-06 	
         4.539	  8.840e-07 	             	
         4.543	             	  4.980e-06 	
         4.559	  9.060e-07 	  5.130e-06 	
         4.579	  1.006e-06 	  5.540e-06 	
         4.599	  1.081e-06 	  5.980e-06 	
         4.621	  9.070e-07 	  5.380e-06 	
         4.639	  8.720e-07 	             	
         4.643	             	  5.080e-06 	
         4.659	             	  4.770e-06 	
         4.660	  8.360e-07 	             	
         4.679	  5.690e-07 	  3.660e-06 	
         4.699	  5.870e-07 	  3.420e-06 	
         4.720	  8.400e-07 	  4.430e-06 	
