;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 12:47:54
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:190.0nJ             
;Max:988.0nJ             
;Average:612.0nJ             
;Std.Dev.:123.0nJ             
;Overrange:0                   
;Total Pulses:12550               

;Channel B:Statistics
;Min:1.620uJ             
;Max:4.960uJ             
;Average:3.412uJ             
;Std.Dev.:533.1nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 12:48:10
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  6.580e-07 	  3.820e-06 	
         0.019	  5.650e-07 	  3.370e-06 	
         0.040	  7.220e-07 	  3.860e-06 	
         0.059	  6.590e-07 	  3.710e-06 	
         0.078	  7.050e-07 	  3.820e-06 	
         0.099	  4.300e-07 	  2.790e-06 	
         0.120	  7.480e-07 	  3.770e-06 	
         0.140	  5.800e-07 	  3.400e-06 	
         0.159	  5.650e-07 	  3.220e-06 	
         0.179	  7.730e-07 	  4.000e-06 	
         0.199	  7.380e-07 	  4.130e-06 	
         0.219	  4.600e-07 	  3.020e-06 	
         0.239	  3.680e-07 	  2.290e-06 	
         0.258	  6.400e-07 	  3.220e-06 	
         0.278	  6.870e-07 	  3.660e-06 	
         0.299	  6.510e-07 	  3.630e-06 	
         0.319	  6.990e-07 	  3.810e-06 	
         0.339	  4.550e-07 	  2.870e-06 	
         0.359	  2.560e-07 	  1.800e-06 	
         0.378	  4.840e-07 	  2.480e-06 	
         0.399	  7.030e-07 	  3.490e-06 	
         0.420	  7.720e-07 	  4.090e-06 	
         0.440	  7.150e-07 	  4.020e-06 	
         0.459	  6.600e-07 	  3.790e-06 	
         0.478	  6.880e-07 	  3.840e-06 	
         0.499	  4.100e-07 	  2.740e-06 	
         0.520	  5.370e-07 	  2.910e-06 	
         0.539	  4.160e-07 	  2.500e-06 	
         0.559	  3.680e-07 	  2.200e-06 	
         0.579	  3.110e-07 	  1.860e-06 	
         0.598	  4.750e-07 	  2.450e-06 	
         0.620	  6.080e-07 	  3.200e-06 	
         0.640	  3.600e-07 	  2.350e-06 	
         0.659	  2.890e-07 	  1.850e-06 	
         0.679	  6.670e-07 	  3.170e-06 	
         0.699	  3.850e-07 	  2.480e-06 	
         0.720	  4.060e-07 	  2.350e-06 	
         0.740	  5.710e-07 	  3.000e-06 	
         0.759	  5.570e-07 	  3.100e-06 	
         0.779	  5.650e-07 	  3.140e-06 	
         0.799	  7.670e-07 	  3.940e-06 	
         0.820	  5.120e-07 	  3.160e-06 	
         0.840	  5.940e-07 	  3.270e-06 	
         0.859	  8.340e-07 	  4.300e-06 	
         0.879	  7.860e-07 	  4.370e-06 	
         0.898	  3.920e-07 	  2.850e-06 	
         0.919	             	  3.360e-06 	
         0.921	  6.370e-07 	             	
         0.939	  5.430e-07 	  3.120e-06 	
         0.959	  3.950e-07 	  2.480e-06 	
         0.979	  6.370e-07 	  3.270e-06 	
         2.240	             	  3.710e-06 	
         2.241	  6.880e-07 	             	
         2.259	  6.250e-07 	  3.560e-06 	
         2.278	  6.660e-07 	  3.670e-06 	
         2.300	  6.440e-07 	  3.590e-06 	
         2.319	  6.140e-07 	  3.490e-06 	
         2.340	  6.910e-07 	  3.790e-06 	
         2.359	  5.970e-07 	  3.460e-06 	
         2.379	  5.970e-07 	  3.340e-06 	
         2.399	  5.580e-07 	  3.190e-06 	
         2.419	  7.770e-07 	  4.020e-06 	
         2.439	  6.040e-07 	  3.570e-06 	
         2.459	  5.740e-07 	  3.320e-06 	
         2.479	  4.880e-07 	  2.920e-06 	
         2.498	  6.440e-07 	             	
         2.502	             	  3.410e-06 	
         2.518	  6.210e-07 	  3.440e-06 	
         2.539	  5.190e-07 	  3.100e-06 	
         2.559	  6.580e-07 	  3.530e-06 	
         2.579	  7.370e-07 	  4.010e-06 	
         2.600	  6.640e-07 	  3.770e-06 	
         2.618	  7.270e-07 	  3.980e-06 	
         2.638	  8.570e-07 	  4.580e-06 	
         2.659	  7.600e-07 	  4.320e-06 	
         2.679	  5.310e-07 	  3.390e-06 	
         2.700	  5.440e-07 	  3.130e-06 	
         2.719	  7.620e-07 	  3.920e-06 	
         2.740	  6.670e-07 	  3.770e-06 	
         2.759	  6.500e-07 	  3.720e-06 	
         2.779	  5.900e-07 	  3.490e-06 	
         2.799	  6.780e-07 	  3.730e-06 	
         2.818	  4.880e-07 	  3.060e-06 	
         2.839	  5.960e-07 	  3.250e-06 	
         2.859	  6.500e-07 	  3.570e-06 	
         2.878	  5.550e-07 	  3.210e-06 	
         2.898	  5.550e-07 	  3.160e-06 	
         2.918	  4.830e-07 	  2.830e-06 	
         2.939	  6.310e-07 	  3.360e-06 	
         2.959	  4.760e-07 	  2.880e-06 	
         2.978	  5.320e-07 	  2.990e-06 	
         2.999	  4.400e-07 	  2.610e-06 	
         3.018	  4.610e-07 	  2.630e-06 	
         3.039	  6.090e-07 	  3.240e-06 	
         3.058	  5.540e-07 	  3.170e-06 	
         3.079	  5.300e-07 	  3.050e-06 	
         3.098	  4.960e-07 	  2.840e-06 	
         3.118	  7.060e-07 	  3.620e-06 	
         3.140	  6.820e-07 	  3.750e-06 	
         3.159	  8.050e-07 	  4.310e-06 	
         3.179	             	  2.660e-06 	
         3.182	  3.540e-07 	             	
         3.200	  6.720e-07 	  3.440e-06 	
         3.219	  3.070e-07 	  2.240e-06 	
         4.481	  6.280e-07 	  3.150e-06 	
         4.499	  5.720e-07 	  3.150e-06 	
         4.520	  5.380e-07 	  3.060e-06 	
         4.539	  3.460e-07 	  2.290e-06 	
         4.559	  7.560e-07 	  3.670e-06 	
         4.579	  6.840e-07 	  3.790e-06 	
         4.599	  5.030e-07 	  3.080e-06 	
         4.620	  7.240e-07 	  3.770e-06 	
         4.640	  6.580e-07 	  3.720e-06 	
         4.659	  7.530e-07 	  4.110e-06 	
         4.679	  4.340e-07 	  2.930e-06 	
         4.699	  6.890e-07 	  3.610e-06 	
         4.720	  4.250e-07 	  2.690e-06 	
         4.740	  5.730e-07 	  3.080e-06 	
         4.759	  8.140e-07 	  4.130e-06 	
         4.779	  3.500e-07 	             	
         4.780	             	  2.590e-06 	
         4.799	  4.690e-07 	  2.650e-06 	
         4.819	  6.290e-07 	  3.260e-06 	
         4.840	  4.370e-07 	  2.700e-06 	
         4.859	  6.430e-07 	  3.360e-06 	
         4.879	  6.350e-07 	  3.530e-06 	
         4.899	  5.190e-07 	  3.070e-06 	
         4.918	  4.040e-07 	  2.460e-06 	
         4.940	  8.260e-07 	  3.990e-06 	
         4.958	  5.240e-07 	  3.230e-06 	
         4.979	  7.260e-07 	  3.830e-06 	
         4.999	  5.230e-07 	  3.140e-06 	
         5.019	  5.730e-07 	  3.190e-06 	
         5.040	  7.790e-07 	  4.020e-06 	
         5.059	  3.370e-07 	  2.490e-06 	
         5.079	  6.800e-07 	  3.470e-06 	
         5.099	  7.860e-07 	  4.150e-06 	
         5.119	  6.460e-07 	  3.770e-06 	
         5.140	  6.180e-07 	  3.570e-06 	
         5.159	  6.520e-07 	  3.620e-06 	
         5.179	  4.120e-07 	  2.690e-06 	
         5.200	  7.070e-07 	  3.590e-06 	
         5.219	  6.250e-07 	  3.490e-06 	
         5.239	  5.180e-07 	  3.100e-06 	
         5.258	  5.500e-07 	  3.080e-06 	
         5.279	  7.590e-07 	  3.910e-06 	
         5.299	  5.570e-07 	  3.290e-06 	
         5.319	  5.210e-07 	  3.020e-06 	
         5.340	  8.150e-07 	  4.150e-06 	
         5.359	  5.080e-07 	  3.190e-06 	
         5.379	  5.970e-07 	  3.350e-06 	
         5.400	  4.730e-07 	  2.860e-06 	
         5.420	  5.190e-07 	  2.900e-06 	
         5.439	  7.690e-07 	  3.890e-06 	
         5.459	             	  4.140e-06 	
         5.460	  7.630e-07 	             	
         6.720	  5.680e-07 	  3.450e-06 	
         6.738	  7.210e-07 	  3.860e-06 	
         6.759	  5.820e-07 	  3.390e-06 	
         6.779	  5.610e-07 	  3.210e-06 	
         6.799	  7.310e-07 	  3.880e-06 	
         6.819	  5.240e-07 	  3.160e-06 	
         6.838	  6.660e-07 	  3.540e-06 	
         6.859	  4.480e-07 	  2.780e-06 	
         6.878	  5.950e-07 	  3.220e-06 	
         6.900	  5.550e-07 	  3.180e-06 	
         6.918	  3.660e-07 	  2.360e-06 	
         6.939	  5.250e-07 	  2.790e-06 	
         6.959	  7.860e-07 	  3.960e-06 	
         6.979	  7.000e-07 	  3.960e-06 	
         6.998	  4.830e-07 	  3.040e-06 	
         7.020	  5.150e-07 	  2.970e-06 	
         7.039	  4.830e-07 	             	
         7.041	             	  2.790e-06 	
         7.059	  4.310e-07 	  2.520e-06 	
         7.079	  3.240e-07 	  2.000e-06 	
         7.098	  5.400e-07 	  2.760e-06 	
         7.119	  6.390e-07 	  3.380e-06 	
         7.139	  6.070e-07 	  3.400e-06 	
         7.159	  6.440e-07 	  3.570e-06 	
         7.179	  7.060e-07 	  3.890e-06 	
         7.198	  9.150e-07 	  4.790e-06 	
         7.220	  5.100e-07 	  3.390e-06 	
         7.240	  4.120e-07 	  2.640e-06 	
         7.259	  5.780e-07 	  3.100e-06 	
         7.279	  7.000e-07 	  3.700e-06 	
         7.299	  6.500e-07 	  3.640e-06 	
         7.318	  4.010e-07 	  2.630e-06 	
         7.340	  6.590e-07 	  3.420e-06 	
         7.359	  6.680e-07 	  3.650e-06 	
         7.379	  6.360e-07 	  3.550e-06 	
         7.398	  5.780e-07 	  3.340e-06 	
         7.420	  5.480e-07 	  3.120e-06 	
         7.438	  4.200e-07 	  2.570e-06 	
         7.459	  4.130e-07 	  2.400e-06 	
         7.479	  6.940e-07 	  3.440e-06 	
         7.499	  6.360e-07 	  3.600e-06 	
         7.520	  3.600e-07 	  2.490e-06 	
         7.539	  6.300e-07 	  3.250e-06 	
         7.559	  7.170e-07 	  3.820e-06 	
         7.579	  4.450e-07 	  2.910e-06 	
         7.599	  5.240e-07 	  2.960e-06 	
         7.620	  7.230e-07 	  3.760e-06 	
         7.639	  3.700e-07 	  2.540e-06 	
         7.659	  5.790e-07 	  3.040e-06 	
         7.679	  5.150e-07 	  2.920e-06 	
         7.698	  4.670e-07 	  2.720e-06 	
         8.958	  4.980e-07 	             	
         8.960	             	  2.760e-06 	
         8.979	  3.690e-07 	  2.230e-06 	
         8.999	  5.460e-07 	  2.870e-06 	
         9.020	  7.640e-07 	  3.890e-06 	
         9.039	  6.060e-07 	  3.490e-06 	
         9.059	  5.880e-07 	  3.320e-06 	
         9.079	  6.070e-07 	  3.380e-06 	
         9.099	  5.730e-07 	  3.250e-06 	
         9.119	  5.570e-07 	  3.150e-06 	
         9.139	  6.680e-07 	  3.570e-06 	
         9.159	  6.890e-07 	  3.740e-06 	
         9.178	  6.240e-07 	  3.600e-06 	
         9.199	  5.440e-07 	  3.210e-06 	
         9.220	  6.680e-07 	  3.610e-06 	
         9.239	  7.740e-07 	  4.170e-06 	
         9.258	  4.620e-07 	             	
         9.259	             	  3.040e-06 	
         9.278	  6.850e-07 	  3.640e-06 	
         9.299	  6.860e-07 	             	
         9.301	             	  3.770e-06 	
         9.319	  5.680e-07 	  3.340e-06 	
         9.338	  5.520e-07 	  3.190e-06 	
         9.359	  5.080e-07 	  2.980e-06 	
         9.378	  5.370e-07 	  3.020e-06 	
         9.399	  4.840e-07 	  2.820e-06 	
         9.420	  4.540e-07 	  2.650e-06 	
         9.438	  7.210e-07 	  3.700e-06 	
         9.459	  6.350e-07 	  3.600e-06 	
         9.479	  5.600e-07 	  3.250e-06 	
         9.499	  7.220e-07 	  3.790e-06 	
         9.518	  3.920e-07 	  2.670e-06 	
         9.538	  5.950e-07 	  3.180e-06 	
         9.559	  6.390e-07 	  3.490e-06 	
         9.578	  6.080e-07 	  3.460e-06 	
         9.600	  7.000e-07 	  3.820e-06 	
         9.620	  8.130e-07 	  4.360e-06 	
         9.639	  6.470e-07 	  3.860e-06 	
         9.659	  5.430e-07 	  3.310e-06 	
         9.679	  6.210e-07 	  3.450e-06 	
         9.700	  5.050e-07 	  2.970e-06 	
         9.720	  5.010e-07 	  2.860e-06 	
         9.738	  5.920e-07 	  3.160e-06 	
         9.759	  6.930e-07 	  3.720e-06 	
         9.779	  5.670e-07 	  3.360e-06 	
         9.799	  5.960e-07 	  3.320e-06 	
         9.819	  5.780e-07 	  3.270e-06 	
         9.839	  5.330e-07 	  3.090e-06 	
         9.859	  4.130e-07 	  2.550e-06 	
         9.879	  4.960e-07 	  2.720e-06 	
         9.899	  5.320e-07 	  2.950e-06 	
         9.919	  3.670e-07 	  2.330e-06 	
         9.938	  4.720e-07 	  2.540e-06 	
        11.179	  5.610e-07 	             	
        11.181	             	  2.990e-06 	
        11.200	  4.080e-07 	  2.440e-06 	
        11.220	  6.660e-07 	  3.340e-06 	
        11.240	  4.460e-07 	  2.720e-06 	
        11.259	  6.140e-07 	  3.240e-06 	
        11.279	  6.720e-07 	  3.650e-06 	
        11.299	  7.050e-07 	  3.890e-06 	
        11.319	  5.690e-07 	  3.390e-06 	
        11.339	  4.200e-07 	  2.660e-06 	
        11.359	  7.080e-07 	  3.610e-06 	
        11.378	  4.930e-07 	  2.990e-06 	
        11.400	  7.490e-07 	  3.850e-06 	
        11.419	  6.850e-07 	  3.850e-06 	
        11.440	  5.430e-07 	  3.280e-06 	
        11.459	  6.590e-07 	  3.580e-06 	
        11.479	  3.940e-07 	  2.570e-06 	
        11.498	  6.400e-07 	  3.300e-06 	
        11.519	  5.790e-07 	  3.320e-06 	
        11.539	  6.420e-07 	  3.550e-06 	
        11.558	             	  3.590e-06 	
        11.559	  6.290e-07 	             	
        11.578	  5.480e-07 	             	
        11.580	             	  3.240e-06 	
        11.599	  6.320e-07 	  3.460e-06 	
        11.619	  8.590e-07 	  4.440e-06 	
        11.637	             	  4.120e-06 	
