;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 13:07:46
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:125.0nJ             
;Max:812.0nJ             
;Average:447.0nJ             
;Std.Dev.:120.5nJ             
;Overrange:0                   
;Total Pulses:12490               

;Channel B:Statistics
;Min:890.0nJ             
;Max:4.150uJ             
;Average:2.480uJ             
;Std.Dev.:524.7nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 13:08:04
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  3.740e-07 	  2.320e-06 	
         0.018	  5.810e-07 	             	
         0.020	             	  2.940e-06 	
         0.040	  5.410e-07 	  3.000e-06 	
         0.059	  5.550e-07 	             	
         0.060	             	  3.050e-06 	
         0.080	  4.890e-07 	  2.790e-06 	
         0.097	  4.980e-07 	             	
         0.099	             	  2.790e-06 	
         0.118	  5.720e-07 	             	
         0.120	             	  3.110e-06 	
         0.140	  3.850e-07 	  2.420e-06 	
         0.158	  5.440e-07 	             	
         0.160	             	  2.900e-06 	
         0.180	  5.800e-07 	  3.170e-06 	
         0.200	  5.600e-07 	  3.160e-06 	
         0.218	  5.710e-07 	             	
         0.220	             	  3.190e-06 	
         0.240	  4.810e-07 	  2.840e-06 	
         0.259	  5.720e-07 	             	
         0.260	             	  3.080e-06 	
         0.281	  2.980e-07 	  2.080e-06 	
         0.299	  4.310e-07 	             	
         0.300	             	  2.330e-06 	
         0.318	  3.440e-07 	             	
         0.320	             	  1.990e-06 	
         0.340	  2.900e-07 	  1.730e-06 	
         0.359	  5.320e-07 	             	
         0.360	             	  2.610e-06 	
         0.380	  3.540e-07 	  2.150e-06 	
         0.400	  3.590e-07 	  2.050e-06 	
         0.418	  4.890e-07 	             	
         0.420	             	  2.580e-06 	
         0.440	  4.840e-07 	  2.680e-06 	
         0.459	  4.030e-07 	  2.380e-06 	
         0.480	  3.180e-07 	  1.970e-06 	
         0.498	  4.390e-07 	             	
         0.500	             	  2.310e-06 	
         0.518	  5.900e-07 	             	
         0.520	             	  3.000e-06 	
         0.540	             	  2.000e-06 	
         0.542	  2.890e-07 	             	
         0.558	  2.770e-07 	             	
         0.560	             	  1.690e-06 	
         0.579	  3.710e-07 	             	
         0.580	             	  1.990e-06 	
         0.600	  2.610e-07 	  1.620e-06 	
         0.617	  5.290e-07 	             	
         0.621	             	  2.590e-06 	
         0.640	  5.370e-07 	  2.900e-06 	
         0.658	  5.670e-07 	             	
         0.660	             	  3.120e-06 	
         0.681	  5.380e-07 	  3.040e-06 	
         0.700	             	  1.350e-06 	
         0.718	  5.540e-07 	             	
         0.720	             	  2.600e-06 	
         0.740	  5.170e-07 	  2.830e-06 	
         0.759	  3.750e-07 	             	
         0.760	             	  2.290e-06 	
         0.781	  2.130e-07 	  1.590e-06 	
         0.800	  5.600e-07 	  2.740e-06 	
         0.818	  5.250e-07 	             	
         0.820	             	  2.880e-06 	
         0.840	  4.630e-07 	  2.670e-06 	
         0.859	  3.300e-07 	             	
         0.860	             	  2.100e-06 	
         0.880	  5.370e-07 	  2.720e-06 	
         0.899	  5.250e-07 	             	
         0.900	             	  2.890e-06 	
         0.918	  5.150e-07 	             	
         0.920	             	  2.850e-06 	
         0.940	  5.280e-07 	  2.950e-06 	
         0.959	  4.970e-07 	             	
         0.961	             	  2.800e-06 	
         0.979	  5.810e-07 	             	
         0.980	             	  3.120e-06 	
         2.240	             	  2.300e-06 	
         2.243	  3.460e-07 	             	
         2.258	  5.400e-07 	             	
         2.260	             	  2.790e-06 	
         2.280	  4.680e-07 	  2.670e-06 	
         2.299	  5.680e-07 	             	
         2.300	             	  3.040e-06 	
         2.319	  3.740e-07 	             	
         2.320	             	  2.330e-06 	
         2.341	  5.830e-07 	  2.950e-06 	
         2.358	  5.640e-07 	  3.040e-06 	
         2.379	  5.760e-07 	  3.140e-06 	
         2.400	  3.070e-07 	  2.140e-06 	
