;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 13:24:49
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:125.0nJ             
;Max:2.093uJ             
;Average:815.2nJ             
;Std.Dev.:388.5nJ             
;Overrange:0                   
;Total Pulses:12264               
;--------------------


;First Pulse Arrived : 20/01/2023 at 13:24:52
  Timestamp   	  Channel A  	
         0.000	  3.670e-07 	
         0.020	  3.750e-07 	
         0.040	  2.110e-07 	
         0.059	  2.790e-07 	
         0.079	  3.310e-07 	
         0.100	  2.810e-07 	
         0.121	  7.160e-07 	
         0.139	  5.260e-07 	
         0.159	  6.170e-07 	
         0.180	  4.380e-07 	
         0.200	  2.070e-07 	
         0.221	  1.558e-06 	
         0.239	  7.600e-07 	
         0.259	  1.201e-06 	
         0.280	  8.440e-07 	
         0.300	  1.434e-06 	
         0.319	  5.620e-07 	
         0.340	  5.540e-07 	
         0.359	  3.980e-07 	
         0.381	  1.255e-06 	
         0.400	  9.420e-07 	
         0.419	  2.670e-07 	
         0.440	  1.412e-06 	
         0.459	  1.272e-06 	
         0.481	  1.000e-06 	
         0.499	  5.890e-07 	
         0.521	  9.170e-07 	
         0.539	  1.679e-06 	
         0.559	  5.360e-07 	
         0.580	  9.950e-07 	
         0.599	  4.200e-07 	
         0.621	  1.060e-06 	
         0.640	  8.450e-07 	
         0.659	  1.176e-06 	
         0.679	  1.608e-06 	
         0.699	  1.265e-06 	
         0.721	  8.260e-07 	
         0.740	  1.273e-06 	
         0.759	  8.400e-07 	
         0.781	  1.120e-06 	
         0.800	  1.360e-06 	
         0.821	  4.120e-07 	
         0.839	  1.382e-06 	
         0.859	  1.690e-06 	
         0.879	  1.049e-06 	
         0.900	  9.180e-07 	
         0.920	  1.090e-06 	
         0.939	  1.733e-06 	
         0.959	  8.870e-07 	
         0.979	  1.795e-06 	
         2.243	  2.010e-07 	
         2.259	  4.750e-07 	
         2.280	  6.610e-07 	
         2.301	  6.770e-07 	
         2.319	  4.700e-07 	
         2.340	  2.290e-07 	
         2.362	  9.150e-07 	
         2.381	  1.347e-06 	
         2.400	  9.810e-07 	
         2.420	  4.130e-07 	
         2.441	  6.160e-07 	
         2.459	  6.670e-07 	
         2.480	  1.081e-06 	
         2.499	  3.890e-07 	
         2.520	  4.900e-07 	
         2.540	  3.670e-07 	
         2.559	  2.170e-07 	
         2.580	  1.307e-06 	
         2.599	  7.120e-07 	
         2.619	  5.160e-07 	
         2.641	  1.495e-06 	
         2.659	  1.158e-06 	
         2.679	  2.930e-07 	
         2.701	  5.920e-07 	
         2.719	  7.830e-07 	
         2.740	  6.160e-07 	
         2.759	  5.110e-07 	
         2.779	  6.240e-07 	
         2.801	  1.141e-06 	
         2.819	  3.800e-07 	
         2.839	  7.630e-07 	
         2.861	  4.270e-07 	
         2.879	  5.460e-07 	
         2.901	  5.640e-07 	
         2.919	  8.930e-07 	
         2.941	  1.142e-06 	
         2.959	  6.230e-07 	
         2.979	  8.150e-07 	
         3.000	  3.780e-07 	
         3.019	  1.562e-06 	
         3.042	  5.960e-07 	
         3.059	  1.415e-06 	
         3.079	  1.095e-06 	
         3.100	  4.540e-07 	
         3.120	  7.650e-07 	
         3.140	  8.890e-07 	
         3.159	  3.020e-07 	
         3.179	  1.156e-06 	
         3.200	  9.600e-07 	
         3.219	  4.520e-07 	
         4.483	  9.950e-07 	
         4.500	  1.231e-06 	
         4.519	  1.115e-06 	
         4.540	  1.768e-06 	
         4.559	  1.202e-06 	
         4.579	  9.470e-07 	
         4.600	  1.209e-06 	
         4.621	  1.416e-06 	
         4.641	  1.154e-06 	
         4.659	  1.149e-06 	
         4.679	  1.087e-06 	
         4.700	  6.780e-07 	
         4.720	  1.290e-06 	
         4.740	  8.930e-07 	
         4.759	  1.061e-06 	
         4.780	  9.430e-07 	
         4.799	  1.180e-06 	
         4.820	  9.910e-07 	
         4.840	  1.524e-06 	
         4.861	  6.420e-07 	
         4.880	  1.321e-06 	
         4.899	  9.390e-07 	
         4.919	  1.635e-06 	
         4.940	  1.563e-06 	
         4.980	  1.267e-06 	
         4.999	  3.680e-07 	
         5.019	  2.980e-07 	
         5.040	  1.477e-06 	
         5.059	  1.089e-06 	
         5.081	  1.846e-06 	
         5.100	  1.207e-06 	
         5.119	  1.464e-06 	
         5.140	  1.649e-06 	
         5.159	  1.154e-06 	
         5.180	  5.180e-07 	
         5.200	  9.200e-07 	
         5.219	  1.400e-06 	
         5.240	  6.040e-07 	
         5.259	  1.748e-06 	
         5.280	  1.698e-06 	
         5.300	  6.500e-07 	
         5.322	  1.194e-06 	
         5.339	  1.378e-06 	
         5.362	  1.720e-06 	
         5.381	  1.573e-06 	
         5.400	  1.061e-06 	
         5.419	  1.105e-06 	
         5.440	  7.830e-07 	
         5.460	  6.380e-07 	
         6.722	  7.830e-07 	
         6.741	  1.004e-06 	
         6.759	  4.320e-07 	
         6.779	  6.850e-07 	
         6.800	  1.019e-06 	
         6.821	  3.960e-07 	
         6.840	  5.600e-07 	
         6.861	  1.381e-06 	
         6.880	  1.184e-06 	
         6.900	  4.270e-07 	
         6.920	  1.890e-07 	
         6.940	  5.830e-07 	
         6.959	  2.680e-07 	
         6.980	  1.048e-06 	
         6.999	  1.568e-06 	
         7.021	  9.530e-07 	
         7.041	  7.080e-07 	
         7.059	  3.210e-07 	
         7.079	  1.074e-06 	
         7.099	  1.201e-06 	
         7.121	  6.520e-07 	
         7.139	  1.208e-06 	
         7.159	  1.403e-06 	
         7.179	  9.770e-07 	
         7.199	  3.850e-07 	
         7.220	  1.255e-06 	
         7.241	  1.017e-06 	
         7.259	  3.460e-07 	
         7.280	  3.830e-07 	
         7.299	  5.510e-07 	
         7.319	  6.280e-07 	
         7.341	  7.150e-07 	
         7.362	  7.760e-07 	
         7.381	  1.134e-06 	
         7.400	  8.750e-07 	
         7.419	  5.760e-07 	
         7.440	  1.095e-06 	
         7.459	  1.271e-06 	
         7.480	  1.230e-06 	
         7.500	  1.413e-06 	
         7.521	  2.210e-07 	
         7.541	  1.596e-06 	
         7.559	  1.780e-06 	
         7.582	  1.491e-06 	
         7.600	  1.286e-06 	
         7.621	  3.610e-07 	
         7.640	  9.210e-07 	
         7.660	  1.273e-06 	
         7.680	  1.046e-06 	
         7.700	  4.620e-07 	
         8.962	  4.820e-07 	
         8.979	  9.700e-07 	
         9.001	  2.420e-07 	
         9.021	  8.400e-07 	
         9.039	  3.610e-07 	
         9.059	  4.880e-07 	
         9.081	  8.210e-07 	
         9.100	  1.181e-06 	
         9.120	  1.371e-06 	
         9.139	  1.717e-06 	
         9.159	  6.860e-07 	
         9.180	  1.342e-06 	
         9.201	  1.394e-06 	
         9.221	  3.610e-07 	
         9.239	  1.387e-06 	
         9.259	  3.620e-07 	
         9.279	  1.420e-07 	
         9.301	  9.330e-07 	
         9.321	  1.111e-06 	
         9.339	  2.220e-07 	
         9.359	  5.730e-07 	
         9.379	  5.470e-07 	
         9.399	  6.020e-07 	
         9.419	  1.850e-07 	
         9.439	  1.183e-06 	
         9.459	  1.125e-06 	
         9.480	  6.160e-07 	
         9.500	  9.640e-07 	
         9.519	  5.520e-07 	
         9.539	  1.155e-06 	
         9.559	  1.002e-06 	
         9.580	  2.910e-07 	
         9.599	  4.460e-07 	
         9.619	  8.200e-07 	
         9.640	  6.130e-07 	
         9.659	  4.800e-07 	
         9.679	  1.080e-06 	
         9.700	  2.070e-07 	
         9.719	  4.800e-07 	
         9.740	  3.320e-07 	
         9.759	  7.500e-07 	
         9.780	  5.470e-07 	
         9.799	  1.139e-06 	
         9.821	  8.550e-07 	
         9.841	  3.870e-07 	
         9.859	  5.220e-07 	
         9.880	  5.380e-07 	
         9.899	  6.790e-07 	
         9.921	  5.540e-07 	
        11.223	  4.410e-07 	
        11.239	  7.650e-07 	
        11.259	  3.110e-07 	
        11.300	  9.790e-07 	
        11.321	  5.930e-07 	
        11.340	  4.620e-07 	
        11.359	  2.970e-07 	
        11.379	  4.860e-07 	
        11.400	  3.320e-07 	
        11.421	  1.381e-06 	
        11.439	  3.370e-07 	
        11.459	  1.990e-07 	
        11.479	  8.580e-07 	
        11.499	  7.530e-07 	
        11.519	  5.810e-07 	
        11.539	  5.440e-07 	
        11.559	  7.130e-07 	
        11.579	  1.226e-06 	
        11.599	  2.530e-07 	
        11.620	  8.540e-07 	
        11.640	  9.990e-07 	
        11.659	  4.720e-07 	
        11.680	  1.057e-06 	
        11.701	  6.240e-07 	
        11.719	  1.209e-06 	
        11.740	  1.142e-06 	
        11.759	  5.590e-07 	
        11.780	  1.202e-06 	
        11.801	  1.292e-06 	
        11.819	  1.526e-06 	
        11.840	  3.590e-07 	
        11.859	  6.650e-07 	
        11.879	  5.620e-07 	
        11.901	  9.760e-07 	
        11.921	  1.616e-06 	
        11.939	  5.890e-07 	
        11.959	  6.520e-07 	
        11.981	  7.220e-07 	
        12.001	  2.920e-07 	
        12.021	  1.214e-06 	
        12.039	  6.540e-07 	
        12.059	  1.149e-06 	
        12.080	  7.450e-07 	
        12.100	  6.210e-07 	
        12.122	  1.002e-06 	
        12.139	  4.390e-07 	
        12.159	  3.500e-07 	
        12.180	  4.080e-07 	
        12.200	  4.220e-07 	
        13.442	  3.940e-07 	
        13.459	  4.410e-07 	
        13.480	  1.255e-06 	
        13.500	  4.150e-07 	
        13.519	  8.960e-07 	
        13.540	  4.750e-07 	
        13.559	  1.662e-06 	
        13.580	  9.630e-07 	
        13.601	  1.820e-07 	
        13.640	  6.610e-07 	
        13.659	  1.219e-06 	
        13.680	  1.010e-06 	
        13.701	  1.122e-06 	
        13.720	  7.970e-07 	
        13.741	  6.840e-07 	
        13.759	  1.690e-07 	
        13.780	  8.020e-07 	
        13.800	  5.310e-07 	
        13.819	  5.310e-07 	
        13.841	  1.278e-06 	
        13.859	  7.210e-07 	
        13.879	  9.880e-07 	
        13.900	  9.550e-07 	
        13.919	  3.560e-07 	
        13.939	  7.510e-07 	
        13.959	  7.660e-07 	
        13.979	  2.260e-07 	
        14.001	  8.060e-07 	
        14.019	  7.970e-07 	
        14.041	  4.030e-07 	
        14.059	  7.460e-07 	
        14.080	  2.880e-07 	
        14.100	  1.097e-06 	
        14.119	  8.520e-07 	
        14.139	  1.003e-06 	
        14.159	  3.980e-07 	
        14.180	  1.101e-06 	
        14.200	  7.670e-07 	
        14.219	  9.840e-07 	
        14.240	  1.064e-06 	
        14.259	  9.150e-07 	
        14.280	  3.460e-07 	
        14.300	  6.460e-07 	
        14.319	  1.229e-06 	
        14.341	  9.810e-07 	
        14.359	  3.410e-07 	
        14.382	  7.560e-07 	
        14.401	  1.410e-06 	
        14.419	  6.810e-07 	
        15.681	  3.070e-07 	
        15.700	  5.930e-07 	
        15.721	  2.000e-07 	
        15.739	  3.040e-07 	
        15.759	  4.770e-07 	
        15.780	  8.120e-07 	
        15.799	  2.720e-07 	
        15.821	  6.580e-07 	
        15.841	  8.510e-07 	
        15.859	  6.420e-07 	
        15.879	  4.690e-07 	
        15.899	  7.440e-07 	
        15.919	  5.400e-07 	
        15.940	  1.264e-06 	
        15.959	  6.610e-07 	
        15.999	  6.490e-07 	
        16.021	  5.450e-07 	
        16.040	  1.062e-06 	
        16.060	  8.270e-07 	
        16.081	  3.850e-07 	
        16.099	  5.380e-07 	
        16.121	  5.530e-07 	
        16.140	  6.840e-07 	
        16.159	  4.470e-07 	
        16.181	  4.840e-07 	
        16.199	  4.460e-07 	
        16.220	  8.090e-07 	
        16.239	  2.170e-07 	
        16.259	  5.680e-07 	
        16.279	  6.150e-07 	
        16.300	  9.170e-07 	
        16.319	  9.750e-07 	
        16.340	  6.700e-07 	
        16.359	  5.020e-07 	
        16.379	  2.810e-07 	
        16.399	  7.430e-07 	
        16.420	  2.650e-07 	
        16.440	  7.360e-07 	
        16.459	  4.450e-07 	
        16.480	  1.042e-06 	
        16.499	  6.670e-07 	
        16.519	  9.700e-07 	
        16.540	  6.110e-07 	
        16.559	  1.081e-06 	
        16.580	  1.241e-06 	
