;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 11:13:11
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:2.110uJ             
;Max:5.730uJ             
;Average:4.225uJ             
;Std.Dev.:429.8nJ             
;Overrange:0                   
;Total Pulses:12550               

;Channel B:Statistics
;Min:15.00uJ             
;Max:30.50uJ             
;Average:24.35uJ             
;Std.Dev.:1.931uJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 11:13:16
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  4.020e-06 	  2.820e-05 	
         0.020	  4.010e-06 	  2.490e-05 	
         0.041	  3.880e-06 	  2.330e-05 	
         0.060	  3.780e-06 	  2.210e-05 	
         0.080	  4.380e-06 	  2.440e-05 	
         0.100	  4.700e-06 	  2.670e-05 	
         0.121	  4.100e-06 	  2.500e-05 	
         0.141	  3.770e-06 	  2.220e-05 	
         0.161	  4.080e-06 	  2.310e-05 	
         0.179	  4.420e-06 	  2.550e-05 	
         0.201	  3.850e-06 	  2.320e-05 	
         0.220	  4.230e-06 	  2.410e-05 	
         0.241	  4.240e-06 	  2.390e-05 	
         0.260	  3.990e-06 	  2.330e-05 	
         0.280	  4.120e-06 	  2.360e-05 	
         0.300	  4.200e-06 	  2.450e-05 	
         0.319	             	  2.310e-05 	
         0.320	  3.970e-06 	             	
         0.340	  4.490e-06 	  2.530e-05 	
         0.360	  4.290e-06 	  2.480e-05 	
         0.380	  4.770e-06 	  2.600e-05 	
         0.400	  4.230e-06 	  2.490e-05 	
         0.419	  4.370e-06 	  2.480e-05 	
         0.440	  4.620e-06 	  2.610e-05 	
         0.460	  4.650e-06 	  2.660e-05 	
         0.480	  4.410e-06 	  2.590e-05 	
         0.500	  4.680e-06 	  2.680e-05 	
         0.520	  4.230e-06 	  2.520e-05 	
         0.541	  4.840e-06 	  2.670e-05 	
         0.561	  3.330e-06 	  2.140e-05 	
         0.580	  4.340e-06 	  2.410e-05 	
         0.600	  4.720e-06 	  2.580e-05 	
         0.621	  3.900e-06 	  2.340e-05 	
         0.641	  4.080e-06 	  2.430e-05 	
         0.660	  4.530e-06 	  2.580e-05 	
         0.680	  3.780e-06 	  2.330e-05 	
         0.701	  4.630e-06 	  2.640e-05 	
         0.720	  4.290e-06 	  2.530e-05 	
         0.739	  4.680e-06 	  2.630e-05 	
         0.760	  4.370e-06 	  2.600e-05 	
         0.780	  4.470e-06 	  2.640e-05 	
         0.801	  4.130e-06 	  2.520e-05 	
         0.819	  4.300e-06 	  2.480e-05 	
         0.841	  3.920e-06 	  2.330e-05 	
         0.860	  4.360e-06 	  2.520e-05 	
         0.880	  3.830e-06 	  2.320e-05 	
         0.900	  4.240e-06 	  2.390e-05 	
         0.921	  4.090e-06 	  2.310e-05 	
         0.941	  3.940e-06 	  2.310e-05 	
         0.960	  4.340e-06 	  2.440e-05 	
         0.980	  4.110e-06 	  2.430e-05 	
