;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 11:43:59
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:119.0nJ             
;Max:1.798uJ             
;Average:995.2nJ             
;Std.Dev.:355.7nJ             
;Overrange:0                   
;Total Pulses:12484               

;Channel B:Statistics
;Min:240.0nJ             
;Max:10.05uJ             
;Average:5.757uJ             
;Std.Dev.:1.684uJ             
;Overrange:0                   
;Total Pulses:12551               
;--------------------


;First Pulse Arrived : 20/01/2023 at 11:44:02
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  1.384e-06 	  8.120e-06 	
         0.019	  9.920e-07 	  6.450e-06 	
         0.039	  1.000e-06 	  6.010e-06 	
         0.060	  1.274e-06 	             	
         0.061	             	  7.070e-06 	
         0.078	  1.068e-06 	  6.450e-06 	
         0.099	  1.485e-06 	  7.910e-06 	
         0.119	  7.270e-07 	  5.290e-06 	
         0.139	  4.760e-07 	  3.480e-06 	
         0.159	  3.490e-07 	             	
         0.162	             	  2.440e-06 	
         0.180	  1.275e-06 	  5.840e-06 	
         0.200	  1.045e-06 	  5.980e-06 	
         0.219	  4.240e-07 	  3.470e-06 	
         0.239	  1.095e-06 	  5.610e-06 	
         0.259	  9.040e-07 	             	
         0.262	             	  5.400e-06 	
         0.280	  9.080e-07 	  5.350e-06 	
         0.300	  3.110e-07 	  2.840e-06 	
         0.318	  8.930e-07 	  4.550e-06 	
         0.339	  1.124e-06 	  5.990e-06 	
         0.360	  5.370e-07 	             	
         0.362	             	  3.920e-06 	
         0.379	  1.025e-06 	  5.410e-06 	
         0.399	  1.000e-06 	  5.710e-06 	
         0.419	  1.013e-06 	  5.840e-06 	
         0.439	  9.680e-07 	  5.700e-06 	
         0.460	  3.870e-07 	             	
         0.462	             	  3.240e-06 	
         0.480	  2.210e-07 	  1.820e-06 	
         0.500	  1.041e-06 	  4.820e-06 	
         0.519	  3.830e-07 	  2.980e-06 	
         0.538	  1.521e-06 	  7.170e-06 	
         0.560	  6.390e-07 	             	
         0.562	             	  4.620e-06 	
         0.579	  1.193e-06 	  6.230e-06 	
         0.600	  1.201e-06 	  6.790e-06 	
         0.619	  7.920e-07 	  5.180e-06 	
         0.639	  1.144e-06 	  6.270e-06 	
         0.659	  4.320e-07 	             	
         0.662	             	  3.590e-06 	
         0.679	  8.190e-07 	  4.370e-06 	
         0.699	  1.234e-06 	  6.410e-06 	
         0.719	  1.119e-06 	  6.490e-06 	
         0.738	  9.430e-07 	  5.800e-06 	
         0.761	  1.403e-06 	  7.580e-06 	
         0.780	  4.110e-07 	  3.920e-06 	
         0.799	  1.311e-06 	  6.670e-06 	
         0.819	  1.118e-06 	  6.570e-06 	
         0.838	  4.220e-07 	  3.580e-06 	
         0.859	  1.208e-06 	             	
         0.862	             	  6.130e-06 	
         0.879	  1.344e-06 	  7.320e-06 	
         0.898	  1.325e-06 	  7.580e-06 	
         0.919	  8.770e-07 	  5.820e-06 	
         0.939	  1.524e-06 	  8.010e-06 	
         0.960	  1.393e-06 	             	
         0.962	             	  8.130e-06 	
         0.979	  1.324e-06 	  7.840e-06 	
         2.240	             	  6.800e-06 	
         2.242	  1.087e-06 	             	
         2.258	  1.432e-06 	             	
         2.261	             	  7.860e-06 	
         2.280	  9.690e-07 	  6.270e-06 	
         2.300	  1.561e-06 	  8.300e-06 	
         2.318	  1.676e-06 	  9.480e-06 	
         2.339	  1.333e-06 	  8.300e-06 	
         2.359	  1.194e-06 	             	
         2.363	             	  7.390e-06 	
         2.380	  8.590e-07 	  5.670e-06 	
         2.400	  1.301e-06 	  6.980e-06 	
         2.418	  7.220e-07 	  5.060e-06 	
         2.440	  1.175e-06 	  6.360e-06 	
         2.459	  6.870e-07 	             	
         2.460	             	  4.670e-06 	
         2.480	  1.380e-06 	  7.080e-06 	
         2.500	  1.384e-06 	  7.750e-06 	
         2.519	  6.440e-07 	  4.830e-06 	
         2.539	  1.457e-06 	  7.530e-06 	
         2.559	  1.046e-06 	             	
         2.560	             	  6.500e-06 	
         2.580	  3.040e-07 	  3.120e-06 	
         2.600	  1.047e-06 	  5.260e-06 	
         2.619	  1.255e-06 	  6.720e-06 	
         2.639	  6.980e-07 	  4.860e-06 	
         2.658	  1.363e-06 	             	
         2.660	             	  7.070e-06 	
         2.680	  1.078e-06 	  6.500e-06 	
         2.699	  9.810e-07 	  6.010e-06 	
         2.719	  1.047e-06 	  6.100e-06 	
         2.739	  1.059e-06 	  6.160e-06 	
         2.758	  7.290e-07 	             	
         2.760	             	  4.750e-06 	
         2.779	  1.159e-06 	  6.160e-06 	
         2.799	  9.920e-07 	  5.890e-06 	
         2.819	  1.134e-06 	  6.360e-06 	
         2.840	  1.313e-06 	  7.110e-06 	
         2.859	  1.458e-06 	             	
         2.861	             	  8.160e-06 	
         2.878	  8.710e-07 	  5.960e-06 	
         2.899	  5.140e-07 	  3.850e-06 	
         2.919	  1.347e-06 	  6.790e-06 	
         2.939	  1.542e-06 	  8.460e-06 	
         2.959	  9.680e-07 	             	
         2.962	             	  6.400e-06 	
         2.980	  8.770e-07 	  5.560e-06 	
         3.000	  1.002e-06 	  5.790e-06 	
         3.018	             	  7.170e-06 	
         3.020	  1.311e-06 	             	
         3.040	  7.800e-07 	  5.300e-06 	
         3.059	  1.444e-06 	             	
         3.062	             	  7.490e-06 	
         3.080	  1.207e-06 	  7.110e-06 	
         3.098	  1.389e-06 	  7.870e-06 	
         3.119	  1.005e-06 	  6.480e-06 	
         3.140	  1.025e-06 	  6.150e-06 	
         3.162	  1.319e-06 	  7.340e-06 	
         3.180	  1.290e-06 	  7.430e-06 	
         3.199	  1.548e-06 	  8.510e-06 	
         3.219	  7.670e-07 	  5.710e-06 	
         4.482	  1.120e-06 	  6.300e-06 	
         4.499	  1.347e-06 	  7.430e-06 	
         4.518	  6.460e-07 	  4.830e-06 	
         4.538	  5.100e-07 	  3.540e-06 	
         4.559	  1.353e-06 	             	
         4.561	             	  6.690e-06 	
         4.580	  1.462e-06 	  7.970e-06 	
         4.599	  1.379e-06 	  8.050e-06 	
         4.619	  1.159e-06 	             	
         4.621	             	  7.200e-06 	
         4.639	  1.187e-06 	  7.150e-06 	
         4.659	  9.440e-07 	             	
         4.661	             	  6.020e-06 	
         4.679	  1.281e-06 	  7.120e-06 	
         4.700	  1.120e-06 	  6.790e-06 	
         4.719	  1.272e-06 	  7.160e-06 	
         4.739	  1.502e-06 	  8.300e-06 	
         4.759	  1.502e-06 	             	
         4.761	             	  8.630e-06 	
         4.779	  1.436e-06 	  8.450e-06 	
         4.799	  1.317e-06 	  7.980e-06 	
         4.819	  1.561e-06 	  8.820e-06 	
         4.839	  1.586e-06 	  9.110e-06 	
         4.859	  1.550e-06 	             	
         4.861	             	  9.180e-06 	
         4.878	  1.301e-06 	  8.230e-06 	
         4.899	  1.512e-06 	  8.740e-06 	
         4.919	  1.600e-06 	  9.150e-06 	
         4.939	  1.208e-06 	  7.650e-06 	
         4.959	  1.410e-06 	             	
         4.961	             	  8.050e-06 	
         4.979	  1.303e-06 	  7.850e-06 	
         4.998	  1.040e-06 	  6.590e-06 	
         5.018	  1.351e-06 	  7.540e-06 	
         5.039	  1.458e-06 	  8.220e-06 	
         5.059	  1.585e-06 	             	
         5.061	             	  8.880e-06 	
         5.080	  1.063e-06 	  7.020e-06 	
         5.098	  1.314e-06 	  7.470e-06 	
         5.119	  8.270e-07 	  5.610e-06 	
         5.140	  1.335e-06 	  7.240e-06 	
         5.158	  1.407e-06 	             	
         5.161	             	  7.990e-06 	
         5.180	  9.640e-07 	  6.450e-06 	
         5.200	  9.340e-07 	  5.800e-06 	
         5.219	  1.321e-06 	  7.140e-06 	
         5.239	             	  2.670e-06 	
         5.259	  1.094e-06 	             	
         5.261	             	  5.400e-06 	
         5.280	  1.227e-06 	  6.700e-06 	
         5.299	             	  5.290e-06 	
         5.301	  8.090e-07 	             	
         5.319	  7.620e-07 	  4.700e-06 	
         5.338	  4.910e-07 	  3.410e-06 	
         5.359	  1.562e-06 	             	
         5.361	             	  7.510e-06 	
         5.380	  1.276e-06 	  7.480e-06 	
         5.400	  9.920e-07 	  6.290e-06 	
         5.419	  8.800e-07 	  5.490e-06 	
         5.439	  1.378e-06 	  7.320e-06 	
         5.459	  1.442e-06 	             	
         5.461	             	  8.200e-06 	
         6.742	  1.099e-06 	  6.980e-06 	
         6.758	  4.470e-07 	             	
         6.762	             	  3.900e-06 	
         6.780	  6.980e-07 	  4.010e-06 	
         6.799	  8.800e-07 	  4.870e-06 	
         6.819	  3.500e-07 	  2.830e-06 	
         6.838	  4.740e-07 	  2.790e-06 	
         6.859	  3.940e-07 	             	
         6.861	             	  2.420e-06 	
         6.880	  9.180e-07 	  4.580e-06 	
         6.899	  6.950e-07 	             	
         6.902	             	  4.200e-06 	
         6.919	  9.920e-07 	  5.350e-06 	
         6.939	  9.370e-07 	  5.420e-06 	
         6.959	  4.110e-07 	             	
         6.961	             	  3.270e-06 	
         6.979	  5.680e-07 	  3.300e-06 	
         7.000	  3.610e-07 	  2.460e-06 	
         7.018	  8.220e-07 	  4.140e-06 	
         7.039	  8.490e-07 	  4.710e-06 	
         7.058	  2.810e-07 	             	
         7.060	             	  2.500e-06 	
         7.078	  8.990e-07 	  4.430e-06 	
         7.100	  7.150e-07 	  4.210e-06 	
         7.118	  6.090e-07 	  3.760e-06 	
         7.140	  1.140e-06 	  5.930e-06 	
         7.159	  7.370e-07 	             	
         7.160	             	  4.780e-06 	
         7.178	  1.010e-06 	  5.680e-06 	
         7.200	  7.860e-07 	  4.960e-06 	
         7.219	  5.860e-07 	  3.810e-06 	
         7.239	  1.340e-06 	  6.720e-06 	
         7.260	  1.245e-06 	  7.210e-06 	
         7.280	  5.010e-07 	  4.170e-06 	
         7.300	  1.350e-06 	  6.790e-06 	
         7.319	  1.092e-06 	  6.530e-06 	
         7.340	  4.220e-07 	  3.600e-06 	
         7.359	  1.417e-06 	             	
         7.361	             	  6.950e-06 	
         7.380	  9.510e-07 	  5.960e-06 	
         7.400	  1.520e-06 	  7.960e-06 	
         7.419	  1.257e-06 	  7.430e-06 	
         7.439	  5.660e-07 	  4.490e-06 	
         7.460	  1.165e-06 	             	
         7.461	             	  6.210e-06 	
         7.480	  1.193e-06 	  6.760e-06 	
         7.500	  1.681e-06 	  8.800e-06 	
         7.518	  3.520e-07 	  4.000e-06 	
         7.539	  1.471e-06 	  7.340e-06 	
         7.561	  1.110e-06 	  6.840e-06 	
         7.578	  6.200e-07 	  4.550e-06 	
         7.600	  1.393e-06 	  7.100e-06 	
         7.619	  8.990e-07 	  5.790e-06 	
         7.639	  1.260e-06 	  7.030e-06 	
         7.660	  1.395e-06 	             	
         7.661	             	  7.810e-06 	
         7.680	  1.637e-06 	  9.010e-06 	
         7.699	  5.940e-07 	  5.060e-06 	
         7.718	  1.246e-06 	  6.740e-06 	
         9.102	  1.253e-06 	  7.230e-06 	
         9.119	  6.600e-07 	  4.810e-06 	
