;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 12:24:28
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:525.0nJ             
;Max:1.521uJ             
;Average:1.035uJ             
;Std.Dev.:147.0nJ             
;Overrange:0                   
;Total Pulses:12550               

;Channel B:Statistics
;Min:3.360uJ             
;Max:7.940uJ             
;Average:5.799uJ             
;Std.Dev.:650.2nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 12:24:33
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  1.003e-06 	  5.740e-06 	
         0.020	  6.870e-07 	  4.360e-06 	
         0.039	  1.268e-06 	  6.330e-06 	
         0.058	  1.123e-06 	  6.330e-06 	
         0.078	  1.116e-06 	  6.280e-06 	
         0.099	  1.028e-06 	  5.920e-06 	
         0.120	  8.580e-07 	  5.170e-06 	
         0.139	  9.700e-07 	  5.350e-06 	
         0.160	  1.241e-06 	             	
         0.162	             	  6.550e-06 	
         0.179	  1.028e-06 	  5.990e-06 	
         0.199	  1.152e-06 	  6.320e-06 	
         0.219	  1.161e-06 	  6.470e-06 	
         0.239	  8.800e-07 	  5.390e-06 	
         0.262	  1.202e-06 	  6.420e-06 	
         0.279	  1.191e-06 	  6.620e-06 	
         0.299	  1.260e-06 	  6.970e-06 	
         0.320	  1.050e-06 	             	
         0.321	             	  6.210e-06 	
         0.339	  9.770e-07 	  5.690e-06 	
         0.359	  8.870e-07 	             	
         0.362	             	  5.260e-06 	
         0.380	  1.200e-06 	  6.360e-06 	
         0.399	  1.012e-06 	  5.870e-06 	
         0.419	  1.227e-06 	  6.640e-06 	
         0.439	  9.580e-07 	  5.740e-06 	
         0.460	  9.850e-07 	             	
         0.462	             	  5.620e-06 	
         0.480	  8.370e-07 	  4.960e-06 	
         0.499	  1.054e-06 	  5.710e-06 	
         0.519	  1.216e-06 	  6.560e-06 	
         0.539	  1.261e-06 	  7.000e-06 	
         0.560	  9.200e-07 	             	
         0.562	             	  5.730e-06 	
         0.580	  9.400e-07 	  5.450e-06 	
         0.599	  9.130e-07 	  5.240e-06 	
         0.619	  1.056e-06 	  5.760e-06 	
         0.639	  1.111e-06 	  6.120e-06 	
         0.659	  1.130e-06 	  6.270e-06 	
         0.680	  1.225e-06 	  6.640e-06 	
         0.698	  1.068e-06 	  6.210e-06 	
         0.720	  7.510e-07 	  4.790e-06 	
         0.739	  1.087e-06 	  5.720e-06 	
         0.759	             	  4.560e-06 	
         0.761	  7.240e-07 	             	
         0.780	  8.850e-07 	  4.900e-06 	
         0.799	  1.111e-06 	  5.890e-06 	
         0.819	  1.080e-06 	  6.060e-06 	
         0.839	  1.205e-06 	  6.630e-06 	
         0.860	  9.560e-07 	             	
         0.862	             	  5.740e-06 	
         0.880	  9.250e-07 	  5.350e-06 	
         0.899	  8.750e-07 	  5.090e-06 	
         0.919	  8.350e-07 	  4.840e-06 	
         0.939	  9.540e-07 	  5.170e-06 	
         0.959	  9.130e-07 	  5.160e-06 	
         0.979	  9.610e-07 	  5.300e-06 	
         2.259	  1.255e-06 	  6.610e-06 	
         2.279	  1.225e-06 	  6.810e-06 	
         2.299	  1.109e-06 	  6.420e-06 	
         2.319	  7.360e-07 	  4.780e-06 	
         2.339	  9.650e-07 	  5.280e-06 	
         2.359	  1.078e-06 	  5.870e-06 	
         2.379	  8.560e-07 	  5.120e-06 	
         2.399	  9.600e-07 	  5.370e-06 	
         2.420	  9.430e-07 	  5.330e-06 	
         2.439	  9.330e-07 	  5.300e-06 	
         2.460	  1.007e-06 	  5.540e-06 	
         2.478	             	  6.040e-06 	
         2.479	  1.113e-06 	             	
         2.500	  1.110e-06 	  6.260e-06 	
         2.520	  7.370e-07 	  4.730e-06 	
         2.539	  9.930e-07 	  5.370e-06 	
         2.560	  1.177e-06 	  6.330e-06 	
         2.579	  1.006e-06 	  5.900e-06 	
         2.599	  1.084e-06 	  6.080e-06 	
         2.619	             	  6.540e-06 	
         2.622	  1.196e-06 	             	
         2.639	  9.030e-07 	  5.480e-06 	
         2.659	  1.029e-06 	  5.690e-06 	
         2.679	  1.077e-06 	  5.950e-06 	
         2.699	  1.104e-06 	  6.120e-06 	
         2.719	  1.197e-06 	  6.540e-06 	
         2.739	  8.080e-07 	  5.140e-06 	
         2.760	  1.098e-06 	  5.830e-06 	
         2.779	  1.118e-06 	  6.180e-06 	
         2.799	  7.840e-07 	  4.960e-06 	
         2.820	  1.103e-06 	  5.890e-06 	
         2.839	  1.212e-06 	  6.550e-06 	
         2.859	  1.115e-06 	  6.420e-06 	
         2.879	  8.570e-07 	  5.310e-06 	
         2.900	  1.137e-06 	  6.070e-06 	
         2.919	  8.580e-07 	  5.240e-06 	
         2.939	  7.220e-07 	  4.390e-06 	
         2.960	  1.053e-06 	  5.480e-06 	
         2.978	  1.095e-06 	  5.950e-06 	
         3.000	  1.005e-06 	  5.710e-06 	
         3.020	  1.045e-06 	  5.780e-06 	
         3.039	  1.088e-06 	  6.000e-06 	
         3.059	  8.330e-07 	             	
         3.060	             	  5.040e-06 	
         3.079	  1.098e-06 	             	
         3.081	             	  5.850e-06 	
         3.100	  1.049e-06 	  5.880e-06 	
         3.120	  1.313e-06 	  6.960e-06 	
         3.139	  1.124e-06 	  6.520e-06 	
         3.159	  1.314e-06 	  7.130e-06 	
         3.179	  1.269e-06 	  7.080e-06 	
         3.200	  1.282e-06 	  7.130e-06 	
         3.220	  1.174e-06 	  6.770e-06 	
         3.239	  1.020e-06 	  6.040e-06 	
         4.501	  1.040e-06 	             	
         4.503	             	  5.920e-06 	
         4.518	  1.046e-06 	  5.900e-06 	
         4.538	  1.122e-06 	  6.220e-06 	
         4.558	  1.046e-06 	  5.980e-06 	
         4.578	  1.046e-06 	  5.940e-06 	
         4.598	  1.000e-06 	  5.700e-06 	
         4.618	  1.003e-06 	  5.650e-06 	
         4.639	  1.162e-06 	  6.320e-06 	
         4.659	  1.075e-06 	  6.130e-06 	
         4.679	  1.085e-06 	  6.060e-06 	
         4.700	  1.077e-06 	  6.070e-06 	
         4.719	  8.500e-07 	  5.170e-06 	
         4.739	  1.141e-06 	  6.080e-06 	
         4.759	  1.186e-06 	  6.560e-06 	
         4.778	  1.073e-06 	  6.220e-06 	
         4.800	  1.161e-06 	  6.480e-06 	
