;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 14:57:25
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:2.040uJ             
;Max:6.210uJ             
;Average:3.977uJ             
;Std.Dev.:624.1nJ             
;Overrange:0                   
;Total Pulses:6848                
;--------------------


;First Pulse Arrived : 20/01/2023 at 14:57:37
  Timestamp   	  Channel A  	
         0.000	  4.250e-06 	
         0.022	  5.040e-06 	
         0.041	  4.660e-06 	
         0.061	  4.760e-06 	
         0.081	  3.880e-06 	
         0.101	  3.560e-06 	
         0.121	  4.510e-06 	
         0.141	  5.250e-06 	
         0.161	  3.250e-06 	
         0.181	  4.340e-06 	
         0.201	  5.170e-06 	
         0.221	  3.530e-06 	
         0.241	  5.110e-06 	
         0.262	  4.410e-06 	
         0.281	  3.310e-06 	
         0.300	  4.830e-06 	
         0.320	  2.930e-06 	
         0.340	  3.680e-06 	
         0.362	  5.600e-06 	
         0.381	  4.760e-06 	
         0.401	  4.440e-06 	
         0.421	  4.820e-06 	
         0.441	  4.220e-06 	
         0.461	  5.350e-06 	
         0.481	  3.530e-06 	
         0.502	  3.560e-06 	
         0.522	  4.580e-06 	
         0.541	  5.150e-06 	
         0.561	  4.270e-06 	
         0.581	  3.370e-06 	
         0.601	  4.240e-06 	
         0.622	  3.440e-06 	
         0.641	  3.750e-06 	
         0.662	  4.030e-06 	
         0.681	  4.220e-06 	
         0.701	  3.500e-06 	
         0.722	  3.850e-06 	
         0.741	  4.660e-06 	
         0.762	  3.620e-06 	
         0.781	  4.130e-06 	
         0.802	  4.980e-06 	
         0.821	  3.820e-06 	
         0.841	  5.680e-06 	
         0.862	  3.390e-06 	
         0.881	  3.410e-06 	
         0.901	  4.840e-06 	
         0.922	  4.400e-06 	
         0.943	  4.380e-06 	
         0.962	  3.490e-06 	
         0.981	  4.260e-06 	
         1.001	  4.660e-06 	
         1.022	  3.110e-06 	
         1.041	  4.130e-06 	
         1.062	  4.810e-06 	
         1.081	  3.330e-06 	
         1.102	  3.920e-06 	
