;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 15:04:13
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:2.030uJ             
;Max:7.100uJ             
;Average:3.808uJ             
;Std.Dev.:624.5nJ             
;Overrange:0                   
;Total Pulses:11972               
;--------------------


;First Pulse Arrived : 20/01/2023 at 15:10:45
  Timestamp   	  Channel A  	
         0.000	  3.300e-06 	
         0.019	  4.130e-06 	
         0.039	  4.460e-06 	
         0.060	  4.120e-06 	
         0.080	  5.180e-06 	
         0.100	  3.640e-06 	
         0.119	  4.240e-06 	
         0.139	  3.820e-06 	
         0.161	  4.170e-06 	
         0.179	  3.490e-06 	
         0.198	  3.260e-06 	
         0.219	  3.350e-06 	
         0.239	  4.800e-06 	
         0.261	  3.130e-06 	
         0.280	  4.390e-06 	
         0.300	  3.990e-06 	
         0.319	  3.300e-06 	
         0.339	  4.720e-06 	
         0.360	  4.330e-06 	
         0.379	  4.810e-06 	
         0.399	  3.770e-06 	
         0.420	  3.300e-06 	
         0.439	  3.880e-06 	
         0.459	  3.950e-06 	
         0.479	  5.360e-06 	
         0.500	  3.380e-06 	
         0.520	  4.880e-06 	
         0.540	  4.110e-06 	
         0.561	  4.790e-06 	
         0.581	  2.820e-06 	
         0.601	  3.380e-06 	
         0.620	  3.670e-06 	
         0.640	  3.070e-06 	
         0.660	  3.770e-06 	
         0.679	  4.830e-06 	
         0.700	  3.540e-06 	
         0.719	  3.900e-06 	
         0.741	  3.100e-06 	
         0.761	  3.550e-06 	
