;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 15:32:29
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel A:Statistics
;Min:2.100uJ             
;Max:6.610uJ             
;Average:3.851uJ             
;Std.Dev.:597.7nJ             
;Overrange:0                   
;Total Pulses:4391                
;--------------------


;First Pulse Arrived : 20/01/2023 at 15:32:59
  Timestamp   	  Channel A  	
         0.000	  4.170e-06 	
         0.020	  4.600e-06 	
         0.043	  4.170e-06 	
         0.060	  4.230e-06 	
         0.081	  6.000e-06 	
         0.100	  4.510e-06 	
         0.120	  4.260e-06 	
         0.142	  5.000e-06 	
         0.161	  4.080e-06 	
         0.180	  4.110e-06 	
         0.200	  4.740e-06 	
         0.220	  4.610e-06 	
         0.241	  3.240e-06 	
         0.261	  5.570e-06 	
         0.280	  4.590e-06 	
         0.299	  3.440e-06 	
         0.321	  3.180e-06 	
         0.342	  3.690e-06 	
         0.360	  5.140e-06 	
         0.379	  5.190e-06 	
         0.399	  4.980e-06 	
         0.420	  2.840e-06 	
         0.441	  4.120e-06 	
         0.461	  5.600e-06 	
         0.480	  3.820e-06 	
         0.500	  4.830e-06 	
         0.520	  5.120e-06 	
         0.542	  3.960e-06 	
         0.560	  4.410e-06 	
         0.583	  3.610e-06 	
         0.600	  4.600e-06 	
         0.620	  5.020e-06 	
         0.641	  3.990e-06 	
         0.660	  4.480e-06 	
         0.680	  4.760e-06 	
         0.700	  3.670e-06 	
         0.721	  4.870e-06 	
         0.742	  4.130e-06 	
         0.761	  4.150e-06 	
         0.780	  4.370e-06 	
         0.799	  3.850e-06 	
         0.824	  4.980e-06 	
         0.842	  3.400e-06 	
         0.860	  3.910e-06 	
         0.880	  3.750e-06 	
         0.900	  4.910e-06 	
         0.921	  3.960e-06 	
         0.942	  4.420e-06 	
         0.961	  5.100e-06 	
         0.980	  4.060e-06 	
         1.000	  5.550e-06 	
         1.021	  5.390e-06 	
         1.041	  4.180e-06 	
         1.060	  4.900e-06 	
         1.079	  4.120e-06 	
         1.099	  3.990e-06 	
         1.121	  4.260e-06 	
         1.141	  4.680e-06 	
         1.161	  4.300e-06 	
         1.180	  4.080e-06 	
         1.199	  4.260e-06 	
         1.220	  3.670e-06 	
         1.242	  4.120e-06 	
         1.261	  5.620e-06 	
         1.280	  4.480e-06 	
         1.300	  3.690e-06 	
         1.321	  4.090e-06 	
         1.342	  3.260e-06 	
         1.360	  3.210e-06 	
         1.382	  3.530e-06 	
         1.399	  4.380e-06 	
         1.420	  3.230e-06 	
         1.443	  4.510e-06 	
         1.461	  4.630e-06 	
         1.482	  3.840e-06 	
         1.500	  3.370e-06 	
         1.520	  3.980e-06 	
         1.542	  3.400e-06 	
         1.561	  3.260e-06 	
         1.580	  3.760e-06 	
         1.600	  5.080e-06 	
         1.620	  3.740e-06 	
         1.642	  3.170e-06 	
         1.661	  4.240e-06 	
         1.681	  3.240e-06 	
         1.699	  3.590e-06 	
         1.721	  3.400e-06 	
         1.742	  3.200e-06 	
         1.761	  3.800e-06 	
         1.781	  3.000e-06 	
         1.800	  4.670e-06 	
         1.820	  3.890e-06 	
         1.842	  3.750e-06 	
         1.861	  3.170e-06 	
         1.881	  4.040e-06 	
         1.900	  3.200e-06 	
         1.921	  4.390e-06 	
         1.942	  2.810e-06 	
         1.962	  3.570e-06 	
         1.980	  3.640e-06 	
         2.000	  3.610e-06 	
         2.021	  3.460e-06 	
         2.042	  4.100e-06 	
         2.061	  3.700e-06 	
         2.080	  3.550e-06 	
         2.099	  3.320e-06 	
         2.121	  3.780e-06 	
         2.142	  3.260e-06 	
         2.159	  3.110e-06 	
         2.181	  4.320e-06 	
         2.200	  4.750e-06 	
         2.220	  4.670e-06 	
         2.242	  3.540e-06 	
         2.261	  4.450e-06 	
         2.281	  4.100e-06 	
         2.300	  4.970e-06 	
         2.320	  4.510e-06 	
         2.342	  3.760e-06 	
         2.361	  3.330e-06 	
         2.381	  4.630e-06 	
         2.400	  2.860e-06 	
         2.421	  4.390e-06 	
         2.442	  3.380e-06 	
         2.461	  4.340e-06 	
         2.481	  2.810e-06 	
         2.500	  4.010e-06 	
         2.520	  5.040e-06 	
         2.542	  5.080e-06 	
         2.560	  3.180e-06 	
         2.581	  4.080e-06 	
         2.599	  3.270e-06 	
         2.620	  4.080e-06 	
         2.643	  5.070e-06 	
         2.661	  3.600e-06 	
         2.681	  3.330e-06 	
         2.700	  4.590e-06 	
         2.719	  3.640e-06 	
         2.742	  4.910e-06 	
         2.761	  3.130e-06 	
         2.781	  4.940e-06 	
         2.800	  3.590e-06 	
         2.820	  3.870e-06 	
         2.842	  3.130e-06 	
         2.861	  4.530e-06 	
         2.881	  4.120e-06 	
         2.900	  4.400e-06 	
         2.921	  3.370e-06 	
         2.942	  2.890e-06 	
         2.961	  3.520e-06 	
         2.980	  4.010e-06 	
         3.000	  3.240e-06 	
         3.021	  3.420e-06 	
         3.042	  4.960e-06 	
         3.061	  3.330e-06 	
         3.081	  3.530e-06 	
         3.100	  4.260e-06 	
         3.120	  4.730e-06 	
         3.142	  3.970e-06 	
         3.160	  3.210e-06 	
         3.180	  4.040e-06 	
         3.200	  4.390e-06 	
         3.221	  4.860e-06 	
         3.242	  3.250e-06 	
         3.260	  4.420e-06 	
         3.281	  4.320e-06 	
         3.299	  3.530e-06 	
         3.321	  3.350e-06 	
         3.342	  3.560e-06 	
         3.360	  4.150e-06 	
         3.381	  3.780e-06 	
         3.400	  3.740e-06 	
         3.420	  4.980e-06 	
         3.442	  4.420e-06 	
         3.460	  4.930e-06 	
         3.480	  4.550e-06 	
         3.500	  5.570e-06 	
         3.520	  3.170e-06 	
         3.543	  3.910e-06 	
         3.560	  4.950e-06 	
         3.581	  3.110e-06 	
         3.600	  4.540e-06 	
         3.620	  3.460e-06 	
         3.643	  3.800e-06 	
         3.660	  5.170e-06 	
         3.681	  3.470e-06 	
         3.699	  3.190e-06 	
         3.720	  3.460e-06 	
         3.741	  3.270e-06 	
         3.761	  4.010e-06 	
         3.781	  3.330e-06 	
         3.800	  3.550e-06 	
         3.820	  3.540e-06 	
         3.842	  3.800e-06 	
         3.860	  3.910e-06 	
         3.881	  4.980e-06 	
         3.900	  4.580e-06 	
         3.921	  3.710e-06 	
         3.943	  4.110e-06 	
         3.960	  5.140e-06 	
         3.981	  4.930e-06 	
         4.000	  4.530e-06 	
         4.021	  3.060e-06 	
         4.042	  3.800e-06 	
         4.061	  3.260e-06 	
         4.081	  4.080e-06 	
         4.100	  3.570e-06 	
         4.120	  3.560e-06 	
         4.141	  3.780e-06 	
         4.161	  4.670e-06 	
         4.181	  4.450e-06 	
         4.200	  3.250e-06 	
         4.220	  3.870e-06 	
         4.241	  3.300e-06 	
         4.260	  3.350e-06 	
         4.281	  4.290e-06 	
         4.300	  3.870e-06 	
         4.321	  3.540e-06 	
         4.340	  5.000e-06 	
         4.361	  2.760e-06 	
         4.381	  3.300e-06 	
         4.400	  5.150e-06 	
         4.420	  3.670e-06 	
         4.441	  3.810e-06 	
         4.461	  4.580e-06 	
         4.481	  3.780e-06 	
         4.499	  3.040e-06 	
         4.520	  4.910e-06 	
         4.541	  4.960e-06 	
         4.560	  3.970e-06 	
         4.580	  4.340e-06 	
         4.600	  5.610e-06 	
         4.620	  4.320e-06 	
         4.640	  3.170e-06 	
         4.659	  4.490e-06 	
         4.681	  3.890e-06 	
         4.700	  3.410e-06 	
         4.721	  3.450e-06 	
         4.740	  3.700e-06 	
         4.760	  4.420e-06 	
         4.780	  3.240e-06 	
         4.799	  3.680e-06 	
         4.821	  3.180e-06 	
         4.840	  2.930e-06 	
         4.860	  4.890e-06 	
         4.881	  5.120e-06 	
         4.900	  3.620e-06 	
         4.921	  3.640e-06 	
         4.941	  3.340e-06 	
         4.960	  3.470e-06 	
         4.980	  2.470e-06 	
         5.000	  3.680e-06 	
         5.021	  3.910e-06 	
         5.040	  3.380e-06 	
         5.060	  4.220e-06 	
         5.080	  4.170e-06 	
         5.100	  3.320e-06 	
         5.121	  4.820e-06 	
         5.140	  3.570e-06 	
         5.160	  4.040e-06 	
         5.181	  5.260e-06 	
         5.200	  3.710e-06 	
         5.221	  3.130e-06 	
         5.241	  3.980e-06 	
         5.260	  4.230e-06 	
         5.280	  3.920e-06 	
         5.300	  3.470e-06 	
         5.320	  3.780e-06 	
         5.343	  3.920e-06 	
         5.359	  3.780e-06 	
         5.381	  3.270e-06 	
         5.400	  3.670e-06 	
         5.420	  3.250e-06 	
         5.440	  4.960e-06 	
         5.460	  2.960e-06 	
         5.480	  4.290e-06 	
         5.500	  4.160e-06 	
         5.520	  4.250e-06 	
         5.541	  3.350e-06 	
         5.560	  3.890e-06 	
         5.581	  3.460e-06 	
         5.600	  3.380e-06 	
         5.621	  3.200e-06 	
         5.640	  4.160e-06 	
         5.660	  3.530e-06 	
         5.681	  4.720e-06 	
         5.700	  3.380e-06 	
         5.719	  3.550e-06 	
         5.740	  3.570e-06 	
         5.760	  3.320e-06 	
         5.781	  3.410e-06 	
         5.800	  3.270e-06 	
         5.821	  3.820e-06 	
         5.841	  5.410e-06 	
         5.860	  5.170e-06 	
         5.881	  3.170e-06 	
         5.900	  4.980e-06 	
         5.921	  3.480e-06 	
         5.941	  4.090e-06 	
         5.960	  3.550e-06 	
         5.981	  3.600e-06 	
         6.000	  3.070e-06 	
         6.021	  3.110e-06 	
         6.041	  3.460e-06 	
         6.060	  3.850e-06 	
         6.081	  3.810e-06 	
         6.100	  3.950e-06 	
         6.120	  4.270e-06 	
         6.141	  3.550e-06 	
         6.160	  3.900e-06 	
         6.181	  3.460e-06 	
         6.200	  3.280e-06 	
         6.221	  4.360e-06 	
         6.241	  4.370e-06 	
         6.260	  3.170e-06 	
         6.280	  3.670e-06 	
         6.300	  3.540e-06 	
         6.321	  3.800e-06 	
         6.341	  4.470e-06 	
         6.360	  3.450e-06 	
         6.381	  3.980e-06 	
         6.400	  4.470e-06 	
         6.420	  3.910e-06 	
         6.441	  3.700e-06 	
         6.460	  4.010e-06 	
