;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:04/08/2022 at 18:05:11
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:960.0nJ             
;Max:7.050uJ             
;Average:3.965uJ             
;Std.Dev.:1.011uJ             
;Overrange:0                   
;Total Pulses:2705                
;--------------------


;First Pulse Arrived : 04/08/2022 at 18:05:11
  Timestamp   	  Channel A  	
         0.000	  1.540e-06 	
         0.020	  1.900e-06 	
         0.040	  1.790e-06 	
         0.060	  1.810e-06 	
         0.081	  1.880e-06 	
         0.102	  1.790e-06 	
         0.122	  1.500e-06 	
         0.140	  2.180e-06 	
         0.160	  2.090e-06 	
         0.180	  2.580e-06 	
         0.201	  2.070e-06 	
         0.221	  1.780e-06 	
         0.240	  1.750e-06 	
         0.261	  2.240e-06 	
         0.281	  1.600e-06 	
         0.302	  2.390e-06 	
         0.321	  2.440e-06 	
         0.340	  2.360e-06 	
         0.361	  1.110e-06 	
         0.382	  2.350e-06 	
         0.401	  2.150e-06 	
         0.421	  2.400e-06 	
         0.440	  2.760e-06 	
         0.460	  1.750e-06 	
         0.481	  2.090e-06 	
         0.501	  2.780e-06 	
         0.520	  2.850e-06 	
         0.540	  2.460e-06 	
         0.559	  1.980e-06 	
         0.601	  1.660e-06 	
         0.621	  1.710e-06 	
         0.640	  1.490e-06 	
         0.660	  1.730e-06 	
         0.680	  1.500e-06 	
         0.702	  1.300e-06 	
         0.721	  1.750e-06 	
         0.740	  2.120e-06 	
         0.761	  1.390e-06 	
         0.781	  1.310e-06 	
         0.801	  1.050e-06 	
         0.820	  1.470e-06 	
         0.840	  1.160e-06 	
         0.861	  1.760e-06 	
         0.880	  1.360e-06 	
         0.901	  1.930e-06 	
         0.921	  1.900e-06 	
         0.940	  1.620e-06 	
         0.960	  1.430e-06 	
         0.981	  1.150e-06 	
         1.000	  1.460e-06 	
         1.021	  2.540e-06 	
         1.039	  2.280e-06 	
         1.060	  1.530e-06 	
         1.080	  1.000e-06 	
         1.101	  1.700e-06 	
         1.121	  9.700e-07 	
         1.140	  1.850e-06 	
         1.160	  2.230e-06 	
         1.181	  2.020e-06 	
         1.201	  1.190e-06 	
         1.220	  1.030e-06 	
         1.240	  2.030e-06 	
         1.261	  1.890e-06 	
         1.280	  9.600e-07 	
         1.302	  1.840e-06 	
         1.319	  2.290e-06 	
         1.340	  1.820e-06 	
         1.361	  1.450e-06 	
         1.381	  1.660e-06 	
         1.400	  1.280e-06 	
         1.421	  2.130e-06 	
         1.440	  1.990e-06 	
         1.460	  1.880e-06 	
         1.481	  2.140e-06 	
         1.503	  1.920e-06 	
         1.525	  1.350e-06 	
         1.540	  2.020e-06 	
         1.560	  2.090e-06 	
         1.581	  2.820e-06 	
         1.602	  1.900e-06 	
         1.621	  2.370e-06 	
         1.640	  1.170e-06 	
         1.661	  2.200e-06 	
         1.680	  2.750e-06 	
         1.701	  1.840e-06 	
         1.721	  2.500e-06 	
         1.740	  2.520e-06 	
         1.761	  1.670e-06 	
         1.781	  2.250e-06 	
         1.802	  2.460e-06 	
         1.821	  2.160e-06 	
         1.840	  2.250e-06 	
         1.860	  2.570e-06 	
         1.880	  2.980e-06 	
         1.901	  3.170e-06 	
         1.920	  2.670e-06 	
         1.940	  2.290e-06 	
         1.960	  1.810e-06 	
         1.980	  2.650e-06 	
         2.002	  2.430e-06 	
         2.020	  2.660e-06 	
         2.040	  2.950e-06 	
         2.062	  3.070e-06 	
         2.081	  2.840e-06 	
         2.101	  2.200e-06 	
         2.120	  2.280e-06 	
         2.141	  2.620e-06 	
         2.160	  1.880e-06 	
         2.180	  2.470e-06 	
         2.201	  3.120e-06 	
         2.220	  2.520e-06 	
         2.240	  1.540e-06 	
         2.260	  2.320e-06 	
         2.281	  1.470e-06 	
         2.301	  2.070e-06 	
         2.320	  2.030e-06 	
         2.340	  2.600e-06 	
         2.361	  2.410e-06 	
         2.381	  2.070e-06 	
         2.400	  1.860e-06 	
         2.420	  2.230e-06 	
         2.441	  2.470e-06 	
         2.462	  2.370e-06 	
         2.480	  1.430e-06 	
         2.502	  1.190e-06 	
         2.520	  1.900e-06 	
         2.540	  1.540e-06 	
         2.560	  2.120e-06 	
         2.580	  2.260e-06 	
         2.600	  2.000e-06 	
         2.620	  2.240e-06 	
         2.646	  1.680e-06 	
         2.661	  2.470e-06 	
         2.681	  2.180e-06 	
         2.700	  1.700e-06 	
         2.720	  2.050e-06 	
         2.740	  2.040e-06 	
         2.761	  1.580e-06 	
         2.780	  1.200e-06 	
         2.800	  2.140e-06 	
         2.820	  3.140e-06 	
         2.840	  2.000e-06 	
         2.861	  1.310e-06 	
         2.880	  1.550e-06 	
         2.902	  1.710e-06 	
         2.921	  1.780e-06 	
         2.940	  2.170e-06 	
         2.960	  2.480e-06 	
         2.981	  2.140e-06 	
         3.002	  2.300e-06 	
         3.021	  2.310e-06 	
         3.040	  2.430e-06 	
