;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:04/08/2022 at 17:11:04
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:8.200uJ             
;Max:14.70uJ             
;Average:11.36uJ             
;Std.Dev.:1.086uJ             
;Overrange:0                   
;Total Pulses:1600                
;--------------------


;First Pulse Arrived : 04/08/2022 at 17:11:16
  Timestamp   	  Channel A  	
         0.000	  1.010e-05 	
         0.020	  1.050e-05 	
         0.038	  9.800e-06 	
         0.058	  9.400e-06 	
         0.079	  1.270e-05 	
         0.098	  1.000e-05 	
         0.120	  1.180e-05 	
         0.138	  1.110e-05 	
         0.158	  1.070e-05 	
         0.179	  1.030e-05 	
         0.200	  1.060e-05 	
         0.219	  1.100e-05 	
         0.239	  1.160e-05 	
         0.259	  1.320e-05 	
         0.279	  1.330e-05 	
         0.299	  1.170e-05 	
         0.320	  1.110e-05 	
         0.339	  1.090e-05 	
         0.359	  1.160e-05 	
         0.378	  1.200e-05 	
         0.398	  1.120e-05 	
         0.420	  1.220e-05 	
         0.439	  1.310e-05 	
         0.459	  1.370e-05 	
         0.478	  1.200e-05 	
         0.498	  1.110e-05 	
         0.519	  9.800e-06 	
         0.538	  9.600e-06 	
         0.558	  1.180e-05 	
         0.578	  1.270e-05 	
         0.600	  1.390e-05 	
         0.618	  1.200e-05 	
         0.639	  1.030e-05 	
         0.659	  1.310e-05 	
         0.678	  1.330e-05 	
         0.698	  1.140e-05 	
         0.720	  1.150e-05 	
         0.738	  1.010e-05 	
         0.759	  1.010e-05 	
         0.778	  1.170e-05 	
         0.799	  1.180e-05 	
         0.820	  1.220e-05 	
         0.838	  1.120e-05 	
         0.859	  9.300e-06 	
         0.879	  9.600e-06 	
         0.899	  9.800e-06 	
         0.920	  1.160e-05 	
         0.939	  1.110e-05 	
         0.959	  1.080e-05 	
         0.978	  1.140e-05 	
         2.261	  1.010e-05 	
         2.278	  1.140e-05 	
         2.299	  1.140e-05 	
         2.320	  1.070e-05 	
         2.339	  1.270e-05 	
         2.360	  1.190e-05 	
         2.378	  1.160e-05 	
         2.400	  1.240e-05 	
         2.420	  1.270e-05 	
         2.440	  1.070e-05 	
         2.459	  1.000e-05 	
         2.478	  9.900e-06 	
         2.499	  1.180e-05 	
         2.520	  1.170e-05 	
         2.539	  1.140e-05 	
         2.559	  1.180e-05 	
         2.578	  1.320e-05 	
         2.599	  1.030e-05 	
         2.620	  9.400e-06 	
         2.639	  9.300e-06 	
         2.659	  1.120e-05 	
         2.678	  1.110e-05 	
         2.700	  8.900e-06 	
         2.720	  8.200e-06 	
         2.739	  1.090e-05 	
         2.759	  1.180e-05 	
         2.779	  9.500e-06 	
         2.798	  9.600e-06 	
         2.820	  1.110e-05 	
         2.840	  1.160e-05 	
         2.858	  1.090e-05 	
         2.879	  1.160e-05 	
         2.900	  9.200e-06 	
         2.920	  1.010e-05 	
         2.940	  1.110e-05 	
         2.959	  1.160e-05 	
         2.978	  1.090e-05 	
         3.000	  1.140e-05 	
         3.020	  1.190e-05 	
         3.040	  1.060e-05 	
         3.059	  1.160e-05 	
         3.078	  9.800e-06 	
         3.100	  1.020e-05 	
         3.119	  9.500e-06 	
         3.139	  1.240e-05 	
         3.160	  1.170e-05 	
         3.178	  1.160e-05 	
         3.200	  1.180e-05 	
         3.220	  1.220e-05 	
         3.239	  1.180e-05 	
         4.502	  1.060e-05 	
         4.519	  1.020e-05 	
         4.540	  9.900e-06 	
         4.559	  1.030e-05 	
         4.579	  1.120e-05 	
         4.600	  1.060e-05 	
         4.618	  1.150e-05 	
         4.639	  1.270e-05 	
         4.660	  1.070e-05 	
         4.679	  1.210e-05 	
         4.700	  1.180e-05 	
         4.718	  1.310e-05 	
         4.740	  1.290e-05 	
         4.759	  1.250e-05 	
         4.778	  1.140e-05 	
         4.799	  1.130e-05 	
         4.818	  1.140e-05 	
         4.840	  1.200e-05 	
         4.860	  1.340e-05 	
         4.878	  1.260e-05 	
         4.899	  1.130e-05 	
         4.918	  9.400e-06 	
         4.939	  1.080e-05 	
         4.959	  9.300e-06 	
         4.980	  1.060e-05 	
         5.000	  9.100e-06 	
         5.019	  9.800e-06 	
         5.040	  9.600e-06 	
         5.060	  1.090e-05 	
         5.078	  1.000e-05 	
         5.100	  1.160e-05 	
         5.119	  1.020e-05 	
         5.140	  1.180e-05 	
         5.160	  1.030e-05 	
         5.178	  1.230e-05 	
         5.199	  1.200e-05 	
         5.218	  1.050e-05 	
         5.239	  1.140e-05 	
         5.259	  1.160e-05 	
         5.279	  1.190e-05 	
         5.300	  1.020e-05 	
         5.318	  9.600e-06 	
         5.340	  1.070e-05 	
         5.359	  9.500e-06 	
         5.379	  1.050e-05 	
         5.399	  1.020e-05 	
         5.419	  1.160e-05 	
         5.438	  1.090e-05 	
         5.459	  1.080e-05 	
         5.479	  1.220e-05 	
         6.742	  1.290e-05 	
         6.758	  1.330e-05 	
         6.779	  1.310e-05 	
         6.798	  1.340e-05 	
         6.820	  1.010e-05 	
         6.840	  1.080e-05 	
         6.859	  1.000e-05 	
         6.878	  1.090e-05 	
         6.899	  1.150e-05 	
         6.919	  1.240e-05 	
         6.940	  1.080e-05 	
         6.958	  1.240e-05 	
         6.978	  9.900e-06 	
         7.000	  9.300e-06 	
         7.018	  1.210e-05 	
         7.040	  1.150e-05 	
         7.058	  1.170e-05 	
         7.078	  1.190e-05 	
         7.100	  1.160e-05 	
         7.119	  1.290e-05 	
         7.140	  1.280e-05 	
         7.159	  1.000e-05 	
         7.178	  1.110e-05 	
         7.200	  1.180e-05 	
         7.220	  1.040e-05 	
         7.242	  1.290e-05 	
         7.258	  1.010e-05 	
         7.279	  1.090e-05 	
         7.298	  9.600e-06 	
         7.318	  1.220e-05 	
         7.339	  9.800e-06 	
         7.359	  9.000e-06 	
         7.378	  8.800e-06 	
         7.398	  1.100e-05 	
         7.418	  1.050e-05 	
         7.439	  1.110e-05 	
         7.458	  1.160e-05 	
         7.478	  1.120e-05 	
         7.500	  1.070e-05 	
         7.519	  1.120e-05 	
         7.538	  1.170e-05 	
         7.559	  1.010e-05 	
         7.578	  1.060e-05 	
         7.600	  9.300e-06 	
         7.619	  1.080e-05 	
         7.639	  1.020e-05 	
         7.659	  8.600e-06 	
         7.678	  1.080e-05 	
         7.700	  1.220e-05 	
         7.719	  9.400e-06 	
         9.001	  1.010e-05 	
         9.018	  9.300e-06 	
         9.038	  1.090e-05 	
         9.059	  1.210e-05 	
         9.078	  1.010e-05 	
         9.099	  9.200e-06 	
         9.119	  1.090e-05 	
         9.140	  1.110e-05 	
         9.160	  1.200e-05 	
         9.178	  1.160e-05 	
         9.199	  1.270e-05 	
         9.220	  1.220e-05 	
         9.239	  1.210e-05 	
         9.260	  1.060e-05 	
         9.278	  1.110e-05 	
         9.300	  1.170e-05 	
         9.319	  1.080e-05 	
         9.339	  1.140e-05 	
         9.359	  1.000e-05 	
         9.378	  1.030e-05 	
         9.400	  1.150e-05 	
         9.419	  1.110e-05 	
         9.439	  1.100e-05 	
         9.458	  1.290e-05 	
         9.478	  1.210e-05 	
         9.500	  1.070e-05 	
         9.519	  1.140e-05 	
         9.540	  1.110e-05 	
         9.560	  1.110e-05 	
         9.578	  1.030e-05 	
         9.598	  1.030e-05 	
         9.619	  1.110e-05 	
         9.639	  1.160e-05 	
         9.660	  1.080e-05 	
         9.678	  1.070e-05 	
         9.700	  1.110e-05 	
         9.719	  1.120e-05 	
         9.739	  1.180e-05 	
         9.760	  1.190e-05 	
         9.778	  1.210e-05 	
         9.798	  1.280e-05 	
         9.819	  1.070e-05 	
         9.840	  1.120e-05 	
         9.859	  1.200e-05 	
         9.878	  1.120e-05 	
         9.900	  1.080e-05 	
         9.919	  1.120e-05 	
         9.940	  1.120e-05 	
         9.960	  1.230e-05 	
         9.978	  1.060e-05 	
        11.240	  1.010e-05 	
        11.258	  1.030e-05 	
        11.278	  1.240e-05 	
        11.299	  1.430e-05 	
        11.320	  1.470e-05 	
        11.340	  1.200e-05 	
        11.358	  1.320e-05 	
        11.378	  1.350e-05 	
        11.399	  1.250e-05 	
        11.419	  9.600e-06 	
        11.440	  1.120e-05 	
        11.458	  9.900e-06 	
        11.478	  1.290e-05 	
        11.499	  1.240e-05 	
        11.519	  1.110e-05 	
        11.540	  1.200e-05 	
        11.558	  1.220e-05 	
        11.578	  1.270e-05 	
        11.599	  1.200e-05 	
        11.620	  1.090e-05 	
        11.638	  1.050e-05 	
        11.658	  1.140e-05 	
        11.678	  1.250e-05 	
        11.699	  1.270e-05 	
        11.719	  1.160e-05 	
        11.740	  1.120e-05 	
        11.758	  1.040e-05 	
        11.780	  1.090e-05 	
        11.800	  1.320e-05 	
        11.819	  1.260e-05 	
        11.840	  1.270e-05 	
        11.858	  1.250e-05 	
        11.878	  1.200e-05 	
        11.899	  1.280e-05 	
        11.919	  1.200e-05 	
        11.939	  1.230e-05 	
        11.958	  1.100e-05 	
        11.978	  1.350e-05 	
        12.000	  1.390e-05 	
        12.019	  1.170e-05 	
        12.040	  1.160e-05 	
        12.059	  1.280e-05 	
        12.078	  1.380e-05 	
        12.100	  1.160e-05 	
        12.119	  1.110e-05 	
        12.140	  1.190e-05 	
        12.159	  1.070e-05 	
        12.178	  1.150e-05 	
        12.200	  1.180e-05 	
        12.218	  1.160e-05 	
        13.500	  1.180e-05 	
        13.519	  1.100e-05 	
        13.539	  1.220e-05 	
        13.560	  1.010e-05 	
        13.579	  9.300e-06 	
        13.598	  1.130e-05 	
        13.619	  1.070e-05 	
        13.639	  9.800e-06 	
        13.660	  1.140e-05 	
        13.679	  1.170e-05 	
        13.700	  1.340e-05 	
        13.718	  1.290e-05 	
        13.740	  1.390e-05 	
        13.760	  1.200e-05 	
        13.778	  9.800e-06 	
        13.800	  8.900e-06 	
        13.819	  1.090e-05 	
        13.840	  1.070e-05 	
        13.859	  1.000e-05 	
        13.879	  1.150e-05 	
        13.899	  1.200e-05 	
        13.920	  1.310e-05 	
