;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:15/08/2022 at 13:49:02
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:250.0nJ             
;Max:6.060uJ             
;Average:2.450uJ             
;Std.Dev.:711.9nJ             
;Overrange:0                   
;Total Pulses:30058               
;--------------------


;First Pulse Arrived : 15/08/2022 at 13:49:02
  Timestamp   	  Channel A  	
         0.000	  1.480e-06 	
         0.022	  1.650e-06 	
         0.042	  3.630e-06 	
         0.061	  2.610e-06 	
         0.081	  2.000e-06 	
         0.101	  2.140e-06 	
         0.122	  3.000e-06 	
         0.141	  2.340e-06 	
         0.162	  2.120e-06 	
         0.179	  1.880e-06 	
         0.201	  2.440e-06 	
         0.222	  2.840e-06 	
         0.241	  2.120e-06 	
         0.262	  2.780e-06 	
         0.281	  2.050e-06 	
         0.302	  2.040e-06 	
         0.321	  2.040e-06 	
         0.341	  2.660e-06 	
         0.362	  2.590e-06 	
         0.380	  2.180e-06 	
         0.401	  1.430e-06 	
         0.422	  2.040e-06 	
         0.442	  2.480e-06 	
         0.462	  2.540e-06 	
         0.481	  1.620e-06 	
         0.502	  1.990e-06 	
         0.522	  1.690e-06 	
         0.542	  1.280e-06 	
         0.561	  2.130e-06 	
         0.581	  2.430e-06 	
         0.602	  1.370e-06 	
         0.622	  2.510e-06 	
         0.641	  2.240e-06 	
         0.662	  2.620e-06 	
         0.681	  2.050e-06 	
         0.701	  2.430e-06 	
         0.722	  3.050e-06 	
         0.740	  3.060e-06 	
         0.762	  3.090e-06 	
         0.781	  2.640e-06 	
         0.801	  2.690e-06 	
         0.822	  2.200e-06 	
         0.841	  2.960e-06 	
         0.861	  2.260e-06 	
         0.881	  2.610e-06 	
         0.901	  2.730e-06 	
         0.921	  2.730e-06 	
         0.942	  2.370e-06 	
         0.962	  2.770e-06 	
         0.981	  2.860e-06 	
         1.002	  2.660e-06 	
         1.021	  2.410e-06 	
         1.042	  2.030e-06 	
         1.062	  2.710e-06 	
         1.081	  2.730e-06 	
         1.102	  1.910e-06 	
         1.120	  1.710e-06 	
         1.142	  2.440e-06 	
         1.162	  1.750e-06 	
         1.181	  2.050e-06 	
         1.201	  1.490e-06 	
         1.221	  1.990e-06 	
         1.241	  1.580e-06 	
         1.264	  2.050e-06 	
         1.281	  1.860e-06 	
         1.302	  1.810e-06 	
         1.322	  1.860e-06 	
         1.341	  1.940e-06 	
         1.362	  1.980e-06 	
         1.381	  2.220e-06 	
         1.422	  1.690e-06 	
         1.441	  2.330e-06 	
         1.462	  2.720e-06 	
         1.481	  2.740e-06 	
         1.502	  2.410e-06 	
         1.522	  1.660e-06 	
         1.542	  1.850e-06 	
         1.562	  2.410e-06 	
         1.581	  2.010e-06 	
         1.602	  1.070e-06 	
         1.622	  1.980e-06 	
         1.642	  2.380e-06 	
         1.662	  1.770e-06 	
         1.681	  2.100e-06 	
         1.701	  2.440e-06 	
         1.721	  2.680e-06 	
         1.742	  2.480e-06 	
         1.762	  2.880e-06 	
         1.781	  2.170e-06 	
         1.801	  1.960e-06 	
         1.822	  2.270e-06 	
         1.842	  2.260e-06 	
         1.862	  1.840e-06 	
         1.881	  2.360e-06 	
         1.901	  2.200e-06 	
         1.921	  2.370e-06 	
         1.942	  2.190e-06 	
         1.962	  2.570e-06 	
         1.981	  1.850e-06 	
         2.001	  2.120e-06 	
         2.022	  2.290e-06 	
         2.041	  2.600e-06 	
         2.062	  2.140e-06 	
         2.081	  2.460e-06 	
         2.101	  2.120e-06 	
         2.121	  2.430e-06 	
         2.141	  1.810e-06 	
         2.162	  2.290e-06 	
         2.181	  2.090e-06 	
         2.200	  3.080e-06 	
         2.222	  2.650e-06 	
         2.241	  1.880e-06 	
