;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:15/08/2022 at 14:18:21
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:500.0nJ             
;Max:7.790uJ             
;Average:3.068uJ             
;Std.Dev.:716.7nJ             
;Overrange:0                   
;Total Pulses:121856              
;--------------------


;First Pulse Arrived : 15/08/2022 at 14:18:21
  Timestamp   	  Channel A  	
         0.000	  9.300e-07 	
         0.020	  1.090e-06 	
         0.040	  1.280e-06 	
         0.058	  1.980e-06 	
         0.078	  2.060e-06 	
         0.100	  2.170e-06 	
         0.119	  1.820e-06 	
         0.139	  2.160e-06 	
         0.159	  1.300e-06 	
         0.180	  1.690e-06 	
         0.199	  1.230e-06 	
         0.219	  2.410e-06 	
         0.240	  1.960e-06 	
         0.258	  3.440e-06 	
         0.280	  3.100e-06 	
         0.299	  2.490e-06 	
         0.320	  1.400e-06 	
         0.339	  2.400e-06 	
         0.358	  1.940e-06 	
         0.380	  2.100e-06 	
         0.399	  2.690e-06 	
         0.419	  2.590e-06 	
         0.440	  2.080e-06 	
         0.458	  2.520e-06 	
         0.479	  1.860e-06 	
         0.500	  2.600e-06 	
         0.519	  2.200e-06 	
         0.538	  2.370e-06 	
         0.558	  2.410e-06 	
         0.579	  3.400e-06 	
         0.600	  2.630e-06 	
         0.619	  1.880e-06 	
         0.640	  1.780e-06 	
         0.658	  2.780e-06 	
         0.679	  2.630e-06 	
         0.700	  2.990e-06 	
         0.719	  3.010e-06 	
         0.739	  2.410e-06 	
         0.758	  2.040e-06 	
         0.778	  2.080e-06 	
         0.799	  2.440e-06 	
         0.819	  2.560e-06 	
         0.839	  3.330e-06 	
         0.859	  3.160e-06 	
         0.880	  2.540e-06 	
         0.900	  1.710e-06 	
         0.920	  1.720e-06 	
         0.936	  2.770e-06 	
         0.958	  2.910e-06 	
         0.979	  2.520e-06 	
         0.998	  2.980e-06 	
         1.018	  2.710e-06 	
         1.036	  1.850e-06 	
         1.059	  2.390e-06 	
         1.080	  2.930e-06 	
         1.099	  2.800e-06 	
         1.120	  1.980e-06 	
         1.139	  2.600e-06 	
         1.158	  2.780e-06 	
         1.180	  3.310e-06 	
         1.200	  3.120e-06 	
         1.220	  2.920e-06 	
         1.239	  2.410e-06 	
         1.259	  2.090e-06 	
         1.280	  2.900e-06 	
         1.299	  4.440e-06 	
         1.320	  3.970e-06 	
         1.339	  2.990e-06 	
         1.358	  3.810e-06 	
         1.380	  3.010e-06 	
         1.400	  2.840e-06 	
         1.420	  3.300e-06 	
         1.436	  3.680e-06 	
         1.458	  3.750e-06 	
         1.479	  3.590e-06 	
         1.499	  3.430e-06 	
         1.520	  4.030e-06 	
         1.536	  3.530e-06 	
         1.558	  4.620e-06 	
         1.580	  3.820e-06 	
         1.599	  3.520e-06 	
         1.620	  2.900e-06 	
         1.636	  3.550e-06 	
         1.658	  3.070e-06 	
         1.680	  3.100e-06 	
         1.700	  2.060e-06 	
         1.720	  3.800e-06 	
         1.737	  3.460e-06 	
         1.758	  2.820e-06 	
         1.780	  1.640e-06 	
         1.799	  2.450e-06 	
         1.819	  2.230e-06 	
