;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/08/2022 at 18:24:07
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:25.60uJ             
;Max:39.10uJ             
;Average:34.57uJ             
;Std.Dev.:1.799uJ             
;Overrange:0                   
;Total Pulses:3664                
;--------------------


;First Pulse Arrived : 18/08/2022 at 18:24:07
  Timestamp   	  Channel A  	
         0.000	  3.630e-05 	
         0.018	  3.680e-05 	
         0.037	  3.620e-05 	
         0.059	  3.370e-05 	
         0.077	  3.090e-05 	
         0.099	  3.520e-05 	
         0.119	  3.660e-05 	
         0.137	  3.790e-05 	
         0.158	  3.660e-05 	
         0.176	  3.690e-05 	
         0.200	  3.330e-05 	
         0.219	  3.530e-05 	
         0.236	  3.510e-05 	
         0.260	  3.530e-05 	
         0.276	  3.510e-05 	
         0.300	  3.100e-05 	
         0.319	  3.010e-05 	
         0.337	  3.390e-05 	
         0.359	  3.660e-05 	
         0.376	  3.630e-05 	
         0.400	  3.530e-05 	
         0.419	  3.680e-05 	
         0.437	  3.710e-05 	
         0.459	  3.620e-05 	
         0.476	  3.760e-05 	
         0.499	  3.710e-05 	
         0.518	  3.830e-05 	
         0.536	  3.730e-05 	
         0.558	  3.770e-05 	
         0.576	  3.680e-05 	
         0.600	  3.520e-05 	
         0.619	  3.490e-05 	
         0.636	  3.540e-05 	
         0.659	  3.540e-05 	
         0.677	  3.530e-05 	
         0.700	  3.510e-05 	
         0.719	  3.630e-05 	
         0.737	  3.350e-05 	
         0.759	  3.540e-05 	
         0.776	  3.410e-05 	
         0.798	  3.300e-05 	
         0.819	  3.400e-05 	
         0.836	  3.510e-05 	
         0.859	  3.490e-05 	
         0.877	  3.460e-05 	
         0.898	  3.320e-05 	
         0.919	  3.250e-05 	
         0.936	  3.460e-05 	
         0.958	  3.440e-05 	
         0.977	  3.590e-05 	
         1.000	  3.590e-05 	
         1.020	  3.520e-05 	
         1.037	  3.660e-05 	
         1.059	  3.390e-05 	
         1.076	  3.590e-05 	
         1.099	  3.430e-05 	
         1.119	  3.510e-05 	
         1.137	  3.660e-05 	
         1.158	  3.610e-05 	
         1.177	  3.700e-05 	
         1.199	  3.320e-05 	
         1.218	  3.460e-05 	
         1.237	  3.580e-05 	
         1.259	  3.610e-05 	
         1.276	  3.440e-05 	
         1.299	  3.670e-05 	
         1.318	  3.730e-05 	
         1.337	  3.550e-05 	
         1.358	  3.530e-05 	
         1.376	  3.500e-05 	
         1.399	  3.610e-05 	
         1.417	  3.240e-05 	
         1.437	  3.560e-05 	
         1.459	  3.300e-05 	
         1.476	  3.440e-05 	
         1.499	  3.500e-05 	
         1.518	  3.250e-05 	
         1.537	  3.560e-05 	
         1.559	  3.570e-05 	
         1.576	  3.520e-05 	
         1.600	  3.670e-05 	
         1.618	  3.640e-05 	
         1.637	  3.690e-05 	
         1.659	  3.750e-05 	
         1.676	  3.620e-05 	
         1.699	  3.600e-05 	
         1.718	  3.710e-05 	
         1.736	  3.660e-05 	
         1.759	  3.590e-05 	
         1.776	  3.640e-05 	
         1.799	  3.660e-05 	
         1.818	  3.620e-05 	
         1.837	  3.500e-05 	
         1.860	  3.440e-05 	
         1.877	  3.510e-05 	
         1.899	  3.580e-05 	
         1.918	  3.540e-05 	
         1.936	  3.490e-05 	
         1.959	  3.510e-05 	
         1.977	  3.460e-05 	
         2.000	  3.410e-05 	
         2.019	  3.620e-05 	
         2.037	  3.540e-05 	
         2.059	  3.490e-05 	
         2.077	  3.550e-05 	
         2.100	  3.520e-05 	
         2.118	  3.590e-05 	
         2.136	  3.550e-05 	
         2.159	  3.510e-05 	
         2.177	  3.240e-05 	
         2.199	  3.280e-05 	
         2.218	  3.490e-05 	
         2.237	  3.550e-05 	
         2.260	  3.510e-05 	
         2.276	  3.680e-05 	
         2.300	  3.440e-05 	
         2.319	  3.530e-05 	
         2.337	  3.240e-05 	
         2.358	  3.370e-05 	
         2.377	  3.530e-05 	
         2.400	  3.500e-05 	
         2.419	  3.710e-05 	
         2.437	  3.370e-05 	
         2.458	  3.400e-05 	
         2.477	  3.500e-05 	
         2.500	  3.540e-05 	
         2.519	  3.640e-05 	
         2.537	  3.610e-05 	
         2.560	  3.510e-05 	
         2.577	  3.100e-05 	
         2.600	  3.360e-05 	
         2.619	  3.320e-05 	
         2.637	  3.510e-05 	
         2.659	  3.160e-05 	
         2.676	  3.280e-05 	
         2.700	  3.500e-05 	
         2.720	  3.540e-05 	
         2.736	  3.490e-05 	
         2.759	  3.550e-05 	
         2.777	  3.510e-05 	
         2.799	  3.570e-05 	
         2.819	  3.560e-05 	
         2.837	  3.610e-05 	
         2.859	  3.630e-05 	
         2.877	  3.660e-05 	
         2.898	  3.550e-05 	
         2.918	  3.620e-05 	
         2.937	  3.810e-05 	
         2.960	  3.440e-05 	
         2.977	  3.640e-05 	
         3.000	  3.620e-05 	
         3.020	  3.640e-05 	
         3.037	  3.760e-05 	
         3.059	  3.750e-05 	
         3.077	  3.580e-05 	
         3.100	  3.800e-05 	
         3.119	  3.710e-05 	
         3.136	  3.740e-05 	
         3.158	  3.410e-05 	
         3.176	  3.640e-05 	
         3.200	  3.460e-05 	
         3.219	  3.460e-05 	
         3.237	  3.780e-05 	
         3.259	  3.650e-05 	
         3.277	  3.410e-05 	
         3.299	  3.370e-05 	
         3.318	  3.680e-05 	
         3.337	  3.530e-05 	
         3.359	  3.500e-05 	
         3.377	  3.610e-05 	
         3.397	  3.490e-05 	
         3.420	  3.560e-05 	
         3.437	  3.680e-05 	
         3.460	  3.410e-05 	
         3.477	  3.450e-05 	
         3.499	  3.550e-05 	
         3.519	  3.650e-05 	
         3.537	  3.720e-05 	
         3.558	  3.320e-05 	
         3.577	  3.100e-05 	
         3.600	  3.570e-05 	
         3.620	  3.330e-05 	
         3.636	  3.660e-05 	
         3.659	  3.610e-05 	
         3.676	  3.440e-05 	
         3.700	  3.420e-05 	
         3.719	  3.590e-05 	
         3.736	  3.530e-05 	
         3.760	  3.370e-05 	
         3.776	  3.570e-05 	
         3.799	  3.360e-05 	
         3.820	  3.660e-05 	
         3.837	  3.560e-05 	
         3.859	  3.530e-05 	
         3.876	  3.330e-05 	
         3.900	  3.380e-05 	
         3.919	  3.480e-05 	
         3.937	  3.510e-05 	
         3.959	  3.600e-05 	
         3.977	  3.240e-05 	
         3.999	  2.880e-05 	
         4.019	  3.510e-05 	
         4.036	  3.610e-05 	
         4.058	  3.320e-05 	
         4.076	  3.600e-05 	
         4.100	  3.600e-05 	
         4.119	  3.610e-05 	
         4.136	  3.450e-05 	
         4.156	  3.440e-05 	
         4.176	  3.570e-05 	
         4.200	  3.510e-05 	
         4.218	  3.570e-05 	
         4.236	  3.200e-05 	
         4.260	  3.370e-05 	
         4.276	  3.510e-05 	
         4.299	  3.590e-05 	
         4.319	  3.440e-05 	
         4.336	  3.680e-05 	
         4.359	  3.590e-05 	
         4.376	  3.570e-05 	
         4.397	  3.530e-05 	
         4.417	  3.390e-05 	
         4.436	  3.290e-05 	
         4.459	  2.860e-05 	
         4.477	  2.910e-05 	
         4.500	  3.190e-05 	
         4.519	  3.210e-05 	
         4.537	  3.260e-05 	
