;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/08/2022 at 14:00:57
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:30.20uJ             
;Max:42.70uJ             
;Average:38.69uJ             
;Std.Dev.:969.0nJ             
;Overrange:0                   
;Total Pulses:13153               
;--------------------


;First Pulse Arrived : 18/08/2022 at 14:00:58
  Timestamp   	  Channel A  	
         0.000	  3.910e-05 	
         0.020	  3.910e-05 	
         0.040	  3.960e-05 	
         0.059	  3.860e-05 	
         0.080	  3.850e-05 	
         0.101	  4.000e-05 	
         0.121	  3.950e-05 	
         0.142	  3.890e-05 	
         0.160	  3.940e-05 	
         0.181	  3.920e-05 	
         0.201	  3.890e-05 	
         0.221	  3.890e-05 	
         0.240	  3.910e-05 	
         0.260	  3.750e-05 	
         0.280	  3.820e-05 	
         0.300	  3.880e-05 	
         0.319	  3.800e-05 	
         0.340	  3.800e-05 	
         0.360	  3.970e-05 	
         0.381	  3.880e-05 	
         0.401	  3.880e-05 	
         0.421	  3.860e-05 	
         0.440	  3.830e-05 	
         0.460	  3.770e-05 	
         0.480	  3.830e-05 	
         0.499	  3.880e-05 	
         0.521	  3.820e-05 	
         0.540	  3.880e-05 	
         0.560	  3.730e-05 	
         0.582	  3.890e-05 	
         0.599	  3.950e-05 	
         0.621	  3.930e-05 	
         0.640	  3.940e-05 	
         0.660	  3.910e-05 	
         0.681	  3.910e-05 	
         0.700	  3.920e-05 	
         0.720	  3.950e-05 	
         0.740	  4.000e-05 	
         0.759	  3.880e-05 	
         0.780	  3.900e-05 	
         0.801	  3.950e-05 	
         0.819	  3.950e-05 	
         0.840	  3.930e-05 	
         0.860	  3.790e-05 	
         0.880	  4.000e-05 	
         0.901	  3.960e-05 	
         0.920	  3.930e-05 	
         0.941	  3.890e-05 	
         0.959	  3.640e-05 	
         0.979	  3.890e-05 	
         1.000	  3.750e-05 	
         1.020	  3.860e-05 	
         1.040	  3.890e-05 	
         1.059	  3.960e-05 	
         1.080	  3.910e-05 	
         1.100	  3.890e-05 	
         1.119	  3.920e-05 	
         1.142	  3.930e-05 	
         1.160	  3.930e-05 	
         1.181	  4.020e-05 	
         1.201	  3.980e-05 	
         1.220	  4.020e-05 	
         1.240	  3.700e-05 	
         1.260	  3.900e-05 	
         1.279	  3.990e-05 	
         1.300	  3.710e-05 	
         1.320	  4.110e-05 	
         1.341	  3.940e-05 	
         1.360	  3.950e-05 	
         1.381	  3.890e-05 	
         1.400	  3.870e-05 	
         1.419	  3.840e-05 	
         1.440	  3.850e-05 	
         1.460	  3.910e-05 	
         1.481	  3.910e-05 	
         1.501	  3.730e-05 	
         1.520	  3.770e-05 	
         1.541	  3.970e-05 	
         1.560	  3.920e-05 	
         1.582	  3.860e-05 	
         1.601	  3.950e-05 	
         1.620	  3.970e-05 	
         1.640	  3.980e-05 	
         1.659	  3.950e-05 	
         1.681	  3.950e-05 	
