;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/08/2022 at 17:15:31
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:206
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:28.50uJ             
;Max:40.70uJ             
;Average:35.56uJ             
;Std.Dev.:1.415uJ             
;Overrange:0                   
;Total Pulses:13246               
;--------------------


;First Pulse Arrived : 18/08/2022 at 17:15:31
  Timestamp   	  Channel A  	
         0.000	  3.650e-05 	
         0.020	  3.630e-05 	
         0.041	  2.950e-05 	
         0.058	  3.460e-05 	
         0.080	  3.600e-05 	
         0.101	  3.650e-05 	
         0.119	  3.660e-05 	
         0.140	  3.700e-05 	
         0.159	  3.480e-05 	
         0.180	  3.680e-05 	
         0.202	  3.600e-05 	
         0.219	  3.850e-05 	
         0.241	  3.670e-05 	
         0.258	  3.680e-05 	
         0.280	  3.730e-05 	
         0.301	  3.790e-05 	
         0.319	  3.800e-05 	
         0.340	  3.640e-05 	
         0.358	  3.800e-05 	
         0.380	  3.730e-05 	
         0.400	  3.740e-05 	
         0.420	  3.680e-05 	
         0.441	  3.640e-05 	
         0.458	  3.640e-05 	
         0.481	  3.790e-05 	
         0.502	  3.730e-05 	
         0.520	  3.600e-05 	
         0.539	  3.640e-05 	
         0.558	  3.670e-05 	
         0.580	  3.530e-05 	
         0.600	  3.110e-05 	
         0.620	  3.400e-05 	
         0.641	  3.470e-05 	
         0.658	  3.500e-05 	
         0.680	  3.500e-05 	
         0.702	  3.600e-05 	
         0.718	  3.420e-05 	
         0.740	  3.470e-05 	
         0.758	  3.410e-05 	
         0.781	  3.470e-05 	
         0.800	  3.690e-05 	
         0.818	  3.590e-05 	
         0.838	  3.480e-05 	
         0.858	  3.350e-05 	
         0.881	  3.320e-05 	
         0.901	  3.530e-05 	
         0.918	  3.720e-05 	
         0.939	  3.530e-05 	
         0.959	  3.440e-05 	
         0.981	  3.530e-05 	
         1.001	  3.590e-05 	
         1.018	  3.610e-05 	
         1.038	  3.530e-05 	
         1.058	  3.470e-05 	
         1.081	  3.500e-05 	
         1.101	  3.390e-05 	
         1.119	  3.450e-05 	
         1.141	  3.640e-05 	
         1.158	  3.770e-05 	
         1.181	  3.490e-05 	
         1.201	  3.400e-05 	
         1.218	  3.240e-05 	
         1.238	  3.250e-05 	
         1.258	  3.480e-05 	
         1.280	  3.330e-05 	
         1.300	  3.080e-05 	
         1.319	  3.490e-05 	
         1.339	  3.260e-05 	
         1.358	  3.170e-05 	
         1.380	  3.420e-05 	
         1.401	  3.440e-05 	
         1.419	  3.330e-05 	
         1.438	  3.420e-05 	
         1.458	  3.320e-05 	
         1.481	  3.320e-05 	
         1.500	  3.350e-05 	
         1.518	  3.330e-05 	
         1.539	  3.220e-05 	
         1.559	  3.260e-05 	
         1.581	  3.280e-05 	
         1.600	  3.020e-05 	
         1.619	  3.390e-05 	
         1.641	  3.260e-05 	
         1.658	  3.500e-05 	
         1.682	  3.560e-05 	
         1.700	  3.530e-05 	
         1.719	  3.490e-05 	
         1.738	  3.500e-05 	
         1.758	  3.590e-05 	
         1.780	  3.620e-05 	
         1.800	  3.620e-05 	
         1.820	  3.220e-05 	
         1.838	  3.320e-05 	
         1.858	  3.270e-05 	
         1.882	  3.490e-05 	
         1.901	  3.460e-05 	
         1.920	  3.590e-05 	
         1.939	  3.470e-05 	
         1.958	  3.510e-05 	
         1.981	  3.570e-05 	
         2.001	  3.590e-05 	
         2.018	  3.380e-05 	
         2.038	  3.780e-05 	
         2.058	  3.590e-05 	
         2.081	  3.640e-05 	
         2.102	  3.640e-05 	
         2.118	  3.510e-05 	
         2.141	  3.390e-05 	
         2.158	  3.570e-05 	
         2.181	  3.550e-05 	
         2.201	  3.640e-05 	
         2.219	  3.560e-05 	
         2.238	  3.720e-05 	
         2.258	  3.420e-05 	
         2.282	  3.650e-05 	
         2.300	  3.760e-05 	
         2.319	  3.510e-05 	
         2.339	  3.670e-05 	
         2.358	  3.570e-05 	
         2.381	  3.590e-05 	
         2.400	  3.560e-05 	
         2.419	  3.600e-05 	
         2.438	  3.280e-05 	
         2.458	  3.390e-05 	
         2.480	  3.490e-05 	
         2.500	  3.680e-05 	
         2.518	  3.700e-05 	
         2.538	  3.560e-05 	
         2.558	  3.680e-05 	
         2.580	  3.640e-05 	
         2.600	  3.620e-05 	
         2.620	  3.600e-05 	
         2.640	  3.630e-05 	
         2.658	  3.480e-05 	
         2.682	  3.530e-05 	
         2.700	  3.620e-05 	
         2.720	  3.580e-05 	
         2.739	  3.680e-05 	
         2.758	  3.700e-05 	
         2.781	  3.600e-05 	
         2.800	  3.500e-05 	
         2.820	  3.550e-05 	
         2.838	  3.660e-05 	
         2.858	  3.770e-05 	
         2.881	  3.700e-05 	
         2.900	  3.700e-05 	
         2.919	  3.770e-05 	
         2.938	  3.600e-05 	
         2.958	  3.640e-05 	
         2.980	  3.670e-05 	
         3.000	  3.560e-05 	
         3.019	  3.670e-05 	
         3.038	  3.510e-05 	
         3.058	  3.600e-05 	
         3.081	  3.680e-05 	
         3.100	  3.680e-05 	
         3.119	  3.640e-05 	
         3.140	  3.720e-05 	
         3.158	  3.750e-05 	
         3.182	  3.550e-05 	
         3.200	  3.540e-05 	
         3.219	  3.610e-05 	
         3.238	  3.610e-05 	
         3.258	  3.660e-05 	
         3.281	  3.610e-05 	
         3.300	  3.640e-05 	
         3.319	  3.730e-05 	
         3.338	  3.670e-05 	
         3.358	  3.730e-05 	
         3.382	  3.610e-05 	
         3.400	  3.690e-05 	
         3.419	  3.660e-05 	
         3.438	  3.640e-05 	
         3.458	  3.610e-05 	
         3.482	  3.560e-05 	
         3.500	  3.690e-05 	
         3.519	  3.570e-05 	
         3.539	  3.620e-05 	
         3.558	  3.530e-05 	
         3.582	  3.640e-05 	
         3.600	  3.550e-05 	
         3.619	  3.730e-05 	
         3.640	  3.660e-05 	
         3.658	  3.650e-05 	
         3.680	  3.620e-05 	
         3.700	  3.740e-05 	
         3.719	  3.600e-05 	
         3.738	  3.640e-05 	
         3.758	  3.620e-05 	
         3.781	  3.680e-05 	
         3.800	  3.240e-05 	
         3.820	  3.480e-05 	
         3.839	  3.620e-05 	
         3.858	  3.680e-05 	
         3.880	  3.660e-05 	
         3.900	  3.620e-05 	
         3.919	  3.630e-05 	
         3.938	  3.240e-05 	
         3.958	  3.510e-05 	
         3.981	  3.700e-05 	
         4.000	  3.670e-05 	
         4.019	  3.650e-05 	
         4.039	  3.790e-05 	
         4.058	  3.700e-05 	
         4.082	  3.710e-05 	
         4.100	  3.660e-05 	
         4.118	  3.420e-05 	
         4.140	  3.680e-05 	
         4.158	  3.660e-05 	
         4.180	  3.680e-05 	
         4.200	  3.640e-05 	
         4.219	  3.650e-05 	
         4.239	  3.650e-05 	
         4.258	  3.700e-05 	
         4.281	  3.590e-05 	
         4.301	  3.750e-05 	
         4.319	  3.680e-05 	
         4.339	  3.120e-05 	
         4.358	  3.470e-05 	
         4.382	  3.700e-05 	
         4.400	  3.590e-05 	
         4.418	  3.700e-05 	
         4.438	  3.750e-05 	
         4.458	  3.620e-05 	
         4.481	  3.740e-05 	
         4.500	  3.380e-05 	
         4.519	  3.520e-05 	
         4.539	  3.660e-05 	
         4.558	  3.680e-05 	
         4.582	  3.710e-05 	
         4.602	  3.530e-05 	
         4.618	  3.450e-05 	
         4.641	  3.640e-05 	
         4.658	  3.620e-05 	
         4.681	  3.720e-05 	
         4.701	  3.690e-05 	
         4.718	  3.750e-05 	
         4.738	  3.670e-05 	
         4.758	  3.480e-05 	
         4.782	  3.560e-05 	
         4.801	  3.530e-05 	
         4.819	  3.710e-05 	
         4.838	  3.660e-05 	
         4.858	  3.560e-05 	
         4.880	  3.740e-05 	
         4.901	  3.650e-05 	
         4.919	  3.680e-05 	
         4.938	  3.710e-05 	
         4.958	  3.640e-05 	
         4.981	  3.750e-05 	
         5.000	  3.770e-05 	
         5.018	  3.650e-05 	
         5.038	  3.680e-05 	
         5.058	  3.730e-05 	
         5.080	  3.710e-05 	
         5.100	  3.830e-05 	
         5.119	  3.670e-05 	
         5.141	  3.720e-05 	
         5.158	  3.750e-05 	
         5.181	  3.520e-05 	
         5.200	  3.640e-05 	
         5.218	  3.610e-05 	
         5.239	  3.640e-05 	
         5.258	  3.530e-05 	
         5.281	  3.680e-05 	
         5.300	  3.630e-05 	
         5.319	  3.600e-05 	
         5.338	  3.620e-05 	
         5.358	  3.670e-05 	
         5.381	  3.730e-05 	
         5.399	  3.480e-05 	
         5.418	  3.500e-05 	
         5.438	  3.730e-05 	
