;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/01/2023 at 11:58:52
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:204
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:620.0nJ             
;Max:8.810uJ             
;Average:4.880uJ             
;Std.Dev.:1.153uJ             
;Overrange:0                   
;Total Pulses:19927               
;--------------------


;First Pulse Arrived : 09/01/2023 at 11:59:16
  Timestamp   	  Channel A  	
         0.000	  3.670e-06 	
         0.020	  3.680e-06 	
         0.040	  4.160e-06 	
         0.060	  3.990e-06 	
         0.080	  2.680e-06 	
         0.100	  3.880e-06 	
         0.120	  4.810e-06 	
         0.140	  2.510e-06 	
         0.160	  3.360e-06 	
         0.180	  4.270e-06 	
         0.200	  4.440e-06 	
         0.220	  4.400e-06 	
         0.240	  4.040e-06 	
         0.261	  3.720e-06 	
         0.280	  3.760e-06 	
         0.300	  4.320e-06 	
         0.320	  3.930e-06 	
         0.341	  3.760e-06 	
         0.361	  3.940e-06 	
         0.380	  4.190e-06 	
         0.400	  4.040e-06 	
         0.421	  4.240e-06 	
         0.440	  4.110e-06 	
         0.461	  4.340e-06 	
         0.480	  4.490e-06 	
         0.500	  4.510e-06 	
         0.521	  4.290e-06 	
         0.540	  4.470e-06 	
         0.561	  4.290e-06 	
         0.581	  4.190e-06 	
         0.600	  4.350e-06 	
         0.620	  4.490e-06 	
         0.641	  4.660e-06 	
         0.660	  4.580e-06 	
         0.680	  4.480e-06 	
         0.700	  4.440e-06 	
         0.721	  5.610e-06 	
         0.740	  4.110e-06 	
         0.761	  4.220e-06 	
         0.782	  4.690e-06 	
         0.800	  4.580e-06 	
         0.821	  4.520e-06 	
         0.841	  3.980e-06 	
         0.861	  4.240e-06 	
         0.880	  4.000e-06 	
         0.900	  3.940e-06 	
         0.920	  4.270e-06 	
         0.941	  4.240e-06 	
         0.961	  4.050e-06 	
         0.980	  3.640e-06 	
         1.000	  3.990e-06 	
         1.021	  4.310e-06 	
         1.041	  3.780e-06 	
         1.061	  3.760e-06 	
         1.081	  4.230e-06 	
         1.100	  4.260e-06 	
         1.120	  3.650e-06 	
         1.140	  3.860e-06 	
         1.161	  4.560e-06 	
         1.181	  4.280e-06 	
         1.200	  3.960e-06 	
         1.220	  3.760e-06 	
         1.240	  4.210e-06 	
         1.261	  4.300e-06 	
         1.280	  4.390e-06 	
         1.300	  3.910e-06 	
         1.320	  4.170e-06 	
         1.340	  3.990e-06 	
         1.361	  3.840e-06 	
         1.381	  3.840e-06 	
         1.400	  3.870e-06 	
         1.421	  4.150e-06 	
         1.439	  4.320e-06 	
         1.460	  3.930e-06 	
         1.481	  4.240e-06 	
         1.500	  3.890e-06 	
         1.520	  3.970e-06 	
         1.540	  3.260e-06 	
         1.560	  4.750e-06 	
         1.581	  4.580e-06 	
         1.600	  4.240e-06 	
         1.621	  3.730e-06 	
         1.640	  4.240e-06 	
         1.660	  4.810e-06 	
         1.681	  4.390e-06 	
         1.700	  4.060e-06 	
         1.720	  4.240e-06 	
         1.740	  4.550e-06 	
         1.760	  3.770e-06 	
         1.781	  4.150e-06 	
         1.799	  3.770e-06 	
         1.821	  4.330e-06 	
         1.840	  4.370e-06 	
         1.861	  4.030e-06 	
