;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/01/2023 at 13:33:18
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:204
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:730.0nJ             
;Max:5.620uJ             
;Average:3.814uJ             
;Std.Dev.:768.5nJ             
;Overrange:0                   
;Total Pulses:30498               
;--------------------


;First Pulse Arrived : 09/01/2023 at 13:33:54
  Timestamp   	  Channel A  	
         0.000	  3.580e-06 	
         0.020	  1.630e-06 	
         0.038	  2.790e-06 	
         0.059	  3.820e-06 	
         0.080	  3.550e-06 	
         0.100	  1.910e-06 	
         0.120	  3.850e-06 	
         0.137	  4.110e-06 	
         0.159	  3.190e-06 	
         0.179	  1.980e-06 	
         0.200	  2.040e-06 	
         0.217	  1.270e-06 	
         0.239	  2.690e-06 	
         0.260	  4.170e-06 	
         0.279	  3.290e-06 	
         0.299	  4.400e-06 	
         0.320	  2.610e-06 	
         0.339	  2.920e-06 	
         0.359	  4.040e-06 	
         0.379	  3.550e-06 	
         0.399	  2.370e-06 	
         0.420	  2.220e-06 	
         0.439	  3.140e-06 	
         0.459	  2.620e-06 	
         0.479	  3.780e-06 	
         0.499	  4.150e-06 	
         0.520	  3.530e-06 	
         0.539	  3.460e-06 	
         0.559	  4.470e-06 	
         0.579	  4.360e-06 	
         0.599	  3.030e-06 	
         0.620	  4.050e-06 	
         0.639	  3.690e-06 	
         0.659	  4.490e-06 	
         0.679	  4.760e-06 	
         0.699	  3.910e-06 	
         0.720	  3.340e-06 	
         0.739	  3.060e-06 	
         0.759	  3.700e-06 	
         0.780	  4.430e-06 	
         0.799	  4.240e-06 	
         0.820	  3.550e-06 	
         0.839	  3.680e-06 	
         0.858	  2.720e-06 	
         0.879	  4.000e-06 	
         0.899	  4.070e-06 	
         0.920	  3.040e-06 	
         0.939	  3.610e-06 	
         0.958	  4.020e-06 	
         0.979	  3.660e-06 	
         0.999	  3.550e-06 	
         1.020	  2.090e-06 	
         1.039	  3.460e-06 	
         1.058	  3.800e-06 	
         1.079	  3.230e-06 	
         1.099	  4.430e-06 	
         1.120	  4.190e-06 	
         1.140	  4.170e-06 	
         1.159	  3.580e-06 	
         1.179	  3.940e-06 	
         1.199	  3.100e-06 	
         1.220	  1.760e-06 	
         1.239	  2.500e-06 	
         1.259	  2.770e-06 	
         1.279	  3.960e-06 	
         1.299	  4.510e-06 	
         1.320	  3.640e-06 	
         1.339	  4.580e-06 	
         1.358	  4.060e-06 	
         1.380	  2.760e-06 	
         1.399	  3.650e-06 	
         1.420	  4.500e-06 	
         1.439	  4.320e-06 	
         1.459	  3.480e-06 	
         1.479	  2.840e-06 	
         1.499	  4.320e-06 	
         1.519	  3.850e-06 	
         1.540	  2.610e-06 	
         1.559	  3.430e-06 	
         1.579	  4.040e-06 	
         1.599	  3.830e-06 	
         1.619	  3.720e-06 	
         1.640	  2.660e-06 	
         1.659	  1.900e-06 	
         1.680	  1.240e-06 	
         1.699	  3.180e-06 	
         1.719	  2.590e-06 	
         1.739	  3.400e-06 	
         1.759	  3.810e-06 	
         1.780	  3.510e-06 	
         1.799	  3.960e-06 	
         1.820	  4.300e-06 	
         1.840	  4.130e-06 	
         1.859	  3.840e-06 	
         1.880	  4.190e-06 	
         1.899	  3.060e-06 	
         1.920	  3.060e-06 	
         1.940	  2.920e-06 	
         1.959	  3.870e-06 	
         1.979	  3.640e-06 	
         1.999	  3.380e-06 	
         2.020	  3.810e-06 	
         2.040	  4.640e-06 	
         2.060	  4.800e-06 	
         2.079	  4.070e-06 	
         2.099	  4.630e-06 	
         2.117	  5.150e-06 	
         2.137	  3.080e-06 	
         2.159	  3.890e-06 	
         2.178	  4.100e-06 	
         2.199	  3.170e-06 	
         2.218	  2.520e-06 	
         2.239	  3.100e-06 	
         2.259	  2.800e-06 	
         2.278	  3.350e-06 	
         2.299	  3.330e-06 	
         2.320	  2.550e-06 	
         2.339	  2.020e-06 	
         2.359	  3.670e-06 	
         2.380	  3.370e-06 	
         2.398	  3.310e-06 	
         2.420	  2.520e-06 	
         2.440	  3.490e-06 	
         2.459	  2.980e-06 	
         2.478	  3.510e-06 	
         2.499	  3.590e-06 	
         2.519	  4.260e-06 	
         2.540	  3.920e-06 	
         2.557	  3.870e-06 	
         2.579	  4.410e-06 	
         2.599	  2.860e-06 	
         2.620	  3.800e-06 	
         2.640	  3.560e-06 	
         2.659	  2.440e-06 	
         2.680	  3.420e-06 	
         2.698	  2.110e-06 	
