;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/01/2023 at 13:51:08
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:547613)

;Channel A:Details
;Name:PE9
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:204
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:2.950uJ             
;Max:7.980uJ             
;Average:5.342uJ             
;Std.Dev.:521.2nJ             
;Overrange:0                   
;Total Pulses:30500               
;--------------------


;First Pulse Arrived : 09/01/2023 at 13:51:21
  Timestamp   	  Channel A  	
         0.000	  4.580e-06 	
         0.019	  5.320e-06 	
         0.038	  4.780e-06 	
         0.058	  4.070e-06 	
         0.079	  4.640e-06 	
         0.100	  4.700e-06 	
         0.120	  4.850e-06 	
         0.139	  4.390e-06 	
         0.159	  5.520e-06 	
         0.178	  5.270e-06 	
         0.201	  5.730e-06 	
         0.219	  5.170e-06 	
         0.240	  5.230e-06 	
         0.259	  4.930e-06 	
         0.280	  6.000e-06 	
         0.300	  5.160e-06 	
         0.318	  5.280e-06 	
         0.340	  5.370e-06 	
         0.359	  4.820e-06 	
         0.380	  4.810e-06 	
         0.400	  4.880e-06 	
         0.420	  5.660e-06 	
         0.440	  4.910e-06 	
         0.459	  5.050e-06 	
         0.479	  4.900e-06 	
         0.500	  5.240e-06 	
         0.518	  5.280e-06 	
         0.539	  4.550e-06 	
         0.558	  5.060e-06 	
         0.580	  5.340e-06 	
         0.600	  5.380e-06 	
         0.618	  5.540e-06 	
         0.639	  5.010e-06 	
         0.658	  4.860e-06 	
         0.680	  4.450e-06 	
         0.701	  5.230e-06 	
         0.718	  5.440e-06 	
         0.739	  5.780e-06 	
         0.758	  5.700e-06 	
         0.780	  5.560e-06 	
         0.802	  4.620e-06 	
         0.818	  4.540e-06 	
         0.839	  5.190e-06 	
         0.858	  5.240e-06 	
         0.878	  6.220e-06 	
         0.900	  6.260e-06 	
         0.920	  5.280e-06 	
         0.940	  5.180e-06 	
         0.958	  5.540e-06 	
         0.980	  5.190e-06 	
         1.000	  5.120e-06 	
         1.018	  5.310e-06 	
         1.039	  5.200e-06 	
         1.058	  5.400e-06 	
         1.080	  5.380e-06 	
         1.101	  6.200e-06 	
         1.118	  5.350e-06 	
         1.139	  5.510e-06 	
         1.158	  5.090e-06 	
         1.180	  5.630e-06 	
         1.201	  5.010e-06 	
         1.218	  5.090e-06 	
         1.238	  5.670e-06 	
         1.258	  5.490e-06 	
         1.280	  5.470e-06 	
         1.298	  5.450e-06 	
         1.320	  4.290e-06 	
         1.339	  4.770e-06 	
         1.358	  4.970e-06 	
         1.378	  5.500e-06 	
         1.400	  5.490e-06 	
         1.419	  4.730e-06 	
         1.439	  4.840e-06 	
         1.458	  5.260e-06 	
         1.480	  5.070e-06 	
         1.498	  4.340e-06 	
         1.518	  4.030e-06 	
         1.539	  5.090e-06 	
         1.558	  5.820e-06 	
         1.579	  4.860e-06 	
         1.600	  5.470e-06 	
         1.618	  5.430e-06 	
         1.638	  4.410e-06 	
         1.658	  5.630e-06 	
         1.680	  4.650e-06 	
         1.699	  5.200e-06 	
         1.718	  5.160e-06 	
         1.738	  5.220e-06 	
         1.759	  5.470e-06 	
         1.779	  4.890e-06 	
         1.800	  5.590e-06 	
         1.818	  5.210e-06 	
         1.839	  5.310e-06 	
         1.858	  4.090e-06 	
         1.879	  5.190e-06 	
         1.900	  4.000e-06 	
         1.920	  4.970e-06 	
         1.938	  4.460e-06 	
         1.959	  5.390e-06 	
         1.980	  5.560e-06 	
         2.000	  5.220e-06 	
         2.019	  4.770e-06 	
         2.038	  5.650e-06 	
         2.058	  5.160e-06 	
         2.078	  5.690e-06 	
         2.100	  5.370e-06 	
         2.118	  5.300e-06 	
         2.139	  5.440e-06 	
         2.159	  5.210e-06 	
         2.178	  5.040e-06 	
